Learner,stream,randomSeed,learning evaluation instances,Wall Time (Actual Time),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
meta.OzaBagExecutorMAXChunk -s 25 -c 3,ArffFileStream -f /Users/reginaldoluisdeluna/Documents/Ufscar/comparison-xue3m-minibatching/datasets/elecNormNew.arff,1,45312.0,0.7540000081062317,45262.0,78.22455923291061,54.99433466202912,-48.5008286876601,48.701400093686566,77.55638014403357,73.36216216216215,81.58583065540691,77.88646172494762,76.3072079163387,79.46571553355656,77.22908451722728,70.63599458728011,83.82217444717445,0.0,1.0,25.0,64110.0,91237.70701031454,1.0,0.0,40.76,37.01945434497921,24.400000000000002,21.25833169998687,24.400000000000002,21.25833169998687,4.24,3.1395328739585873,0.0,0.0,0.0,0.0,1.0,0.0
Learner,stream,randomSeed,learning evaluation instances,Wall Time (Actual Time),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
meta.OzaBagExecutorMAXChunk -s 25 -c 3,ArffFileStream -f /Users/reginaldoluisdeluna/Documents/Ufscar/comparison-xue3m-minibatching/datasets/airlines.arff,1,539383.0,8.729999542236328,539333.0,61.2180230024864,17.357199786868918,7.550597355987018,12.938297093003879,60.03094970383813,70.97621082779216,41.57462807470349,61.931744406698186,60.664786433859376,63.198702379536996,58.24335809622766,85.51080796429109,30.97590822816423,0.0,1.0,25.0,503860.52,153030.05303864335,1.0,0.0,5859.720000000001,5600.260049914349,5738.5999999999985,5488.074123345395,5738.5999999999985,5488.074123345395,3.6399999999999997,1.186029791643813,0.0,0.0,0.0,0.0,1.0,0.0
Learner,stream,randomSeed,learning evaluation instances,Wall Time (Actual Time),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
meta.OzaBagExecutorMAXChunk -s 25 -c 3,ArffFileStream -f /Users/reginaldoluisdeluna/Documents/Ufscar/comparison-xue3m-minibatching/datasets/airlines.arff,1,539383.0,0.6919999718666077,539333.0,55.45460782114204,0.0,-6.188369348543851,0.0,?,71.34508085465723,?,?,55.45460782114204,?,50.0,100.0,0.0,0.0,1.0,25.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Learner,stream,randomSeed,learning evaluation instances,Wall Time (Actual Time),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
meta.OzaBagExecutorMAXChunk -s 25 -c 3,ArffFileStream -f /Users/reginaldoluisdeluna/Documents/Ufscar/comparison-xue3m-minibatching/datasets/airlines.arff,1,539383.0,0.7080000042915344,539333.0,55.45460782114204,0.0,-6.188369348543851,0.0,?,71.34508085465723,?,?,55.45460782114204,?,50.0,100.0,0.0,0.0,1.0,25.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Learner,stream,randomSeed,learning evaluation instances,Wall Time (Actual Time),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
meta.OzaBagExecutorMAXChunk -s 25 -c 3,ArffFileStream -f /Users/reginaldoluisdeluna/Documents/Ufscar/comparison-xue3m-minibatching/datasets/airlines.arff,1,539383.0,8.550999641418457,539333.0,61.16777575264262,20.046396268225486,7.430816762211204,12.825496986447332,60.153461719617475,67.25147570462453,52.30802862861814,60.4564544812227,63.16678416167313,57.74612480077227,59.85349086218522,71.90096460872327,47.806017115647165,0.0,1.0,25.0,437269.64,197463.8106259136,1.0,0.0,5362.840000000001,4687.613951326056,5247.959999999999,4577.119458786278,5247.959999999999,4577.119458786278,3.88,1.2355835328567093,0.0,0.0,0.0,0.0,1.0,0.0
