dataset,algorithm,batch_size,acc,instances,time,JPI,joules,cores,label,delay,delay_s,IPS,delay_normalized,JPI_normalized
elecNormNew,SRPMB,50,91.1709,15850.0000,599.3840,0.1107,1738.1037,4,MB-LF-50,1042.0000,1.0420,26.4438,0.1434,0.2951
elecNormNew,OBMB,50,78.4331,45300.0000,409.1960,0.0260,1161.2644,4,MB-LF-50,226.0000,0.2260,110.7049,0.0311,0.0693
elecNormNew,OBAdwinMB,50,84.1591,45300.0000,442.2420,0.0281,1256.8321,4,MB-LF-50,260.0000,0.2600,102.4326,0.0358,0.0749
elecNormNew,OBASHTMB,50,72.5414,45300.0000,235.2390,0.0153,676.4068,4,MB-LF-50,135.0000,0.1350,192.5701,0.0186,0.0408
elecNormNew,LBagMB,50,90.2548,39300.0000,599.3580,0.0472,1837.9395,4,MB-LF-50,382.0000,0.3820,65.5702,0.0526,0.1259
elecNormNew,ARFMB,50,89.4178,26500.0000,599.2530,0.0661,1735.0324,4,MB-LF-50,613.0000,0.6130,44.2217,0.0843,0.1763
covtypeNorm,SRPMB,50,81.6082,4900.0000,599.2010,0.3750,1823.0470,4,MB-LF-50,3188.0000,3.1880,8.1776,0.4386,1.0000
covtypeNorm,OBMB,50,79.7789,70600.0000,599.2910,0.0258,1804.0859,4,MB-LF-50,216.0000,0.2160,117.8059,0.0297,0.0688
covtypeNorm,OBAdwinMB,50,71.6600,15050.0000,599.2260,0.1241,1846.5810,4,MB-LF-50,1051.0000,1.0510,25.1157,0.1446,0.3309
covtypeNorm,OBASHTMB,50,79.2983,103650.0000,599.4480,0.0171,1756.0591,4,MB-LF-50,154.0000,0.1540,172.9091,0.0212,0.0457
covtypeNorm,LBagMB,50,78.5620,19800.0000,599.3790,0.0914,1789.2533,4,MB-LF-50,845.0000,0.8450,33.0342,0.1163,0.2436
covtypeNorm,ARFMB,50,82.2378,28650.0000,599.2650,0.0673,1912.7505,4,MB-LF-50,548.0000,0.5480,47.8086,0.0754,0.1794
airlines,SRPMB,50,67.2456,5750.0000,599.2030,0.3129,1785.0637,4,MB-LF-50,3086.0000,3.0860,9.5961,0.4246,0.8344
airlines,OBMB,50,65.1327,116850.0000,599.4300,0.0151,1742.7344,4,MB-LF-50,148.0000,0.1480,194.9352,0.0204,0.0402
airlines,OBAdwinMB,50,67.0365,21950.0000,599.3750,0.0818,1774.9835,4,MB-LF-50,762.0000,0.7620,36.6215,0.1048,0.2180
airlines,OBASHTMB,50,66.2960,135850.0000,599.6490,0.0136,1824.2069,4,MB-LF-50,139.0000,0.1390,226.5492,0.0191,0.0362
airlines,LBagMB,50,63.5878,6600.0000,599.2010,0.2881,1879.9657,4,MB-LF-50,2630.0000,2.6300,11.0147,0.3619,0.7681
airlines,ARFMB,50,66.9818,5550.0000,599.5560,0.3196,1760.9896,4,MB-LF-50,3070.0000,3.0700,9.2568,0.4224,0.8523
GMSC,SRPMB,50,93.5624,27700.0000,599.4240,0.0688,1891.8769,4,MB-LF-50,561.0000,0.5610,46.2110,0.0772,0.1835
GMSC,OBMB,50,93.3284,150000.0000,431.2420,0.0084,1234.3347,4,MB-LF-50,76.0000,0.0760,347.8325,0.0105,0.0223
GMSC,OBAdwinMB,50,93.3713,83550.0000,599.3950,0.0209,1724.3712,4,MB-LF-50,185.0000,0.1850,139.3905,0.0255,0.0556
GMSC,OBASHTMB,50,93.3024,150000.0000,410.3280,0.0079,1167.4405,4,MB-LF-50,75.0000,0.0750,365.5612,0.0103,0.0210
GMSC,LBagMB,50,93.4388,67050.0000,599.3070,0.0260,1723.1310,4,MB-LF-50,237.0000,0.2370,111.8792,0.0326,0.0693
GMSC,ARFMB,50,93.4111,45050.0000,599.3380,0.0389,1734.0151,4,MB-LF-50,346.0000,0.3460,75.1663,0.0476,0.1036
elecNormNew,SRPMB,MB-DP,91.3778,12812.0000,599.3320,0.1378,1732.4014,4,MB-DP,2648.0000,2.6480,21.3771,0.3643,0.3676
elecNormNew,OBMB,MB-DP,78.4744,45294.0000,203.2290,0.0145,613.1606,4,MB-DP,146.0000,0.1460,222.8717,0.0201,0.0385
elecNormNew,OBAdwinMB,MB-DP,84.2169,45289.0000,227.2230,0.0155,663.7413,4,MB-DP,228.0000,0.2280,199.3152,0.0314,0.0414
elecNormNew,OBASHTMB,MB-DP,71.9558,45290.0000,169.1470,0.0115,482.3746,4,MB-DP,264.0000,0.2640,267.7553,0.0363,0.0307
elecNormNew,LBagMB,MB-DP,90.1400,44917.0000,490.3010,0.0319,1393.6630,4,MB-DP,819.0000,0.8190,91.6111,0.1127,0.0850
elecNormNew,ARFMB,MB-DP,89.1248,30409.0000,599.2900,0.0582,1737.0708,4,MB-DP,1353.0000,1.3530,50.7417,0.1862,0.1553
covtypeNorm,SRPMB,MB-DP,82.0986,7177.0000,599.2140,0.2628,1846.6538,4,MB-DP,1259.0000,1.2590,11.9774,0.1732,0.7007
covtypeNorm,OBMB,MB-DP,82.4456,135033.0000,599.3910,0.0135,1789.0601,4,MB-DP,197.0000,0.1970,225.2837,0.0271,0.0361
covtypeNorm,OBAdwinMB,MB-DP,79.0608,33731.0000,599.2830,0.0545,1800.6743,4,MB-DP,573.0000,0.5730,56.2856,0.0788,0.1454
covtypeNorm,OBASHTMB,MB-DP,80.0040,102221.0000,599.5720,0.0171,1710.3809,4,MB-DP,498.0000,0.4980,170.4899,0.0685,0.0456
covtypeNorm,LBagMB,MB-DP,80.9371,24593.0000,599.2850,0.0726,1744.9768,4,MB-DP,2385.0000,2.3850,41.0372,0.3282,0.1935
covtypeNorm,ARFMB,MB-DP,87.3116,50208.0000,599.5290,0.0384,1891.9438,4,MB-DP,722.0000,0.7220,83.7457,0.0993,0.1024
airlines,SRPMB,MB-DP,66.8194,7128.0000,599.2140,0.2704,1890.3516,4,MB-DP,7268.0000,7.2680,11.8956,1.0000,0.7211
airlines,OBMB,MB-DP,64.4362,194747.0000,599.3820,0.0102,1939.1229,4,MB-DP,253.0000,0.2530,324.9130,0.0348,0.0272
airlines,OBAdwinMB,MB-DP,67.1320,30651.0000,599.2760,0.0597,1789.2592,4,MB-DP,1799.0000,1.7990,51.1467,0.2475,0.1592
airlines,OBASHTMB,MB-DP,63.7150,151493.0000,599.3070,0.0122,1801.0125,4,MB-DP,151.0000,0.1510,252.7803,0.0208,0.0324
airlines,LBagMB,MB-DP,61.5869,10891.0000,599.2180,0.2020,2153.8740,4,MB-DP,2685.0000,2.6850,18.1754,0.3694,0.5386
airlines,ARFMB,MB-DP,65.5567,10809.0000,599.2120,0.1770,1876.2077,4,MB-DP,4394.0000,4.3940,18.0387,0.6046,0.4719
GMSC,SRPMB,MB-DP,93.5645,34914.0000,599.4030,0.0497,1700.1002,4,MB-DP,1047.0000,1.0470,58.2480,0.1441,0.1326
GMSC,OBMB,MB-DP,93.2909,149845.0000,408.2230,0.0084,1218.7527,4,MB-DP,105.0000,0.1050,367.0665,0.0144,0.0224
GMSC,OBAdwinMB,MB-DP,93.3900,90329.0000,599.2890,0.0190,1680.3413,4,MB-DP,312.0000,0.3120,150.7269,0.0429,0.0507
GMSC,OBASHTMB,MB-DP,93.1260,150000.0000,335.2840,0.0069,996.7370,4,MB-DP,108.0000,0.1080,447.3819,0.0149,0.0184
