dataset,algorithm,ensemble_size,cores,batch_size,instances,time,acc,prec,recall,change
GMSC,AdaptiveRandomForestSequential,100,1,1,7631.0,60.0099983215332,93.57882322107194,64.5668956012048,51.09617536008949,0
elecNormNew,StreamingRandomPatches,100,1,1,2733.0,60.00600051879883,92.16977680204903,92.22046226067062,91.51109780040598,0
airlines,StreamingRandomPatchesExecutorRUNPER,100,8,1,2619.0,60.03200149536133,74.45589919816724,64.29329946279098,54.69457400391187,0
covtypeNorm,OzaBagASHT,100,1,1,2933.0,60.000999450683594,65.8711217183771,70.55332349053997,69.78065678107376,0
elecNormNew,OzaBagASHTExecutorRUNPER,100,8,1,18072.0,60.0,88.00354138999558,88.11014066173874,87.47102975247407,0
covtypeNorm,OzaBagExecutorRUNPER,100,8,1,4469.0,60.0,68.51644663235624,68.22541152227801,65.96497698605175,0
elecNormNew,AdaptiveRandomForestExecutorRUNPER,100,8,1,7719.0,60.000999450683594,89.3639072418707,89.32520161683573,88.59938594013505,0
airlines,OzaBagASHTExecutorMAXChunk,150,8,50,9500.0,60.816001892089844,65.43915343915344,65.55750350631135,60.1853382215945,0
elecNormNew,OzaBagAdwin,100,1,1,19268.0,60.000999450683594,87.98007058335064,87.97926984205849,87.51488778267398,205.0
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,150,8,50,1850.0,61.22700119018555,69.72222222222221,?,?,0
elecNormNew,OzaBagAdwinExecutorMAXChunk,150,8,50,31850.0,60.10599899291992,81.01572327044025,80.99208506069976,79.78478056600639,0
covtypeNorm,OzaBagAdwin,100,1,1,2571.0,60.01499938964844,67.4834694671334,72.41596153280912,71.1764852177764,11.0
airlines,OzaBagAdwinExecutorMAXChunk,150,8,50,5150.0,60.645999908447266,67.43137254901961,60.68107807436653,55.599617492547424,0
GMSC,OzaBagExecutorMAXChunk,150,8,50,50950.0,60.034000396728516,93.41257367387034,76.30830039525691,52.46810042313498,0
elecNormNew,LBagExecutorRUNPER,100,8,1,13141.0,60.000999450683594,90.42690815006468,90.29233455384609,90.31477207547948,115.0
airlines,AdaptiveRandomForestExecutorMAXChunk,150,8,50,1600.0,60.020999908447266,75.2258064516129,62.803682803682804,57.39182321351413,0
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,150,8,50,5000.0,60.05500030517578,83.53535353535354,83.23898408812728,81.71192443919718,0
covtypeNorm,StreamingRandomPatchesExecutorRUNPER,100,8,1,2031.0,60.04499816894531,78.97587395371738,?,68.72453086993181,0
GMSC,LBagExecutorMAXChunk,150,8,50,16750.0,60.099998474121094,93.50299401197604,70.124076741148,51.96394813555594,0.0
airlines,OzaBagASHTExecutorRUNPER,100,8,1,6076.0,60.0099983215332,67.57735352205398,64.01918346106538,58.97993699801657,0
GMSC,StreamingRandomPatchesExecutorRUNPER,100,8,1,7239.0,60.00400161743164,93.65934521342727,66.88538205980066,50.591552410437856,0
covtypeNorm,OzaBagExecutorMAXChunk,150,8,50,4300.0,60.60300064086914,65.62352941176471,66.31088612714576,62.72940583285443,0
covtypeNorm,OzaBagAdwinExecutorMAXChunk,150,8,50,3800.0,60.26499938964844,64.48,67.36660299057807,63.736666602124984,0
airlines,AdaptiveRandomForestExecutorRUNPER,100,8,1,2381.0,60.00400161743164,72.70054598908023,60.040942999905496,56.13728771238079,0
covtypeNorm,StreamingRandomPatches,100,1,1,1137.0,60.02299880981445,75.63764291996482,?,?,0
airlines,OzaBagAdwin,100,1,1,1498.0,60.000999450683594,73.09746328437917,57.22798063769336,54.04701758003815,0.0
GMSC,OzaBagASHT,100,1,1,38657.0,60.0,93.43973924515612,75.3,51.2,
covtypeNorm,LBagExecutorMAXChunk,150,8,50,3300.0,60.38399887084961,66.0923076923077,72.47141086471699,63.9676802319997,49.0
GMSC,AdaptiveRandomForestExecutorMAXChunk,150,8,50,12950.0,60.53300094604492,93.4031007751938,65.00548497823702,51.051112567106216,0
GMSC,OzaBagASHTExecutorMAXChunk,150,8,50,73600.0,60.007999420166016,93.32019034670293,75.0,51.6,
airlines,OzaBagAdwinExecutorRUNPER,100,8,1,4936.0,60.00299835205078,66.89627228525121,59.47591361735556,56.02687369810657,0
GMSC,LeveragingBag,100,1,1,9423.0,60.000999450683594,93.46280377799002,66.94587077449722,52.2407960585603,0.0
GMSC,OzaBagAdwin,100,1,1,25654.0,60.0,93.55266235284945,75.82996586439042,52.48870244897261,0.0
GMSC,OzaBagAdwinExecutorRUNPER,100,8,1,26009.0,60.0,93.62528355569226,77.22727426592904,52.736891254413365,0
elecNormNew,OzaBag,100,1,1,26201.0,60.00600051879883,85.38987061562537,85.69076960604382,84.36350546292435,0
covtypeNorm,AdaptiveRandomForestSequential,100,1,1,2597.0,60.020999908447266,72.85329226030035,77.69541180359408,69.87762886427464,0
airlines,StreamingRandomPatchesExecutorMAXChunk,150,8,50,1950.0,60.025001525878906,75.89473684210526,62.782372393425945,53.13357922354462,0
airlines,LBagExecutorRUNPER,100,8,1,2503.0,60.05400085449219,70.99480623252099,57.33605499729961,54.60180572592018,11.0
