dataset,algorithm,ensemble_size,cores,batch_size,rate,instances,time,acc,prec,recall,change
covtypeNorm,OzaBagAdwinExecutorRUNPER,25,2,1,1,119180.0,332.5929870605469,89.09800302064104,80.72759139484702,79.82478895126653,0
GMSC,AdaptiveRandomForestExecutorRUNPER,25,2,1,1,150000.0,253.0989990234375,93.522,76.93543498029706,54.40222496822249,0
airlines,LBagExecutorRUNPER,25,2,1,1,209130.0,1860.198974609375,65.32300482953187,60.492900060701984,58.24364675877942,1219.0
elecNormNew,StreamingRandomPatchesExecutorRUNPER,25,2,1,1,45312.0,219.36399841308594,89.75768008474576,89.7787926026508,89.19829112472065,0
covtypeNorm,OzaBagASHTExecutorRUNPER,25,2,1,1,103930.0,275.06201171875,86.93736168575002,72.20570104601258,74.66541640556977,0
elecNormNew,OzaBagASHTExecutorRUNPER,25,2,1,1,45312.0,40.1870002746582,83.35981638418079,83.12334923993745,82.668029027435,0
covtypeNorm,StreamingRandomPatchesExecutorRUNPER,25,2,1,1,62340.0,584.1259765625,93.19056785370549,87.4919247793618,87.34276532667224,0
covtypeNorm,AdaptiveRandomForestExecutorRUNPER,25,2,1,1,138660.0,407.8550109863281,91.35511322659742,82.3891134010891,79.83874513828229,0
elecNormNew,AdaptiveRandomForestExecutorRUNPER,25,2,1,1,45312.0,116.13200378417969,88.81973870056498,88.78706356322759,88.25655437590282,0
GMSC,OzaBagASHTExecutorRUNPER,25,2,1,1,150000.0,90.3280029296875,93.40333333333334,75.0,51.2,
elecNormNew,OzaBagAdwinExecutorRUNPER,25,2,1,1,45312.0,49.194000244140625,86.1912959039548,86.27739107967945,85.34499267874793,0
airlines,OzaBagExecutorRUNPER,25,2,1,1,358570.0,431.0320129394531,65.63376746520902,64.90187650145269,61.819262987929115,0
covtypeNorm,LBagExecutorRUNPER,25,2,1,1,134090.0,515.72900390625,93.16802147811171,82.80959605537241,82.15136209326292,659.0
elecNormNew,LBagExecutorRUNPER,25,2,1,1,45312.0,78.26699829101562,89.92761299435028,89.9378777992823,89.38888370829405,290.0
GMSC,OzaBagExecutorRUNPER,25,2,1,1,150000.0,91.7959976196289,93.5,76.8641962933262,53.959863384733744,0
GMSC,OzaBagAdwinExecutorRUNPER,25,2,1,1,150000.0,111.48699951171875,93.47999999999999,77.54057803871719,53.1620769410737,0
airlines,OzaBagAdwinExecutorRUNPER,25,2,1,1,230750.0,1151.237060546875,67.48385698808234,64.4003018509011,61.340649524141796,0
covtypeNorm,OzaBagExecutorRUNPER,25,2,1,1,104410.0,274.4989929199219,86.78383296619097,72.10927504974673,74.36951958817787,0
elecNormNew,OzaBagExecutorRUNPER,25,2,1,1,45312.0,37.64899826049805,82.3049081920904,81.92766159670064,81.78756771204979,0
airlines,OzaBagASHTExecutorRUNPER,25,2,1,1,285220.0,578.6439819335938,67.48650164785079,65.92709795706682,62.164807446599404,0
GMSC,LBagExecutorRUNPER,25,2,1,1,150000.0,193.67999267578125,93.542,76.36127805321364,55.40372369060213,4.0
GMSC,StreamingRandomPatchesExecutorRUNPER,25,2,1,1,150000.0,506.8999938964844,93.53266666666667,79.94319653118681,53.19492629207354,0
airlines,StreamingRandomPatchesExecutorRUNPER,25,2,1,1,139480.0,1149.2640380859375,70.04158302265557,66.25341809562678,61.04295877649874,0
airlines,AdaptiveRandomForestExecutorRUNPER,25,2,1,1,198090.0,1543.0369873046875,67.73991619970721,63.37350623725628,61.347766497636314,0
