dataset,algorithm,ensemble_size,cores,batch_size,rate,instances,time,acc,prec,recall,change
covtypeNorm,OzaBagAdwinExecutorRUNPER,25,2,1,1,59580.0,344.5260009765625,87.19368915743539,80.64780238866778,80.32884265475344,0
GMSC,AdaptiveRandomForestExecutorRUNPER,25,2,1,1,129570.0,403.5530090332031,93.54248668673304,76.65222933052355,54.269666250207635,0
airlines,LBagExecutorRUNPER,25,2,1,1,129750.0,2221.68701171875,65.86050096339113,59.919381223274705,57.669647527504054,713.0
elecNormNew,StreamingRandomPatchesExecutorRUNPER,25,2,1,1,45312.0,400.0,89.78416313559322,89.78522249651427,89.24583971514227,0
covtypeNorm,OzaBagASHTExecutorRUNPER,25,2,1,1,39630.0,237.26300048828125,76.64900328034318,68.89612007810693,71.75178127097192,0
elecNormNew,OzaBagASHTExecutorRUNPER,25,2,1,1,45312.0,72.49800109863281,83.35981638418079,83.12334923993745,82.668029027435,0
covtypeNorm,StreamingRandomPatchesExecutorRUNPER,25,2,1,1,29140.0,575.4000244140625,88.18805765271105,85.69862989533554,85.6072944255787,0
covtypeNorm,AdaptiveRandomForestExecutorRUNPER,25,2,1,1,71150.0,415.05999755859375,90.00281096275474,82.23971550844372,81.65826467384004,0
elecNormNew,AdaptiveRandomForestExecutorRUNPER,25,2,1,1,45312.0,215.91200256347656,88.81973870056498,88.78706356322759,88.25655437590282,0
GMSC,OzaBagASHTExecutorRUNPER,25,2,1,1,150000.0,166.24400329589844,93.40333333333334,76.96159276000971,51.81075754540616,0
elecNormNew,OzaBagAdwinExecutorRUNPER,25,2,1,1,45312.0,90.67400360107422,86.1912959039548,86.27739107967945,85.34499267874793,0
airlines,OzaBagExecutorRUNPER,25,2,1,1,206180.0,548.4920043945312,67.02298962071977,62.87657318467961,60.43344039388515,0
covtypeNorm,LBagExecutorRUNPER,25,2,1,1,63140.0,478.5350036621094,90.77446943300602,82.59964981165255,82.33086559439629,398.0
elecNormNew,LBagExecutorRUNPER,25,2,1,1,45312.0,146.656005859375,89.92761299435028,89.9378777992823,89.38888370829405,290.0
GMSC,OzaBagExecutorRUNPER,25,2,1,1,150000.0,168.3209991455078,93.5,76.8641962933262,53.959863384733744,0
GMSC,OzaBagAdwinExecutorRUNPER,25,2,1,1,150000.0,204.82699584960938,93.47999999999999,77.54057803871719,53.1620769410737,0
airlines,OzaBagAdwinExecutorRUNPER,25,2,1,1,142510.0,1386.376953125,68.45835379973335,63.41467601588453,59.518048245088465,0
covtypeNorm,OzaBagExecutorRUNPER,25,2,1,1,36620.0,233.0679931640625,75.16930638995085,68.31146618694478,71.29137964961286,0
elecNormNew,OzaBagExecutorRUNPER,25,2,1,1,45312.0,70.00399780273438,82.3049081920904,81.92766159670064,81.78756771204979,0
airlines,OzaBagASHTExecutorRUNPER,25,2,1,1,174090.0,737.5579833984375,68.70182089723707,64.64520801938185,61.49138746673414,0
GMSC,LBagExecutorRUNPER,25,2,1,1,150000.0,361.3919982910156,93.542,76.36127805321364,55.40372369060213,4.0
GMSC,StreamingRandomPatchesExecutorRUNPER,25,2,1,1,89090.0,501.7720031738281,93.52115837916713,78.37753780165508,52.644630842938575,0
airlines,StreamingRandomPatchesExecutorRUNPER,25,2,1,1,85380.0,1370.3590087890625,69.52682126961818,66.60540339735755,61.93035522885045,0
airlines,AdaptiveRandomForestExecutorRUNPER,25,2,1,1,123630.0,1851.6910400390625,67.75701690528189,63.14181959949654,61.28754971119654,0
