dataset,algorithm,ensemble_size,cores,batch_size,instances,time,acc,prec,recall,change
elecNormNew,OzaBagASHTExecutorRUNPER,25,4,1,1,45312.0,33.35900115966797,83.35981638418079,83.12334923993745,82.668029027435,0
covtypeNorm,StreamingRandomPatchesExecutorRUNPER,25,4,1,1,63400.0,524.9609985351562,93.09148264984228,87.61100184677301,87.39788891025978,0
elecNormNew,OzaBagExecutorMAXChunk,25,4,50,1,45312.0,16.577999114990234,78.8542265034687,78.48401729964361,77.98165500931063,0
airlines,OzaBagExecutorMAXChunk,25,4,50,1,128850.0,120.01399993896484,67.69953416149067,62.65434738318814,60.0041492677117,0
covtypeNorm,OzaBagExecutorMAXChunk,25,4,2000,1,88000.0,120.25299835205078,78.54418604651163,61.73278658682909,56.80833554017609,0
GMSC,StreamingRandomPatches,25,1,1,1,36120.0,122.21099853515625,93.49944629014396,76.69855131318887,51.90179713702926,0
elecNormNew,LeveragingBag,25,1,1,1,45312.0,86.37699890136719,89.84595692090396,89.84932541092364,89.30907356294604,280.0
airlines,LeveragingBag,25,1,1,1,5900.0,127.16500091552734,64.2542372881356,57.996836147898975,55.46002730582524,12.0
covtypeNorm,OzaBagExecutorMAXChunk,25,4,500,1,91000.0,120.28500366210938,81.59005524861878,65.57949505443537,63.848268822422284,0
covtypeNorm,AdaptiveRandomForestExecutorRUNPER,25,4,1,1,155870.0,388.24700927734375,91.56989799191633,82.475669477168,79.59872691442635,0
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,500,1,19500.0,120.0770034790039,66.1842105263158,68.24632869620785,63.33026842715371,0
elecNormNew,AdaptiveRandomForestExecutorRUNPER,25,4,1,1,45312.0,97.01000213623047,88.81973870056498,88.78706356322759,88.25655437590282,0
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,50,1,74600.0,120.06099700927734,93.41649899396378,75.53353141982204,52.352402809841294,0
covtypeNorm,OzaBagAdwinExecutorRUNPER,25,4,1,1,117650.0,278.6650085449219,89.16787080322992,80.7546052693165,79.91544902301698,0
GMSC,AdaptiveRandomForestExecutorRUNPER,25,4,1,1,150000.0,219.26400756835938,93.522,76.93543498029706,54.40222496822249,0
elecNormNew,OzaBagASHT,25,1,1,1,45312.0,30.268999099731445,83.25609110169492,83.11881428592338,82.42590483712999,0
airlines,StreamingRandomPatchesExecutorMAXChunk,25,4,500,1,23000.0,121.60700225830078,66.87555555555555,65.6075250783114,63.88407467217153,0
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,2000,1,45312.0,115.52200317382812,76.35990025858884,76.53639365126924,74.66743503740251,0
covtypeNorm,LBagExecutorMAXChunk,25,4,500,1,61500.0,120.20800018310547,85.35901639344262,72.37568846179263,66.32728819290509,122.0
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,1,130000.0,122.47200012207031,93.54453124999999,76.76789775785049,54.58086484220376,0
elecNormNew,OzaBagExecutorMAXChunk,25,4,500,1,45312.0,15.494000434875488,77.18914576452735,76.71025762121101,76.36187956269144,0
GMSC,OzaBagASHTExecutorMAXChunk,25,4,500,1,150000.0,30.541000366210938,93.37859531772575,75.2,51.5,
airlines,LBagExecutorRUNPER,25,4,1,1,246170.0,1600.7440185546875,64.82471462810253,61.00494175725031,58.991330852070014,1411.0
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,50,1,150000.0,119.49700164794922,93.5245081693898,76.33923773459712,54.9701366073593,0
GMSC,OzaBagASHT,25,1,1,1,150000.0,66.26000213623047,93.32666666666667,75.5,51.7,
elecNormNew,StreamingRandomPatchesExecutorRUNPER,25,4,1,1,45312.0,181.51300048828125,89.39795197740112,89.40278874909745,88.83256543959335,0
covtypeNorm,OzaBagASHTExecutorRUNPER,25,4,1,1,93060.0,221.87899780273438,86.01977218998496,71.94299031168461,74.58032610633393,0
elecNormNew,OzaBagExecutorMAXChunk,25,4,2000,1,45312.0,16.211000442504883,75.51948651643886,75.13989000896245,74.35768044740226,0
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,500,1,150000.0,118.94100189208984,93.52775919732441,76.95823879514123,54.5908599649422,0
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,50,1,45312.0,17.29800033569336,79.24970173655606,78.99744835371355,78.22488925330605,0
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,500,1,45312.0,107.90499877929688,78.35401231812908,78.27449417470125,77.02487864030164,0
covtypeNorm,OzaBagAdwin,25,1,1,1,34260.0,120.947998046875,79.89492119089317,74.63820566000571,75.14280109925113,292.0
airlines,AdaptiveRandomForestSequential,25,1,1,1,8380.0,125.84400177001953,65.29832935560859,63.478960455686284,60.63497256761929,0
airlines,OzaBagASHTExecutorMAXChunk,25,4,2000,1,111667.0,120.87000274658203,67.38398971431698,63.276516441989514,59.97654910166106,0
GMSC,OzaBagExecutorMAXChunk,25,4,50,1,150000.0,38.12699890136719,93.48316105368455,77.87235502190015,53.072144860290834,0
GMSC,LeveragingBag,25,1,1,1,87320.0,121.85900115966797,93.49289967934035,74.87622463172382,54.237667885947204,0.0
elecNormNew,AdaptiveRandomForestSequential,25,1,1,1,38540.0,121.81300354003906,88.59366891541256,88.56925808213036,87.84304905158898,0
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,50,1,45312.0,20.09000015258789,79.98762759047324,79.95396856047377,78.77520944270775,0
GMSC,OzaBagExecutorMAXChunk,25,4,500,1,150000.0,32.12300109863281,93.44080267558529,78.88740029523773,52.08369697910565,0
elecNormNew,OzaBagAdwin,25,1,1,1,45312.0,37.483001708984375,84.8583156779661,85.11547236806389,83.78055422219614,322.0
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,1,22000.0,122.33999633789062,64.03,62.952922907269404,62.22289219631059,0
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,50,1,17650.0,121.33399963378906,65.24431818181819,65.07736246672582,64.2661233254435,0
covtypeNorm,LBagExecutorMAXChunk,25,4,2000,1,58000.0,122.94599914550781,80.04821428571428,65.49219295611604,58.39901302109294,29.0
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,500,1,95500.0,120.17500305175781,82.28947368421052,66.02122056232353,64.05175559271575,0
airlines,OzaBagAdwinExecutorMAXChunk,25,4,500,1,54500.0,121.52400207519531,67.50555555555555,63.53288151616854,60.51854658017475,0
elecNormNew,LBagExecutorMAXChunk,25,4,500,1,45312.0,34.380001068115234,77.73587431937874,77.41635415303783,76.6447100800544,91.0
airlines,StreamingRandomPatchesExecutorMAXChunk,25,4,50,1,21300.0,120.1760025024414,67.50117647058823,66.48822013659179,64.89325177692979,0
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,2000,1,45312.0,16.048999786376953,76.20982637606207,75.99322993612245,74.8874722114765,0
airlines,LBagExecutorMAXChunk,25,4,50,1,18150.0,120.0530014038086,60.834254143646405,60.18523902563773,59.48374433598214,321.0
GMSC,OzaBagASHTExecutorRUNPER,25,4,1,1,150000.0,78.08499908447266,93.40333333333334,75.8,51.8,
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,50,1,45312.0,58.22200012207031,80.42508064159782,80.21721186411001,79.44817075821811,0
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,500,1,45312.0,56.779998779296875,78.25582433276801,78.01364117310364,77.10727506749926,0
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,50,1,84150.0,120.01899719238281,82.70630202140309,69.113166701534,70.76667968045507,0
elecNormNew,OzaBagAdwinExecutorRUNPER,25,4,1,1,45312.0,38.67399978637695,86.1912959039548,86.27739107967945,85.34499267874793,0
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,50,1,70350.0,120.02400207519531,88.06685633001422,78.62611374010565,76.93038979978354,0
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,500,1,20000.0,121.18599700927734,65.21538461538462,64.34219179475069,63.521649465009666,0
GMSC,AdaptiveRandomForestSequential,25,1,1,1,66070.0,122.2229995727539,93.41001967610111,74.9059907370971,53.497763071129434,0
airlines,LBagExecutorMAXChunk,25,4,500,1,20500.0,120.35800170898438,61.36000000000001,59.94597566970539,59.13603904612159,37.0
covtypeNorm,AdaptiveRandomForestSequential,25,1,1,1,25150.0,121.34600067138672,81.63419483101391,79.51800536749145,79.11771586180271,0
airlines,OzaBagAdwinExecutorMAXChunk,25,4,50,1,54950.0,120.2020034790039,68.73588342440802,65.51522157996831,60.17125368569123,0
airlines,OzaBagExecutorRUNPER,25,4,1,1,343990.0,347.3039855957031,65.74958574377162,64.76358272152814,61.710738970510604,0
covtypeNorm,LBagExecutorRUNPER,25,4,1,1,139180.0,468.0950012207031,93.30363557982469,82.8997039882821,82.11730279546782,671.0
covtypeNorm,OzaBag,25,1,1,1,34790.0,120.5479965209961,74.30870939925266,67.84533368492897,70.806480564614,0
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,500,1,45312.0,17.464000701904297,77.8184414888869,77.50714863833063,76.72333226401878,0
elecNormNew,LBagExecutorRUNPER,25,4,1,1,45312.0,65.34400177001953,89.92761299435028,89.9378777992823,89.38888370829405,290.0
GMSC,OzaBagASHTExecutorMAXChunk,25,4,2000,1,150000.0,32.80400085449219,93.3668918918919,75.1,51.7,
airlines,OzaBagASHTExecutorRUNPER,25,4,1,1,321190.0,558.072021484375,67.06653382732962,66.30371660471005,62.595994429850464,0
elecNormNew,OzaBagExecutorRUNPER,25,4,1,1,45312.0,32.47200012207031,82.3049081920904,81.92766159670064,81.78756771204979,0
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,50,1,19700.0,120.3280029296875,79.15521628498728,79.54245785214479,78.42847973920433,0
GMSC,OzaBagExecutorMAXChunk,25,4,2000,1,150000.0,33.18299865722656,93.42229729729729,76.31254932224155,52.75627691003374,0
GMSC,OzaBag,25,1,1,1,150000.0,66.36000061035156,93.446,78.88636944103557,52.11140840493101,0
GMSC,LBagExecutorMAXChunk,25,4,500,1,150000.0,91.05799865722656,93.51304347826087,77.08453166406606,54.17442752216915,211.0
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,50,1,150000.0,38.310001373291016,93.34311437145715,75.08611756343191,50.792418248659764,0
GMSC,OzaBagAdwin,25,1,1,1,150000.0,87.72100067138672,93.446,78.88636944103557,52.11140840493101,0.0
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,500,1,150000.0,36.487998962402344,93.49565217391304,78.24867170132039,53.22266443224273,0
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,50,1,45200.0,120.0510025024414,81.6655592469546,81.70016170700814,80.53601943620717,0
airlines,OzaBagExecutorMAXChunk,25,4,2000,1,136000.0,120.08899688720703,67.15223880597016,62.15246909428219,59.74680946772568,0
GMSC,LBagExecutorRUNPER,25,4,1,1,150000.0,176.44500732421875,93.542,76.36127805321364,55.40372369060213,4.0
GMSC,StreamingRandomPatchesExecutorRUNPER,25,4,1,1,150000.0,449.51800537109375,93.53266666666667,79.94319653118681,53.19492629207354,0
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,1,45312.0,63.73699951171875,76.66697451052826,76.61378706286929,75.21068326380596,0
covtypeNorm,StreamingRandomPatches,25,1,1,1,8380.0,121.66500091552734,82.75656324582339,82.86534474451742,81.96654745084842,0
GMSC,OzaBagExecutorRUNPER,25,4,1,1,150000.0,81.875,93.5,76.8641962933262,53.959863384733744,0
elecNormNew,OzaBag,25,1,1,1,45312.0,27.222999572753906,82.76174081920904,82.46197216774107,82.12315452938023,0
GMSC,OzaBagAdwinExecutorRUNPER,25,4,1,1,150000.0,85.97599792480469,93.47999999999999,77.54057803871719,53.1620769410737,0
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,500,1,91500.0,120.10199737548828,84.86703296703297,68.96592881701648,66.98459765550479,0
airlines,OzaBagAdwin,25,1,1,1,21540.0,126.15699768066406,64.25719591457752,62.72371413346423,61.52274200935894,55.0
airlines,OzaBag,25,1,1,1,21730.0,127.52400207519531,63.557294063506674,61.85885074199737,60.5797829348383,0
GMSC,OzaBagASHTExecutorMAXChunk,25,4,50,1,150000.0,36.09400177001953,93.36645548516172,75.6,51.9,
airlines,OzaBagAdwinExecutorRUNPER,25,4,1,1,256970.0,1019.4299926757812,67.15764486126785,64.43579004755779,61.663140405929774,0
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,2000,1,88000.0,120.0479965209961,78.41279069767441,61.299353366186956,56.564315584800994,0
airlines,LBagExecutorMAXChunk,25,4,2000,1,22000.0,120.38400268554688,58.91,57.11550183984247,56.27477529657221,10.0
airlines,OzaBagExecutorMAXChunk,25,4,500,1,139500.0,120.02100372314453,67.70935251798561,62.65754034111032,60.00080017761036,0
covtypeNorm,OzaBagExecutorRUNPER,25,4,1,1,95270.0,220.27699279785156,86.05857037892306,71.85707440689279,74.38690538730306,0
elecNormNew,LBagExecutorMAXChunk,25,4,50,1,45312.0,39.6150016784668,81.31766161459944,81.1411454416133,80.3779604967866,872.0
elecNormNew,LBagExecutorMAXChunk,25,4,2000,1,45312.0,35.69900131225586,75.9373845585519,75.84826924284525,74.44159066106994,23.0
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,2000,1,70000.0,122.34200286865234,93.39264705882353,76.27486984656251,52.363412846082284,0
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,1,72000.0,122.67900085449219,79.06857142857143,58.530777395468384,51.58997714415457,0
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,2000,1,150000.0,39.36899948120117,93.51351351351352,78.11827607370512,53.751189922131395,0
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,2000,1,74000.0,120.68499755859375,79.05416666666667,62.77929654932238,57.58875236511935,0
