dataset,algorithm,ensemble_size,cores,batch_size,rate,instances,time,acc,prec,recall,change
covtypeNorm,OzaBagAdwinExecutorRUNPER,25,2,1,1,118030.0,331.66400146484375,89.15614674235364,80.74822571136608,79.89767222920622,0
GMSC,AdaptiveRandomForestExecutorRUNPER,25,2,1,1,150000.0,251.24099731445312,93.522,76.93543498029706,54.40222496822249,0
airlines,LBagExecutorRUNPER,25,2,1,1,209230.0,1807.9820556640625,65.32141662285524,60.49624699575531,58.247397418546775,1219.0
elecNormNew,StreamingRandomPatchesExecutorRUNPER,25,2,1,1,45312.0,217.5919952392578,89.75768008474576,89.7787926026508,89.19829112472065,0
covtypeNorm,OzaBagASHTExecutorRUNPER,25,2,1,1,106090.0,275.7820129394531,87.10057498350457,72.2476908426475,74.67019086224425,0
elecNormNew,OzaBagASHTExecutorRUNPER,25,2,1,1,45312.0,38.70500183105469,83.35981638418079,83.12334923993745,82.668029027435,0
covtypeNorm,StreamingRandomPatchesExecutorRUNPER,25,2,1,1,61780.0,607.2130126953125,93.01230171576562,87.52965484690772,87.20629929832947,0
covtypeNorm,AdaptiveRandomForestExecutorRUNPER,25,2,1,1,143880.0,414.8890075683594,91.29691409507923,82.38376494276396,79.3587744610279,0
elecNormNew,AdaptiveRandomForestExecutorRUNPER,25,2,1,1,45312.0,116.69599914550781,88.81973870056498,88.78706356322759,88.25655437590282,0
GMSC,OzaBagASHTExecutorRUNPER,25,2,1,1,150000.0,90.13600158691406,93.40333333333334,76.96159276000971,51.81075754540616,0
elecNormNew,OzaBagAdwinExecutorRUNPER,25,2,1,1,45312.0,48.74800109863281,86.1912959039548,86.27739107967945,85.34499267874793,0
airlines,OzaBagExecutorRUNPER,25,2,1,1,360860.0,431.5780029296875,65.62240203957214,64.9502778342189,61.87124728596394,0
covtypeNorm,LBagExecutorRUNPER,25,2,1,1,132440.0,510.6080017089844,93.11159770462096,82.79576854934983,82.14138450141112,659.0
elecNormNew,LBagExecutorRUNPER,25,2,1,1,45312.0,78.21900177001953,89.92761299435028,89.9378777992823,89.38888370829405,290.0
GMSC,OzaBagExecutorRUNPER,25,2,1,1,150000.0,91.86599731445312,93.5,76.8641962933262,53.959863384733744,0
GMSC,OzaBagAdwinExecutorRUNPER,25,2,1,1,150000.0,110.15699768066406,93.47999999999999,77.54057803871719,53.1620769410737,0
airlines,OzaBagAdwinExecutorRUNPER,25,2,1,1,231830.0,1140.699951171875,67.46279601432083,64.39133812148205,61.35064556357555,0
covtypeNorm,OzaBagExecutorRUNPER,25,2,1,1,105630.0,272.4100036621094,86.87494083120325,72.12618350342706,74.36907902317834,0
elecNormNew,OzaBagExecutorRUNPER,25,2,1,1,45312.0,38.305999755859375,82.3049081920904,81.92766159670064,81.78756771204979,0
airlines,OzaBagASHTExecutorRUNPER,25,2,1,1,300860.0,597.0540161132812,67.24456557867447,66.11217003747628,62.35169755045003,0
GMSC,LBagExecutorRUNPER,25,2,1,1,150000.0,191.822998046875,93.542,76.36127805321364,55.40372369060213,4.0
GMSC,StreamingRandomPatchesExecutorRUNPER,25,2,1,1,145590.0,514.239013671875,93.54419946424892,79.85017195922921,53.145697801065616,0
airlines,StreamingRandomPatchesExecutorRUNPER,25,2,1,1,141370.0,1197.3470458984375,69.94553299851454,65.84928787868319,61.034545641309165,0
airlines,AdaptiveRandomForestExecutorRUNPER,25,2,1,1,200330.0,1567.98095703125,67.68482004692258,63.47515164091677,61.47690509358522,0
