dataset,algorithm,ensemble_size,cores,batch_size,instances,time,acc,prec,recall,change
elecNormNew,OzaBagASHTExecutorRUNPER,25,4,1,1,45312.0,35.637001037597656,83.35981638418079,83.12334923993745,82.668029027435,0
covtypeNorm,OzaBagExecutorMAXChunk,25,4,250,1,581012.0,160.86300659179688,77.10697325238222,73.01803643774848,55.066049636302736,0
airlines,OzaBagExecutorMAXChunk,25,4,75,1,539383.0,95.07099914550781,60.42187395699674,61.28804327104211,57.18584222608485,0
covtypeNorm,StreamingRandomPatchesExecutorRUNPER,25,4,1,1,63110.0,530.1959838867188,93.10727301536998,87.48229053232095,87.41399164915775,0
elecNormNew,OzaBagExecutorMAXChunk,25,4,50,1,45312.0,10.755999565124512,76.21625204365692,78.52345421189642,73.38208469382353,0
airlines,OzaBagExecutorMAXChunk,25,4,50,1,539383.0,102.50800323486328,60.82550112824544,60.09390085202382,59.590819554139365,0
covtypeNorm,OzaBagExecutorMAXChunk,25,4,2000,1,581012.0,163.06100463867188,77.42464750298785,72.31661612120644,53.232164759693845,0
GMSC,StreamingRandomPatches,25,1,1,1,36120.0,122.38200378417969,93.49944629014396,76.69855131318887,51.90179713702926,0
elecNormNew,LeveragingBag,25,1,1,1,45312.0,87.3740005493164,89.84595692090396,89.84932541092364,89.30907356294604,280.0
elecNormNew,OzaBagExecutorMAXChunk,25,4,75,1,45312.0,10.729999542236328,78.47116298605124,79.07905960315742,76.63710013869192,0
airlines,LeveragingBag,25,1,1,1,5900.0,127.06400299072266,64.2542372881356,57.996836147898975,55.46002730582524,12.0
GMSC,OzaBagASHTExecutorMAXChunk,25,4,100,1,150000.0,19.42099952697754,93.33822548365576,75.9,51.8,
covtypeNorm,OzaBagExecutorMAXChunk,25,4,500,1,581012.0,159.906005859375,77.5241510942065,73.96543502631893,54.70862927020767,0
elecNormNew,OzaBagExecutorMAXChunk,25,4,100,1,45312.0,9.873000144958496,78.32876227550209,78.68202360751393,76.65164222463086,0
elecNormNew,LBagExecutorMAXChunk,25,4,5,1,45312.0,59.382999420166016,89.0502571346591,89.06987204621502,88.44863862325683,9012.0
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,75,1,150000.0,184.25399780273438,93.4874103718526,79.13449580844839,52.71356183312585,0
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,250,1,581012.0,2536.18408203125,95.58424965820767,93.22654807055468,90.34877374366177,0
covtypeNorm,AdaptiveRandomForestExecutorRUNPER,25,4,1,1,147500.0,388.5010070800781,91.34576271186441,82.40942820087393,79.37527708444128,0
covtypeNorm,LBagExecutorMAXChunk,25,4,100,1,581012.0,783.2899780273438,92.48147740105213,85.4970302465578,86.51451287223243,5803.0
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,25,1,150000.0,95.46800231933594,93.53225537589597,76.69803166807326,54.81149540320439,0
airlines,StreamingRandomPatchesExecutorMAXChunk,25,4,100,1,539383.0,2190.62890625,67.8506461357024,67.61003153255776,66.65139972711751,0
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,500,1,581012.0,2527.39208984375,95.54755112728076,93.05083783030605,90.28124315676853,0
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,5,1,45312.0,62.03900146484375,88.63310305250845,88.61652926723316,88.0411913791982,0
elecNormNew,AdaptiveRandomForestExecutorRUNPER,25,4,1,1,45312.0,95.65899658203125,88.81973870056498,88.78706356322759,88.25655437590282,0
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,50,1,150000.0,188.3090057373047,93.51717239079693,80.0834475257403,52.918995709867076,0
covtypeNorm,OzaBagAdwinExecutorRUNPER,25,4,1,1,126890.0,299.44000244140625,88.65868074710379,80.5516867974563,79.54678378352142,0
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,5,1,581012.0,256.6860046386719,76.23006263263609,74.1539194747202,53.73535514851999,0
airlines,OzaBagExecutorMAXChunk,25,4,25,1,539383.0,112.60299682617188,61.097267492092456,60.41828724583376,59.463992095571186,0
GMSC,AdaptiveRandomForestExecutorRUNPER,25,4,1,1,150000.0,234.51600646972656,93.522,76.93543498029706,54.40222496822249,0
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,5,1,45312.0,14.376999855041504,77.65245988478601,78.43319531066047,75.63152860660738,0
elecNormNew,OzaBagASHT,25,1,1,1,45312.0,30.452999114990234,83.25609110169492,83.11881428592338,82.42590483712999,0
airlines,StreamingRandomPatchesExecutorMAXChunk,25,4,500,1,539383.0,1974.0999755859375,67.78131802265057,67.53467236245486,66.59295116505926,0
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,2000,1,45312.0,92.70999908447266,89.87809383080901,89.91486555508979,89.32993299359369,0
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,100,1,581012.0,2507.68310546875,95.57523342606109,93.26681971492881,90.33254647569467,0
airlines,OzaBagAdwinExecutorMAXChunk,25,4,5,1,539383.0,862.5850219726562,87.44776390583228,87.73094296331388,86.87671944061282,0
airlines,OzaBagASHTExecutorMAXChunk,25,4,15,1,539383.0,198.5749969482422,62.88341169665238,62.81117892024615,60.762439388697,0
covtypeNorm,LBagExecutorMAXChunk,25,4,500,1,581012.0,781.5989990234375,93.65473926464914,87.49805125055889,87.65547739743518,1162.0
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,5,1,581012.0,824.10400390625,92.45723373384486,89.64623514057462,81.87407581149787,0
airlines,StreamingRandomPatchesExecutorMAXChunk,25,4,250,1,539383.0,2169.444091796875,67.865443220875,67.62365561078354,66.67343128877958,0
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,1,150000.0,94.26300048828125,93.57297297297296,77.33427395869236,55.44095059606266,0
covtypeNorm,OzaBagExecutorMAXChunk,25,4,15,1,581012.0,223.6699981689453,76.63258157959507,70.29085805851004,55.42604744098638,0
covtypeNorm,LBagExecutorMAXChunk,25,4,250,1,581012.0,751.3900146484375,93.13126547535823,86.49248127806169,87.2232844551576,2322.0
elecNormNew,OzaBagExecutorMAXChunk,25,4,5,1,45312.0,14.788999557495117,77.18012669123976,76.81397209673631,76.12013870700271,0
covtypeNorm,LBagExecutorMAXChunk,25,4,5,1
elecNormNew,OzaBagExecutorMAXChunk,25,4,25,1,45312.0,11.461000442504883,76.0284408329101,77.54113644881808,73.47981261848435,0
GMSC,LBagExecutorMAXChunk,25,4,15,1,150000.0,93.87100219726562,93.27599426609328,70.17905674433268,52.034277357380134,7044.0
elecNormNew,OzaBagExecutorMAXChunk,25,4,500,1,45312.0,9.512999534606934,75.99080603409801,78.12022211544864,73.17785930404129,0
covtypeNorm,OzaBagExecutorMAXChunk,25,4,100,1,581012.0,180.71200561523438,76.64224529705017,72.7198626307996,56.953478855246395,0
GMSC,OzaBagASHTExecutorMAXChunk,25,4,500,1,150000.0,17.91699981689453,93.15250836120401,75.3,51.6,
