dataset,algorithm,ensemble_size,cores,instances,time,acc,prec,recall,change
elecNormNew,OzaBagExecutorMAXChunk,25,4,45298.0,225.15699768066406,77.32075471698113,78.04020210219804,75.3219849255974,0
elecNormNew,LBagExecutorMAXChunk,25,4,38359.0,599.2750244140625,90.09460359760159,90.09782443264231,89.44945289485709,1146.0
covtypeNorm,OzaBagExecutorMAXChunk,25,4,110881.0,599.3150024414062,81.24937712344281,56.127343086710205,48.74117256504306,0
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,30815.0,599.2849731445312,79.85111662531017,63.41289084114188,?,0
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,30069.0,599.3070068359375,82.40871021775544,67.35520729505534,?,0
airlines,OzaBagExecutorMAXChunk,25,4,224531.0,599.843994140625,63.23619218679838,58.08646937951131,55.5018669426176,0
GMSC,OzaBagASHTExecutorMAXChunk,25,4,149996.0,515.291015625,93.25792459125792,69.44832617797681,51.887852294955415,0
airlines,LBagExecutorMAXChunk,25,4,16217.0,599.4829711914062,61.10344827586207,60.745955008545515,59.982903468682444,441.0
airlines,StreamingRandomPatchesExecutorMAXChunk,25,4,7257.0,600.2839965820312,66.54135338345864,64.13490382911691,58.68286710738316,0
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,29933.0,599.2780151367188,89.07067137809187,89.14823988309229,88.3743813461149,0
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,149983.0,594.3469848632812,93.36988133043623,75.12387891397188,51.65435249865663,0
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,45301.0,175.28599548339844,74.74613686534217,78.397913628589,71.3551118259439,0
covtypeNorm,LBagExecutorMAXChunk,25,4,21077.0,599.3660278320312,79.55061728395061,65.92902052816314,?,491.0
airlines,OzaBagASHTExecutorMAXChunk,25,4,142987.0,599.4869995117188,67.17217146872804,64.88244331897965,51.85365471705783,0
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,16190.0,599.6329956054688,91.0096463022508,91.0188901427006,90.74522721952908,0
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,9512.0,599.2319946289062,82.48314606741573,69.59053875678241,?,0
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,33571.0,599.2780151367188,93.53338334583647,75.07870824134208,52.00000224254201,0
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,10784.0,599.2100219726562,65.61748633879782,64.50273077272098,62.35620191978632,0
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,49880.0,599.4119873046875,93.44285714285714,74.43567514884263,53.19908201592336,0
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,94999.0,599.3209838867188,81.16142781033564,59.372622988171585,54.80759469073704,0
airlines,OzaBagAdwinExecutorMAXChunk,25,4,31707.0,600.323974609375,66.73913043478261,65.25460656999033,61.525548285533496,0
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,45294.0,448.2969970703125,84.32240133407448,84.46504188168764,83.30374230875172,0
GMSC,OzaBagExecutorMAXChunk,25,4,149978.0,298.20098876953125,93.15879111704793,69.93902333951951,56.045329218107,0
GMSC,LBagExecutorMAXChunk,25,4,84936.0,599.3880004882812,93.5256371814093,75.88649000830038,54.058050652473746,0.0
