dataset,algorithm,ensemble_size,cores,batch_size,rate,instances,time,acc,prec,recall,change
airlines,OzaBagASHTExecutorMAXChunk,25,4,2000,4989,484000.0,555.447998046875,62.962655601659755,62.21977233066802,60.52700931511743,0
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,500,4712,43500.0,22.197999954223633,77.69302325581396,79.57634094960298,75.23167449254147,0
GMSC,LBagExecutorMAXChunk,25,4,500,2271,150000.0,233.35899353027344,93.50301003344481,76.24703893772778,54.61009658312216,108.0
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,2000,519,44000.0,252.1750030517578,89.39761904761905,?,?,0
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,100,3146,411100.0,600.031005859375,76.69829683698298,60.024569470490775,49.26478884658827,0
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,500,3368,487000.0,599.3909912109375,76.85508735868449,62.37004052821826,50.377816822482814,0
covtypeNorm,LBagExecutorMAXChunk,25,4,100,712,97800.0,599.3369750976562,91.13920163766632,69.06007533824975,68.52208163034882,970.0
GMSC,OzaBagASHTExecutorMAXChunk,25,4,500,8617,149000.0,121.34500122070312,93.2962962962963,70.89277861520559,51.846291512116274,0
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,100,230,39200.0,599.7730102539062,67.61125319693095,64.44135569678492,62.646861084124254,0
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,25,213,42825.0,601.9769897460938,67.81308411214954,64.18273498077805,62.20576640315354,0
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,500,1154,201500.0,599.35498046875,85.08009950248756,61.88284746907625,62.447231358530516,0
GMSC,OzaBagExecutorMAXChunk,25,4,100,7515,149000.0,74.50199890136719,93.39086635325722,73.26324137716543,56.75020115374231,0
airlines,OzaBagASHTExecutorMAXChunk,25,4,500,4856,531500.0,380.0719909667969,61.61450094161959,62.95344509054721,58.62969791830622,0
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,25,2142,45300.0,126.20500183105469,84.45720596355605,84.65251073310756,83.40440668932361,0
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,100,4243,45000.0,96.30699920654297,73.06458797327394,75.92839369676877,69.67020943107079,0
elecNormNew,LBagExecutorMAXChunk,25,4,25,1258,45300.0,191.23300170898438,90.3677526228603,90.40710526093068,89.83559443623118,1788.0
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,50,1012,159950.0,599.4310302734375,90.58786741713571,70.29872473898916,66.02568147491293,0
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,50,1699,150000.0,299.2820129394531,93.53784594864955,76.62748087846445,55.018968417557524,0
covtypeNorm,OzaBagExecutorMAXChunk,25,4,100,2990,442100.0,599.7000122070312,77.36923076923077,60.6679971205916,49.80807047745678,0
airlines,OzaBagAdwinExecutorMAXChunk,25,4,100,682,132800.0,599.89501953125,69.13489073097212,65.52798909542122,58.501389590565026,0
airlines,OzaBagExecutorMAXChunk,25,4,500,6170,524500.0,415.2820129394531,59.95858778625954,59.38134805752844,59.2512856927415,0
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,1801,150000.0,337.23699951171875,93.5304054054054,77.39215414384,54.50020749421307,0
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,100,934,45300.0,190.30499267578125,88.82964601769912,88.79961376278072,88.27244884221864,0
airlines,OzaBagExecutorMAXChunk,25,4,100,5110,539000.0,533.1220092773438,60.61514195583596,62.07949089586611,57.206957201550715,0
GMSC,LBagExecutorMAXChunk,25,4,100,2177,150000.0,369.4800109863281,93.46897931954636,76.2546193553549,53.649320214569705,538.0
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,50,489,45300.0,453.25201416015625,89.69060773480663,89.72108682689665,89.12416393305031,0
airlines,OzaBagASHTExecutorMAXChunk,25,4,25,2735,310700.0,599.5679931640625,64.38979641104048,62.77692241780273,59.47970337839972,0
covtypeNorm,OzaBagExecutorMAXChunk,25,4,2000,3557,456000.0,599.3820190429688,77.05991189427313,57.00235505844257,48.22936068952361,0
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,50,4027,148850.0,133.69500732421875,93.35752688172043,76.23838960945038,51.15460300948113,0
covtypeNorm,LBagExecutorMAXChunk,25,4,500,782,137500.0,599.8480224609375,92.21459854014599,68.66263499032642,66.83640394199254,274.0
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,875,44000.0,227.14700317382812,88.77142857142857,88.73705583779257,88.22532736019966,0
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,500,276,36500.0,601.1069946289062,66.79722222222222,64.22054035369361,62.677839895897016,0
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,50,2708,371450.0,599.4810180664062,77.93403338718363,60.5462758687087,48.734826270125815,0
elecNormNew,LBagExecutorMAXChunk,25,4,100,1411,45300.0,258.5379943847656,90.28318584070797,90.26713787088232,89.80468865630885,451.0
airlines,OzaBagExecutorMAXChunk,25,4,50,5027,535600.0,518.0570068359375,61.698254131266914,61.701387658356445,59.20042292912656,0
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,100,1061,185400.0,599.4619750976562,90.50404749055585,70.13908047659702,66.14634422186396,0
elecNormNew,LBagExecutorMAXChunk,25,4,50,1316,45300.0,158.2550048828125,90.52154696132597,90.54281908283966,90.01184597725751,871.0
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,25,1574,150000.0,379.44500732421875,93.53825637606268,76.92835528497974,54.75450439780206,0
airlines,OzaBagASHTExecutorMAXChunk,25,4,50,3799,538350.0,458.75799560546875,62.13505480215493,61.6399860718178,61.60422539297852,0
GMSC,LBagExecutorMAXChunk,25,4,25,1861,150000.0,234.32000732421875,93.30355059176529,71.30176055828038,52.26680386425957,4385.0
GMSC,OzaBagASHTExecutorMAXChunk,25,4,25,6863,148850.0,75.25800323486328,93.31362338316815,71.71542896676173,53.195488514335324,0
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,2000,2528,44000.0,40.060001373291016,83.21666666666667,82.95209581854712,82.56421228296222,0
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,50,4141,42900.0,22.509000778198242,71.4539089848308,78.13131354422099,67.10876997588639,0
covtypeNorm,LBagExecutorMAXChunk,25,4,2000,702,96000.0,600.4539794921875,91.31702127659574,67.8741336162174,67.10433973402345,48.0
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,25,3926,45150.0,49.26100158691406,77.76177285318559,77.41637523750275,76.78056923759608,0
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,2000,4202,44000.0,43.05699920654297,77.44047619047619,?,?,0
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,50,996,120250.0,599.5070190429688,86.69467554076539,64.56453014820082,64.56551402247965,0
airlines,LBagExecutorMAXChunk,25,4,2000,440,54000.0,599.3480224609375,64.97115384615385,60.09975079901022,51.19635968933882,26.0
GMSC,OzaBagASHTExecutorMAXChunk,25,4,100,7869,149300.0,158.13900756835938,93.34177843015034,73.21528179244692,51.6663209244824,0
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,50,2523,45300.0,201.48199462890625,84.15027624309393,84.40956010088487,83.02204502634568,0
GMSC,OzaBagASHTExecutorMAXChunk,25,4,2000,8906,146000.0,42.33599853515625,93.31319444444445,72.8007079324567,51.171396552829904,0
covtypeNorm,OzaBagExecutorMAXChunk,25,4,500,3708,576500.0,478.1659851074219,76.1390625,60.98223902566794,47.45116690127599,0
GMSC,LBagExecutorMAXChunk,25,4,2000,2224,150000.0,308.9110107421875,93.53783783783783,77.08535405349446,54.888223134139615,53.0
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,25,844,170800.0,599.5579833984375,90.5788317962231,69.93064577613676,65.91279190619764,0
airlines,LBagExecutorMAXChunk,25,4,25,210,22025.0,599.2750244140625,63.777272727272724,62.055160371167695,60.879720062770026,812.0
airlines,OzaBagAdwinExecutorMAXChunk,25,4,2000,970,94000.0,599.2979736328125,65.64021739130435,61.28318833093953,54.68329002345558,0
GMSC,LBagExecutorMAXChunk,25,4,50,2037,150000.0,248.38299560546875,93.43114371457152,75.02554842779283,53.632498968794295,1075.0
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,25,3066,149975.0,190.281005859375,93.46648882960987,78.19457524101155,52.646358917704816,0
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,500,930,45000.0,246.15199279785156,88.73033707865169,88.69199790919828,88.15361438396586,0
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,25,898,81400.0,599.3800048828125,93.51643625192013,78.10842830715437,52.505236202523996,0
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,50,958,150000.0,597.9310302734375,93.5351783927976,79.22338413347664,53.46128874374724,0
GMSC,OzaBagExecutorMAXChunk,25,4,50,6990,147050.0,45.45600128173828,93.21836734693878,70.54101625475691,54.85352810568664,0
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,25,2709,298875.0,600.0009765625,75.58775305337126,60.322279205171746,48.01640743753025,0
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,100,1126,151400.0,599.448974609375,86.78189028420357,63.92579950972204,63.83450515112832,0
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,25,496,45300.0,421.2669982910156,89.63003865267808,89.64754616982813,89.07207207297161,0
elecNormNew,OzaBagExecutorMAXChunk,25,4,50,4162,45100.0,25.277999877929688,76.92341842397337,78.50391438715471,74.43208617128245,0
GMSC,OzaBagExecutorMAXChunk,25,4,2000,8410,148000.0,67.10399627685547,93.46712328767123,74.02634321909957,57.3607202396276,0
GMSC,OzaBagExecutorMAXChunk,25,4,500,8499,148500.0,37.17399978637695,93.43648648648649,74.52082570426523,54.86333806899689,0
GMSC,OzaBagExecutorMAXChunk,25,4,25,6653,147700.0,44.37200164794922,93.28322329439648,70.60334321611046,51.89772880346488,0
airlines,LBagExecutorMAXChunk,25,4,50,214,30200.0,602.1669921875,64.37147595356551,61.65481349688835,59.64568725785505,562.0
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,2000,974,150000.0,593.4860229492188,93.52432432432433,80.28656123281974,53.143467542154134,0
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,500,2794,45000.0,41.26900100708008,84.32134831460674,84.66910707313173,83.16560980431089,0
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,2000,291,36000.0,602.2789916992188,90.05588235294117,73.16386551373749,?,0
covtypeNorm,OzaBagExecutorMAXChunk,25,4,25,2679,248625.0,600.0009765625,80.07522123893806,60.47136271936672,51.55907341771842,0
airlines,OzaBagExecutorMAXChunk,25,4,2000,6220,518000.0,600.614990234375,61.964728682170545,61.56493891500181,59.72907873218293,0
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,500,4733,149000.0,193.33299255371094,93.43232323232323,77.12032814898163,52.3021041523654,0
airlines,OzaBagASHTExecutorMAXChunk,25,4,100,4473,538400.0,568.5430297851562,61.66765744008917,63.775258537550094,58.30038075123648,0
airlines,StreamingRandomPatchesExecutorMAXChunk,25,4,50,239,43850.0,600.281982421875,69.87214611872146,67.12298220928699,62.82764015333372,0
airlines,OzaBagAdwinExecutorMAXChunk,25,4,500,753,117500.0,599.3629760742188,67.98376068376069,64.00586084958715,59.111163183631945,0
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,100,2726,44900.0,38.03099822998047,84.51339285714286,84.76134694981481,83.42222283894112,0
elecNormNew,LBagExecutorMAXChunk,25,4,2000,1402,44000.0,240.16400146484375,87.10952380952381,?,?,22.0
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,500,1820,150000.0,308.7489929199219,93.53578595317725,76.95731583575729,54.771579109731704,0
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,25,794,158400.0,599.8889770507812,86.90891870560378,64.92662471762942,?,0
airlines,StreamingRandomPatchesExecutorMAXChunk,25,4,100,243,38100.0,600.4509887695312,69.28947368421052,67.04357530558418,63.43907182257639,0
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,292,28000.0,628.0819702148438,66.34615384615384,64.64978632627837,63.24084780662107,0
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,2000,4540,150000.0,203.87399291992188,93.51756756756757,77.64234597979592,54.08119523681852,0
airlines,StreamingRandomPatchesExecutorMAXChunk,25,4,2000,277,44000.0,607.1599731445312,69.47380952380952,66.8290023029302,62.91591485075572,0
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,100,4577,149400.0,150.53799438476562,93.34628265237777,75.39504679848194,50.868024818577496,0
elecNormNew,LBagExecutorMAXChunk,25,4,500,1471,45000.0,126.30400085449219,88.79325842696629,88.84741905970752,88.13668417503808,90.0
covtypeNorm,LBagExecutorMAXChunk,25,4,50,667,85750.0,599.4349975585938,90.47257876312719,69.10717106541874,68.8430522840356,1698.0
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,500,276,45000.0,599.3309936523438,91.33033707865168,73.99590866251296,?,0
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,100,976,120100.0,599.5469970703125,93.48916666666666,78.06618126692248,52.583200752672255,0
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,1080,80000.0,599.3250122070312,89.9551282051282,69.76055465102664,68.0962598926141,0
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,50,255,43500.0,599.6270141601562,91.15995397008055,73.95096783570138,?,0
covtypeNorm,LBagExecutorMAXChunk,25,4,25,575,81625.0,599.802978515625,89.51838235294117,69.30536464406913,69.05186224683571,3230.0
airlines,LBagExecutorMAXChunk,25,4,500,245,9000.0,1598.7110595703125,60.98823529411764,58.87944192235442,56.837391708736654,14.0
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,2000,1149,118000.0,599.3569946289062,86.07672413793104,59.002011938848206,59.95411904499114,0
airlines,OzaBagExecutorMAXChunk,25,4,25,4800,539350.0,579.1079711914062,60.82380753719928,60.33811004664672,58.666658556605626,0
elecNormNew,OzaBagExecutorMAXChunk,25,4,2000,4042,44000.0,52.090999603271484,75.13809523809523,76.21457264602074,72.7404077689905,0
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,500,963,189000.0,599.7420043945312,90.52732095490717,70.36227375739284,66.76600204356924,0
elecNormNew,OzaBagExecutorMAXChunk,25,4,25,3944,45250.0,96.0739974975586,78.54947484798231,79.45275131199959,76.5555455698566,0
GMSC,OzaBagASHTExecutorMAXChunk,25,4,50,7285,149650.0,74.28900146484375,93.33422459893048,72.51217108489678,52.27513059398289,0
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,50,220,28850.0,599.4619750976562,66.97222222222223,64.87013585079437,63.11688732674826,0
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,25,882,45300.0,199.22500610351562,88.72225289895086,88.71815322646752,88.13378695686961,0
