dataset,algorithm,ensemble_size,cores,batch_size,rate,instances,time,acc,prec,recall,change
GMSC,OzaBagExecutorMAXChunk,100,4,50,1,150000.0,22.121000289916992,93.47315771923974,78.7089883285735,52.603615208738475,0
kyoto_binary,OzaBagASHTExecutorMAXChunk,100,4,50,1,725457.0,122.80500030517578,92.68024708887562,93.41131713980796,91.17868500379429,0
GMSC,OzaBagAdwinExecutorMAXChunk,100,4,250,1,150000.0,17.672000885009766,93.489816360601,78.36585528233874,53.01945942993602,0
covtypeNorm,OzaBagASHT,100,1,1,1,164302.0,180.0,84.29720879843215,70.27973239187808,72.53359309803461,0
covtypeNorm,AdaptiveRandomForestSequential,100,1,1,1,87736.0,180.0,90.90339199416431,82.87087114268977,82.02964769967319,0
GMSC,LeveragingBag,100,1,1,1,150000.0,121.34500122070312,93.522,76.58754948530967,54.6846442637201,20.0
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,100,4,500,1,45312.0,23.301000595092773,78.23127733642774,77.94280526446285,77.14484746316052,0
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,100,4,500,1,295500.0,180.23699951171875,87.67932203389832,79.48212310745943,69.49571078017958,0
kyoto_binary,OzaBagExecutorMAXChunk,100,4,500,1,725457.0,100.51200103759766,96.90505781722226,97.099208069947,96.35526419532101,0
airlines,LBagExecutorMAXChunk,100,4,250,1,98250.0,180.13400268554688,65.11836734693878,60.75323091126397,59.005696897763016,385.0
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,100,4,250,1,292750.0,180.0070037841797,88.04068376068376,80.04681859956965,70.45191234517496,0
GMSC,AdaptiveRandomForestExecutorMAXChunk,100,4,500,1,150000.0,61.31700134277344,93.55652173913043,78.00896671715545,54.46699445837469,0
airlines,AdaptiveRandomForestSequential,100,1,1,1,23222.0,180.0,66.79872534665404,65.2609497170437,63.89661630858424,0
elecNormNew,LBagExecutorRUNPER,100,4,1,1,45312.0,39.840999603271484,89.21477754237289,89.24611870594656,88.61274566216002,482.0
elecNormNew,OzaBagExecutorRUNPER,100,4,1,1,45312.0,25.089000701904297,82.3534604519774,81.99024862300475,81.8065788947085,0
airlines,AdaptiveRandomForestExecutorMAXChunk,100,4,500,1,96500.0,180.8699951171875,67.03750000000001,63.20234143602664,61.280814630434136,0
covtypeNorm,OzaBag,100,1,1,1,196102.0,180.00100708007812,87.28365850424778,72.76287853678784,72.99856272011198,0
airlines,OzaBagExecutorMAXChunk,100,4,50,1,510350.0,180.0030059814453,65.12541642171273,65.77260239351128,62.46644069018399,0
GMSC,AdaptiveRandomForestExecutorMAXChunk,100,4,50,1,150000.0,66.41300201416016,93.5245081693898,77.21061397407621,54.252223491487214,0
elecNormNew,OzaBagASHT,100,1,1,1,45312.0,18.908000946044922,81.68697033898306,82.46292599317195,80.03465856161357,0
covtypeNorm,AdaptiveRandomForestExecutorRUNPER,100,4,1,1,131272.0,180.00100708007812,91.54808336888293,83.04185721633574,80.72128659864524,0
airlines,AdaptiveRandomForestExecutorMAXChunk,100,4,250,1,91250.0,180.1320037841797,67.50769230769231,63.53058246915414,61.50375582533969,0
GMSC,OzaBagAdwin,100,1,1,1,150000.0,49.138999938964844,93.46466666666666,78.49325918270388,52.52883481985802,12.0
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,100,4,50,1,279550.0,180.0240020751953,89.37352415026834,84.60686041737519,74.53317059086105,0
covtypeNorm,OzaBagExecutorMAXChunk,100,4,500,1,349000.0,180.27200317382812,83.56585365853658,70.53306254742807,67.5995477659476,0
kyoto_binary,StreamingRandomPatches,100,1,1,1,107322.0,180.0,98.5613387749017,96.08028437452742,98.50129473225748,0
elecNormNew,OzaBagASHTExecutorMAXChunk,100,4,500,1,45312.0,8.621000289916992,73.14112291350531,72.8729321354929,71.42532110100123,0
covtypeNorm,OzaBagExecutorMAXChunk,100,4,50,1,332900.0,180.02699279785156,84.2379450202794,71.77580413721067,70.99094440592637,0
GMSC,LBagExecutorMAXChunk,100,4,250,1,150000.0,46.209999084472656,93.52387312186978,76.81931319608505,54.54479683762637,218.0
covtypeNorm,LBagExecutorMAXChunk,100,4,250,1,192500.0,180.2760009765625,91.44187256176853,76.32928085435083,71.9559834125574,767.0
airlines,OzaBagASHTExecutorMAXChunk,100,4,250,1,539383.0,154.47799682617188,67.97562011600105,68.50120471175151,66.14740347664593,0
elecNormNew,LeveragingBag,100,1,1,1,45312.0,47.38800048828125,89.15960451977402,89.1826382935279,88.56208057429278,462.0
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,100,4,50,1,77300.0,180.05599975585938,91.3009708737864,84.79297467931546,82.5821390539079,0
kyoto_binary,OzaBagASHTExecutorMAXChunk,100,4,250,1,725457.0,99.00599670410156,91.98697751124851,92.71323410816127,90.39057478510593,0
kyoto_binary,StreamingRandomPatchesExecutorMAXChunk,100,4,250,1,211500.0,180.09800720214844,96.92686390532545,96.79710448072944,97.06904543981665,0
airlines,LBagExecutorMAXChunk,100,4,50,1,70700.0,180.06199645996094,65.97310686482662,60.42400393496094,58.20018444960273,1372.0
