,pontos,distancia,batch_size,PERC,inc_rate
0,"(0.0004930492455817671, 0.00011561274756207902)",0.000506422615971683,500,90,alto
1,"(0.0005130822950200314, 5.864414731409805e-05)",0.0005164228669193689,250,90,medio
2,"(0.0005320151069074234, 6.031969438021514e-05)",0.0005354237009209059,250,90,medio
3,"(0.0005235561132846473, 0.00012399048289266445)",0.0005380377715418152,500,90,alto
4,"(0.000460004354368223, 0.0004490466137193794)",0.0006428428014145971,2000,90,baixo
5,"(0.0006571872135189275, 8.210180623973728e-05)",0.000662295810194055,250,50,medio
6,"(0.0006466155193530522, 0.00016085251834724039)",0.0006663221161922114,500,50,alto
7,"(0.0006615953658250063, 0.00016252806541335746)",0.000681266320999455,500,50,alto
8,"(0.0007116313486750682, 3.015984719010757e-05)",0.0007122701684049579,100,90,medio
9,"(0.0007094420420984209, 9.21550886364398e-05)",0.000715402384297374,250,50,medio
10,"(0.0005338953677975722, 0.0004926108374384236)",0.0007264363020372054,2000,90,baixo
11,"(0.0007646130814147707, 3.1835394256224655e-05)",0.0007652755429242724,100,90,medio
12,"(0.0008107192789294329, 0.00020609228913240173)",0.0008365045014031264,500,90,alto
13,"(0.0008395275259702842, 1.843101772728796e-05)",0.0008397298192134478,50,90,baixo
14,"(0.0008330795107675065, 0.0001055594651653765)",0.0008397405980102595,250,90,medio
15,"(0.0008545188080507835, 8.377735330585436e-06)",0.0008545598748840253,25,90,baixo
16,"(0.0008565855129549529, 8.377735330585436e-06)",0.000856626480709982,25,90,baixo
17,"(0.0005985236362441676, 0.0006249790556616735)",0.000865349272351169,2000,50,baixo
18,"(0.0009015994440738404, 3.686203545457592e-05)",0.0009023526844932155,100,50,medio
19,"(0.0009056259507860339, 2.0106564793405048e-05)",0.0009058491246807601,50,50,baixo
20,"(0.0009188151199158517, 2.1782111859522132e-05)",0.0009190732750891202,50,90,baixo
21,"(0.0009228269020223406, 1.843101772728796e-05)",0.0009230109389983492,50,50,baixo
22,"(0.0009021943211255476, 0.00023960323045474347)",0.0009334689609813155,500,90,alto
23,"(0.0009451592503784534, 8.377735330585436e-06)",0.0009451963790796224,25,50,baixo
24,"(0.0009368607077315154, 0.00012734157702489862)",0.0009454754692377715,250,90,medio
25,"(0.0009457850060535361, 1.0053282396702524e-05)",0.0009458384355494521,25,50,baixo
26,"(0.0009174995937525415, 0.0002479809657853289)",0.0009504209929962106,500,90,alto
27,"(0.0006685453045757653, 0.0006802721088435374)",0.0009537939852718387,2000,50,baixo
28,"(0.0009573953808002948, 3.8537582520693005e-05)",0.0009581706844003738,100,50,medio
29,"(0.0010284454573467221, 0.00013739485942160115)",0.001037582481604518,250,90,medio
30,"(0.001054861940427878, 0.0002764652659093194)",0.0010904892281070817,500,50,alto
31,"(0.0010886182176270745, 0.00012231493582654738)",0.0010954681954652087,250,90,medio
32,"(0.0011011749622234315, 0.0001189638416943132)",0.0011075823640065985,250,90,medio
33,"(0.0011401277407735442, 4.859086491739553e-05)",0.0011411627129532434,100,90,medio
34,"(0.0011547153426804543, 0.0002530076069836802)",0.001182108443338955,500,90,alto
35,"(0.0011828846656832637, 0.0001440970476860695)",0.0011916291753143878,250,50,medio
36,"(0.001265948427526196, 1.5079923595053785e-05)",0.001266038240043199,25,90,baixo
37,"(0.001268043293740711, 2.1782111859522132e-05)",0.0012682303636161105,50,90,baixo
38,"(0.0008990762887469024, 0.0009064709627693442)",0.0012767254126596233,2000,90,baixo
39,"(0.0012466434754489135, 0.0002764652659093194)",0.0012769310858983958,500,90,alto
40,"(0.0012779157670624822, 6.534633557856641e-05)",0.0012795854216426658,100,90,medio
41,"(0.0012808369860439937, 6.367078851244931e-05)",0.0012824185565282727,100,90,medio
42,"(0.001265409085730053, 0.0002781408129754365)",0.0012956166354639034,500,50,alto
43,"(0.0013337348582825909, 4.5239770785161356e-05)",0.0013345018954871429,100,90,medio
44,"(0.001353221184149432, 3.1835394256224655e-05)",0.0013535956063604226,50,90,baixo
45,"(0.0013586552148288865, 3.1835394256224655e-05)",0.001359028139925431,50,90,baixo
46,"(0.001358919404832685, 4.5239770785161356e-05)",0.0013596722346549232,100,90,medio
47,"(0.0013624591989696046, 1.5079923595053785e-05)",0.0013625426499572514,25,90,baixo
48,"(0.000942542686177732, 0.0010204081632653062)",0.0013891074598192936,2000,90,baixo
49,"(0.0013427299933565415, 0.00036191816628129085)",0.0013906504212575028,500,50,alto
50,"(0.001396809388955754, 1.5079923595053785e-05)",0.0013968907878465586,25,90,baixo
51,"(0.0013756613188276134, 0.00036024261921517375)",0.001422047400341331,500,90,alto
52,"(0.0014122486419470132, 0.00018095908314064542)",0.0014237950753013182,250,90,medio
53,"(0.0014169281813138177, 0.00015415033008277202)",0.001425288670854403,250,50,medio
54,"(0.0009839559513311784, 0.001077376763513287)",0.001459078477916253,2000,90,baixo
