dataset,algorithm,ensemble_size,cores,batch_size,inc_rate,methodology,instances,time,delay,out_rate,acc
GMSC,OzaBagExecutorMAXChunk,25,4,25,3326,,150000.0,45.18199920654297,5.0,3319.90625,93.42023670611769
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,50,479,,56900.0,119.9990005493164,90.0,474.1706237792969,93.43887423043095
GMSC,OzaBagExecutorMAXChunk,25,4,50,6291,,140650.0,24.93600082397461,8.0,5640.439453125,93.16429587482219
GMSC,OzaBagExecutorMAXChunk,25,4,25,665,,79650.0,119.97200012207031,21.0,663.9049072265625,93.33375196232339
elecNormNew,OzaBagExecutorMAXChunk,25,4,50,416,,45300.0,109.30799865722656,69.0,414.42529296875,76.44419889502763
airlines,OzaBagAdwinExecutorMAXChunk,25,4,25,358,,41450.0,120.04199981689453,72.0,345.2958068847656,68.87869643934822
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,100,955,,93100.0,120.04299926757812,128.0,775.555419921875,90.8010752688172
covtypeNorm,OzaBagExecutorMAXChunk,25,4,25,2411,,283325.0,120.00199890136719,9.0,2361.00244140625,79.99647017296152
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,25,441,,44225.0,103.16999816894531,47.0,428.66143798828125,88.90950226244344
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,25,192,,8600.0,120.02200317382812,348.0,71.65352630615234,65.53935860058309
airlines,OzaBagExecutorMAXChunk,25,4,50,4525,,182100.0,120.02200317382812,32.0,1517.2218017578125,64.36583356220818
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,50,849,,100650.0,120.01300048828125,50.0,838.6591186523438,93.50596421471174
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,100,2831,,273200.0,120.0009994506836,43.0,2276.647705078125,78.57671182716953
airlines,LBagExecutorMAXChunk,25,4,50,107,,9400.0,122.25599670410156,649.0,76.8878402709961,62.32085561497326
covtypeNorm,LBagExecutorMAXChunk,25,4,25,287,,34125.0,119.93599700927734,74.0,284.5267639160156,83.44868035190616
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,100,314,,37100.0,119.97100067138672,196.0,309.24139404296875,72.06756756756756
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,50,1529,,147350.0,112.13800048828125,37.0,1314.0059814453125,93.53632043448744
airlines,OzaBagAdwinExecutorMAXChunk,25,4,50,341,,34150.0,120.02100372314453,175.0,284.5335388183594,67.06451612903226
GMSC,OzaBagExecutorMAXChunk,25,4,25,5988,,137925.0,30.18600082397461,5.0,4569.1708984375,93.4010152284264
elecNormNew,OzaBagExecutorMAXChunk,25,4,25,1972,,44625.0,23.075000762939453,11.0,1933.9111328125,77.26008968609865
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,100,238,,18500.0,120.11399841308594,648.0,154.02035522460938,83.44565217391305
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,25,397,,47275.0,120.01599884033203,52.0,393.90582275390625,83.64656084656085
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,50,402,,47900.0,119.93499755859375,65.0,399.38299560546875,93.43573667711598
