dataset,algorithm,ensemble_size,cores,batch_size,rate,instances,time,acc,prec,recall,change
elecNormNew,OzaBagASHTExecutorRUNPER,25,4,1,1,45312.0,73.29299926757812,83.35981638418079,83.12334923993745,82.668029027435,0
covtypeNorm,StreamingRandomPatchesExecutorRUNPER,25,4,1,1,29150.0,569.5750122070312,88.18867924528303,85.64945572890625,85.62564399559447,0
GMSC,StreamingRandomPatches,25,1,1,1,18310.0,127.70700073242188,93.59912616056799,74.13112223301212,51.201467890199424,0
elecNormNew,LeveragingBag,25,1,1,1,30590.0,123.55599975585938,89.93788819875776,90.0068470545434,89.32121017286423,181.0
airlines,LeveragingBag,25,1,1,1,3590.0,130.43099975585938,68.44011142061281,56.55704856199905,54.26201713770652,12.0
covtypeNorm,AdaptiveRandomForestExecutorRUNPER,25,4,1,1,71000.0,419.12298583984375,90.00985915492957,82.24576137742895,81.65970531901968,0
elecNormNew,AdaptiveRandomForestExecutorRUNPER,25,4,1,1,45312.0,221.302001953125,88.81973870056498,88.78706356322759,88.25655437590282,0
covtypeNorm,OzaBagAdwinExecutorRUNPER,25,4,1,1,57800.0,345.79901123046875,87.0553633217993,80.55984440268539,80.30204885044058,0
GMSC,AdaptiveRandomForestExecutorRUNPER,25,4,1,1,134100.0,416.70599365234375,93.55257270693512,76.68196090745549,54.28144157897997,0
elecNormNew,OzaBagASHT,25,1,1,1,45312.0,59.30500030517578,83.25609110169492,83.11881428592338,82.42590483712999,0
airlines,LBagExecutorRUNPER,25,4,1,1,132560.0,2325.81494140625,65.85018105009053,59.9449102160092,57.65996211442229,740.0
GMSC,OzaBagASHT,25,1,1,1,145290.0,124.18099975585938,93.34228095533071,75.7,51.0,
elecNormNew,StreamingRandomPatchesExecutorRUNPER,25,4,1,1,45312.0,419.552001953125,89.75768008474576,89.7787926026508,89.19829112472065,0
covtypeNorm,OzaBagASHTExecutorRUNPER,25,4,1,1,27440.0,228.5749969482422,72.60932944606414,68.06063414664186,71.03157441017034,0
covtypeNorm,OzaBagAdwin,25,1,1,1,12190.0,122.94000244140625,70.82854799015587,71.13887303314043,71.21291881743691,90.0
airlines,AdaptiveRandomForestSequential,25,1,1,1,4490.0,133.68600463867188,68.53006681514476,60.576583885988434,56.95535235619013,0
GMSC,LeveragingBag,25,1,1,1,43670.0,126.5530014038086,93.35241584611862,72.56928677017613,52.83323226375448,0.0
elecNormNew,AdaptiveRandomForestSequential,25,1,1,1,16840.0,123.77400207519531,89.47743467933492,89.43399381264857,89.18375052435617,0
elecNormNew,OzaBagAdwin,25,1,1,1,45312.0,71.70500183105469,84.8583156779661,85.11547236806389,83.78055422219614,322.0
GMSC,OzaBagASHTExecutorRUNPER,25,4,1,1,150000.0,168.15499877929688,93.40333333333334,75.6,51.7,
elecNormNew,OzaBagAdwinExecutorRUNPER,25,4,1,1,45312.0,91.69200134277344,86.1912959039548,86.27739107967945,85.34499267874793,0
GMSC,AdaptiveRandomForestSequential,25,1,1,1,33650.0,127.40699768066406,93.50668647845468,73.29588930807567,52.83491869065791,0
covtypeNorm,AdaptiveRandomForestSequential,25,1,1,1,11390.0,126.73200225830078,76.87445127304653,76.55060708298063,76.90540140094153,0
airlines,OzaBagExecutorRUNPER,25,4,1,1,202240.0,555.0700073242188,67.20925632911391,62.88226830058857,60.46240688358846,0
covtypeNorm,LBagExecutorRUNPER,25,4,1,1,62840.0,483.08099365234375,90.77816677275621,82.60251658500918,82.33850172834708,394.0
covtypeNorm,OzaBag,25,1,1,1,14010.0,123.23400115966797,64.85367594575303,64.2962721179498,64.795679721363,0
elecNormNew,LBagExecutorRUNPER,25,4,1,1,45312.0,147.66200256347656,89.92761299435028,89.9378777992823,89.38888370829405,290.0
airlines,OzaBagASHTExecutorRUNPER,25,4,1,1,173660.0,741.9949951171875,68.69515144535299,64.64164032117968,61.49281491130337,0
elecNormNew,OzaBagExecutorRUNPER,25,4,1,1,45312.0,70.5999984741211,82.3049081920904,81.92766159670064,81.78756771204979,0
GMSC,OzaBag,25,1,1,1,149160.0,124.46299743652344,93.45199785465272,78.91959313068988,52.09680965240272,0
GMSC,OzaBagAdwin,25,1,1,1,109820.0,124.87200164794922,93.43380076488799,79.20369420095273,51.659657227906884,0.0
GMSC,LBagExecutorRUNPER,25,4,1,1,150000.0,364.9750061035156,93.542,76.36127805321364,55.40372369060213,4.0
GMSC,StreamingRandomPatchesExecutorRUNPER,25,4,1,1,88790.0,503.1820068359375,93.51728798288096,78.46160732530956,52.64398140529711,0
covtypeNorm,StreamingRandomPatches,25,1,1,1,4690.0,129.00999450683594,83.45415778251599,83.94409873914393,80.64786844264476,0
GMSC,OzaBagExecutorRUNPER,25,4,1,1,150000.0,171.83700561523438,93.5,76.8641962933262,53.959863384733744,0
elecNormNew,OzaBag,25,1,1,1,45312.0,54.12200164794922,82.76174081920904,82.46197216774107,82.12315452938023,0
GMSC,OzaBagAdwinExecutorRUNPER,25,4,1,1,150000.0,207.61900329589844,93.47999999999999,77.54057803871719,53.1620769410737,0
airlines,OzaBagAdwin,25,1,1,1,11080.0,130.8509979248047,63.85379061371841,63.09842772287042,60.448002838304106,55.0
airlines,OzaBag,25,1,1,1,10910.0,134.0919952392578,63.3730522456462,62.5589925836358,59.65750129876146,0
airlines,OzaBagAdwinExecutorRUNPER,25,4,1,1,142610.0,1408.85498046875,68.46013603534114,63.41640007769864,59.51617604815775,0
covtypeNorm,OzaBagExecutorRUNPER,25,4,1,1,35440.0,234.85499572753906,74.75451467268624,68.1530895111326,71.20636357726403,0
airlines,OzaBagASHT,25,1,1,1,11090.0,131.75599670410156,64.02164111812444,63.47434259139122,60.43834198990965,0
elecNormNew,StreamingRandomPatches,25,1,1,1,11370.0,127.39099884033203,91.82937554969217,91.78420803450078,91.57750730821161,0
covtypeNorm,OzaBagASHT,25,1,1,1,13960.0,123.0260009765625,64.8352435530086,64.29885325575962,64.80553864924573,0
covtypeNorm,LeveragingBag,25,1,1,1,8830.0,124.04399871826172,73.8731596828992,74.13405605730361,73.42501858976972,89.0
airlines,StreamingRandomPatches,25,1,1,1,4210.0,128.34300231933594,69.57244655581948,60.5896400564544,54.84850624571889,0
airlines,StreamingRandomPatchesExecutorRUNPER,25,4,1,1,82460.0,1438.7080078125,69.38636914867816,66.0364507332555,61.7271693580296,0
airlines,AdaptiveRandomForestExecutorRUNPER,25,4,1,1,122000.0,1865.1190185546875,67.65081967213115,63.13858917964246,61.31615636250437,0
