dataset,algorithm,ensemble_size,cores,batch_size,rate,instances,time,acc,prec,recall,change
airlines,StreamingRandomPatchesExecutorMAXChunk,150,8,50,1,1950.0,60.106998443603516,76.31578947368422,65.19617269297333,53.48568386630671,0
airlines,OzaBagExecutorRUNPER,100,8,1,1,4545.0,60.000999450683594,68.008800880088,59.830083131861045,56.323445237643114,0
covtypeNorm,StreamingRandomPatches,100,1,1,1,1131.0,60.047000885009766,75.68523430592397,?,?,0
airlines,LBagExecutorMAXChunk,150,8,50,1,2000.0,62.494998931884766,72.1025641025641,56.98773984276211,54.360056258790436,4.0
elecNormNew,OzaBagAdwin,100,1,1,1,19756.0,60.0,87.94796517513667,87.95055545439911,87.48119172889814,211.0
elecNormNew,OzaBagAdwinExecutorRUNPER,100,8,1,1,18561.0,60.01100158691406,89.74193200797372,89.64133999833142,89.45325796000911,0
airlines,OzaBagASHTExecutorRUNPER,100,8,1,1,5611.0,60.018001556396484,67.67064694350383,62.66415168217825,57.37932895929472,0
GMSC,LBagExecutorMAXChunk,150,8,50,1,17000.0,60.02299880981445,93.47492625368731,69.2139423805148,51.7520619263922,260.0
covtypeNorm,LBagExecutorMAXChunk,150,8,50,1,3300.0,60.47100067138672,65.78461538461539,72.20629861354851,63.577239912893724,49.0
elecNormNew,LBagExecutorMAXChunk,150,8,50,1,12800.0,60.058998107910156,81.31764705882352,81.03680176101601,81.11532231591106,251.0
elecNormNew,OzaBag,100,1,1,1,26223.0,60.00299835205078,85.38306067192923,85.68167571173124,84.35670671402377,0
GMSC,AdaptiveRandomForestExecutorRUNPER,100,8,1,1,12483.0,60.0,93.41504446046623,64.66206207585518,50.81027442245638,0
covtypeNorm,LBagExecutorRUNPER,100,8,1,1,3942.0,60.01499938964844,72.98325722983257,75.78269485921761,71.12064482742547,30.0
elecNormNew,LeveragingBag,100,1,1,1,6641.0,60.016998291015625,90.21231742207499,89.8897113524773,89.6109436638447,67.0
covtypeNorm,OzaBagASHTExecutorRUNPER,100,8,1,1,4401.0,60.0099983215332,68.41626902976597,68.2835871211832,66.06491909506447,0
covtypeNorm,OzaBagExecutorMAXChunk,150,8,50,1,3550.0,60.32400131225586,62.828571428571436,66.94458136203231,62.72313346524794,0
airlines,OzaBagAdwinExecutorMAXChunk,150,8,50,1,5250.0,60.30500030517578,67.38461538461539,60.833897510183554,55.73931111035419,0
covtypeNorm,OzaBagASHTExecutorMAXChunk,150,8,50,1,4250.0,60.345001220703125,65.47619047619048,66.31286006089526,62.8091488670582,0
covtypeNorm,OzaBagAdwin,100,1,1,1,2566.0,60.02299880981445,67.49805144193297,72.4595428368442,71.1511758834978,11.0
airlines,StreamingRandomPatchesExecutorRUNPER,100,8,1,1,2496.0,60.0359992980957,74.67948717948718,65.01933820369574,54.94729436005679,0
elecNormNew,OzaBagExecutorRUNPER,100,8,1,1,23794.0,60.0,86.13095738421451,86.33060172869558,85.24322395289774,0
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,150,8,50,1,7350.0,60.263999938964844,79.3972602739726,78.85909052166119,77.88080284065957,0
covtypeNorm,OzaBagAdwinExecutorRUNPER,100,8,1,1,3846.0,60.00600051879883,70.28081123244931,72.04022475252117,69.7253932071215,0
GMSC,OzaBagAdwinExecutorRUNPER,100,8,1,1,27049.0,60.0,93.60789677991794,77.72023023056802,52.86550498744196,0
GMSC,StreamingRandomPatchesExecutorRUNPER,100,8,1,1,7307.0,60.00299835205078,93.66361023675928,66.88699945145365,50.58645169893511,0
GMSC,OzaBagASHTExecutorMAXChunk,150,8,50,1,73700.0,60.02000045776367,93.31839782756279,75.7,51.4,
GMSC,LeveragingBag,100,1,1,1,9398.0,60.00199890136719,93.45605447967654,66.94304408452216,52.24426005910434,0.0
GMSC,LBagExecutorRUNPER,100,8,1,1,15163.0,60.0,93.4775440216316,68.75369073866347,52.100915378544435,0.0
GMSC,AdaptiveRandomForestSequential,100,1,1,1,7693.0,60.000999450683594,93.5525802677759,64.55266007695676,51.081938513139654,0
elecNormNew,LBagExecutorRUNPER,100,8,1,1,13134.0,60.000999450683594,90.42180599969545,90.28719927115962,90.30964262979036,115.0
GMSC,OzaBagExecutorMAXChunk,150,8,50,1,51100.0,60.04499816894531,93.39666993143977,76.19002894079465,52.18119612366549,0
airlines,LBagExecutorRUNPER,100,8,1,1,2595.0,60.03099822998047,70.44315992292871,56.626176738536294,54.21722048448171,13.0
