dataset,algorithm,ensemble_size,cores,batch_size,inc_rate,instances,time,acc,prec,recall
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,3,50,1,10000.0,30.45599937438965,76.68341708542712,76.3203660525669,76.11816015120228,0
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,3,50,1,10000.0,10.493000030517578,61.14572864321608,59.91047753121822,59.96215706673079,0
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,3,50,1,45312.0,59.58599853515625,88.43400645132783,88.37513223627772,87.87367818152663,0
airlines,LBagExecutorMAXChunk,25,3,50,1,10000.0,80.15799713134766,61.86934673366834,60.03784582526313,58.2905785858714,157.0
airlines,StreamingRandomPatchesExecutorMAXChunk,25,3,50,1,10000.0,67.80699920654297,65.87939698492463,65.18756294058409,62.22506650241251,0
airlines,OzaBagAdwinExecutorMAXChunk,25,3,50,1,10000.0,26.05900001525879,85.97989949748744,87.49811370841071,84.01306315155432,0
GMSC,OzaBagExecutorMAXChunk,25,3,50,1,150000.0,22.650999069213867,93.36112037345782,74.19373218411931,51.77935424462843,0
elecNormNew,OzaBagASHTExecutorMAXChunk,25,3,50,1,45312.0,11.781000137329102,78.4432857584729,78.84330865220865,76.73569955581118,0
airlines,AdaptiveRandomForestExecutorMAXChunk,25,3,50,1,10000.0,74.1780014038086,65.12562814070351,64.07860284218444,61.68483158016077,0
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,3,50,1,45312.0,21.582000732421875,85.55300251866909,85.93589702999486,84.43321038783658,0
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,3,50,1,150000.0,107.81500244140625,93.5245081693898,76.93236658492665,54.45138648492269,0
airlines,OzaBagExecutorMAXChunk,25,3,50,1,10000.0,12.548999786376953,58.723618090452256,56.01573357445646,54.823588090057875,0
elecNormNew,OzaBagExecutorMAXChunk,25,3,50,1,45312.0,12.105999946594238,77.30546595378021,77.72265421119012,75.47472830583453,0
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,3,50,1,150000.0,203.29200744628906,93.48382794264755,79.03121299489928,52.68807129261026,0
airlines,OzaBagASHTExecutorMAXChunk,25,3,50,1,10000.0,10.380000114440918,57.48743718592964,55.18898370538228,54.74263704779785,0
GMSC,LBagExecutorMAXChunk,25,3,50,1,150000.0,87.49400329589844,93.36645548516172,73.50120387479701,52.80581800993733,2135.0
covtypeNorm,OzaBagExecutorMAXChunk,25,3,50,1,10000.0,9.281000137329102,62.462311557788944,62.2824865458676,61.43445403695874,0
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,3,50,1,10000.0,24.042999267578125,75.89949748743719,76.07188581233414,75.46305327774633,0
covtypeNorm,LBagExecutorMAXChunk,25,3,50,1,10000.0,33.07600021362305,75.64824120603015,75.71341269691972,75.19663007189294,183.0
GMSC,OzaBagASHTExecutorMAXChunk,25,3,50,1,150000.0,21.92300033569336,93.27109036345449,75.7,51.5,
elecNormNew,LBagExecutorMAXChunk,25,3,50,1,45312.0,40.959999084472656,90.7273209314657,90.74376208037775,90.2293691683915,902.0
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,3,50,1,10000.0,59.38600158691406,82.30150753768845,82.31861909918254,81.91908794978835,0
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,3,50,1,45312.0,111.87000274658203,89.24925986478723,89.29135104550375,88.63865300984719,0
GMSC,OzaBagAdwinExecutorMAXChunk,25,3,50,1,150000.0,42.165000915527344,93.39046348782928,82.68174043583849,50.88263220434796,0
