dataset,algorithm,ensemble_size,cores,batch_size,inc_rate,instances,time,acc,prec,recall
GMSC,StreamingRandomPatches,25,1,1,1,150000.0,584.4080200195312,93.522,79.90445505127572,53.04568638493067,0
elecNormNew,LeveragingBag,25,1,1,1,45312.0,87.45999908447266,89.84595692090396,89.84932541092364,89.30907356294604,280.0
airlines,LeveragingBag,25,1,1,1,539383.0,7344.4931640625,63.41634793829246,62.91507110787744,61.991288327085805,3011.0
elecNormNew,OzaBagASHT,25,1,1,1,45312.0,30.183000564575195,83.25609110169492,83.11881428592338,82.42590483712999,0
GMSC,OzaBagASHT,25,1,1,1,150000.0,66.85299682617188,93.32666666666667,75.2,51.1,
covtypeNorm,OzaBagAdwin,25,1,1,1,581012.0,1980.509033203125,84.55642912710925,75.43407692106378,81.65332087025419,4234.0
airlines,AdaptiveRandomForestSequential,25,1,1,1,539383.0,5998.18505859375,66.23289944251115,65.82927453668681,65.11915232884571,0
GMSC,LeveragingBag,25,1,1,1,150000.0,205.41799926757812,93.51533333333333,75.9147805908734,55.20424234210821,4.0
elecNormNew,AdaptiveRandomForestSequential,25,1,1,1,45312.0,141.37899780273438,88.81532485875707,88.8066603106365,88.22749962856713,0
elecNormNew,OzaBagAdwin,25,1,1,1,45312.0,37.34400177001953,84.8583156779661,85.11547236806389,83.78055422219614,322.0
GMSC,AdaptiveRandomForestSequential,25,1,1,1,150000.0,278.96600341796875,93.52133333333333,76.7558962264151,54.52687302096807,0
covtypeNorm,AdaptiveRandomForestSequential,25,1,1,1,581012.0,2308.43994140625,92.43113739475261,89.39694015094706,81.69331904034965,0
GMSC,OzaBagAdwin,25,1,1,1,150000.0,88.41600036621094,93.446,78.88636944103557,52.11140840493101,0.0
covtypeNorm,StreamingRandomPatches,25,1,1,1,581012.0,7813.9189453125,95.5747901936621,93.13848474442669,90.30099413484598,0
airlines,OzaBagAdwin,25,1,1,1,539383.0,2204.73291015625,66.5779232938376,66.27620329105534,65.31263313582426,1557.0
airlines,OzaBagASHT,25,1,1,1,539383.0,752.52099609375,66.2392029411383,67.36028268401662,63.917558294586875,0
elecNormNew,StreamingRandomPatches,25,1,1,1,45312.0,274.9849853515625,90.02030367231639,89.99769579977202,89.51985993355026,0
covtypeNorm,OzaBagASHT,25,1,1,1,581012.0,1528.990966796875,85.10237310072769,75.75488219035341,76.57529992996442,0
covtypeNorm,LeveragingBag,25,1,1,1,581012.0,2814.0830078125,92.55282162846895,85.56689679770511,86.66174136105023,3966.0
airlines,StreamingRandomPatches,25,1,1,1,539383.0,6663.02001953125,67.82323506673366,67.59139872580673,66.60617884753192,0
