dataset,algorithm,ensemble_size,cores,batch_size,inc_rate,instances,time,acc,prec,recall
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,2,50,1,45312.0,23.520000457763672,79.86169413636162,79.86120367931954,78.60571528323558,0
airlines,AdaptiveRandomForestExecutorMAXChunk,25,2,50,1,539383.0,3508.60791015625,66.08662922535798,65.66733024073297,64.99099577073153,0
elecNormNew,OzaBagASHTExecutorMAXChunk,25,2,50,1,45312.0,18.774999618530273,79.36237903760329,79.08419098429208,78.38559715779776,0
GMSC,OzaBagExecutorMAXChunk,25,2,50,1,150000.0,43.30400085449219,93.51983994664889,78.35915317743778,53.54107248428279,0
airlines,OzaBagAdwinExecutorMAXChunk,25,2,50,1,539383.0,1361.5379638671875,67.02445427963801,66.9246059805263,65.5579254225805,0
airlines,StreamingRandomPatchesExecutorMAXChunk,25,2,50,1,539383.0,3647.43896484375,67.70288485963218,67.44954865247308,66.50374983621015,0
airlines,LBagExecutorMAXChunk,25,2,50,1,539383.0,4280.296875,63.755230998288624,63.27162207239743,62.366419502077996,10746.0
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,2,50,1,45312.0,77.54000091552734,80.36984667049623,80.1568718767945,79.39472054090626,0
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,2,50,1,581012.0,847.625,83.89636499461238,73.51173537952752,73.837762613891,0
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,2,50,1,581012.0,1231.1629638671875,89.53666504866067,86.43283784206413,75.14089702598616,0
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,2,50,1,150000.0,285.2640075683594,93.50316772257419,80.0259454355297,52.72622394986932,0
elecNormNew,OzaBagExecutorMAXChunk,25,2,50,1,45312.0,18.392000198364258,78.69073394900799,78.27513382066975,77.89695937953718,0
airlines,OzaBagExecutorMAXChunk,25,2,50,1,539383.0,357.3009948730469,65.02735786610498,65.86750530953314,62.67403064988053,0
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,2,50,1,150000.0,154.8000030517578,93.51517172390797,76.55454427037618,54.5390178626061,0
covtypeNorm,LBagExecutorMAXChunk,25,2,50,1,581012.0,1710.698974609375,87.71537553230677,81.3871923315481,76.67862940968739,11604.0
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,2,50,1,581012.0,1301.9949951171875,81.9363400704349,75.26343930960768,76.84895408770147,0
covtypeNorm,OzaBagExecutorMAXChunk,25,2,50,1,581012.0,835.0609741210938,83.02315814115208,72.36104361589553,71.8216072126854,0
GMSC,LBagExecutorMAXChunk,25,2,50,1,150000.0,112.375,93.33977992664222,72.60778432958301,52.68962759945386,2158.0
airlines,OzaBagASHTExecutorMAXChunk,25,2,50,1,539383.0,449.5329895019531,66.25090621193215,67.39871657326245,63.92023817449143,0
GMSC,OzaBagAdwinExecutorMAXChunk,25,2,50,1,150000.0,45.44900131225586,93.31977325775259,77.61446767342892,50.061998700908426,0
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,2,50,1,45312.0,155.49899291992188,81.35743007379259,81.30148400927445,80.28484046011955,0
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,2,50,1,581012.0,3953.485107421875,94.19686657647144,91.44306814457373,87.12929441340279,0
elecNormNew,LBagExecutorMAXChunk,25,2,50,1,45312.0,53.59600067138672,81.54743493438204,81.45009722565148,80.53457957783905,872.0
airlines,StreamingRandomPatches,25,1,1,1
GMSC,OzaBagASHTExecutorMAXChunk,25,2,50,1,150000.0,42.459999084472656,93.38779593197732,75.3,51.3,
