dataset,algorithm,ensemble_size,cores,batch_size,inc_rate,instances,time,delay,out_rate
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,2000,32,3600.0,119.96099853515625,35077.0,30.009754180908203
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,2000,398,45312.0,114.88700103759766,3093.0,394.4049377441406
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,500,288,34143.0,119.87300109863281,1208.0,284.8264465332031
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,500,43,4800.0,119.97799682617188,8803.0,40.0073356628418
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,500,58,6600.0,119.99500274658203,5577.0,55.002288818359375
elecNormNew,LBagExecutorMAXChunk,25,4,500,32,3600.0,119.96900177001953,9184.0,30.00775146484375
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,500,162,19168.0,119.81400299072266,2128.0,159.98130798339844
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,85,10184.0,120.00800323486328,15326.0,84.86100769042969
covtypeNorm,OzaBagExecutorMAXChunk,25,4,50,10,1200.0,120.03199768066406,2571.0,9.997334480285645
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,50,206,24559.0,119.85800170898438,131.0,204.9008026123047
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,500,32,3600.0,119.96399688720703,9244.0,30.009002685546875
covtypeNorm,LBagExecutorMAXChunk,25,4,2000,38,4000.0,120.97899627685547,36506.0,33.06359100341797
elecNormNew,OzaBagExecutorMAXChunk,25,4,500,862,45312.0,52.808998107910156,422.0,858.0355834960938
GMSC,OzaBagASHTExecutorMAXChunk,25,4,50,170,20366.0,119.8239974975586,153.0,169.96595764160156
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,500,154,17970.0,119.8290023803711,2257.0,149.9636993408203
GMSC,LBagExecutorMAXChunk,25,4,500,378,44925.0,119.88899993896484,892.0,374.72161865234375
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,50,41,4800.0,119.99299621582031,637.0,40.00233459472656
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,2000,58,6600.0,119.98899841308594,20981.0,55.005043029785156
GMSC,OzaBagASHTExecutorMAXChunk,25,4,2000,1530,150000.0,98.66100311279297,961.0,1520.3575439453125
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,2000,42,4800.0,119.98600006103516,29369.0,40.00466537475586
GMSC,OzaBagASHTExecutorMAXChunk,25,4,500,850,101781.0,120.0009994506836,365.0,848.1679077148438
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,50,6,600.0,120.06700134277344,5173.0,4.9972100257873535
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,50,4,2400.0,120.20800018310547,1509.0,19.96539306640625
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,500,371,44326.0,119.90499877929688,794.0,369.6759948730469
covtypeNorm,OzaBagExecutorMAXChunk,25,4,2000,90,10783.0,120.01000213623047,15768.0,89.85084533691406
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,500,56,6600.0,119.99099731445312,5619.0,55.004127502441406
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,500,160,19168.0,119.81800079345703,1970.0,159.97596740722656
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,50,23,2400.0,120.18299865722656,1499.0,19.969547271728516
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,2000,43,4800.0,119.9729995727539,34331.0,40.009002685546875
GMSC,OzaBagASHTExecutorMAXChunk,25,4,50,1530,150000.0,98.34200286865234,22.0,1525.289306640625
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,2000,371,44326.0,119.89700317382812,3243.0,369.7006530761719
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,500,41,4800.0,119.98500061035156,6412.0,40.005001068115234
covtypeNorm,LBagExecutorMAXChunk,25,4,50,68,7800.0,120.17900085449219,540.0,64.90318298339844
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,50,56,6600.0,120.0770034790039,564.0,54.96472930908203
GMSC,LBagExecutorMAXChunk,25,4,50,210,25158.0,119.86000061035156,139.0,209.89488220214844
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,50,102,11980.0,119.81400299072266,318.0,99.98831176757812
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,2000,79,8986.0,120.00800323486328,13850.0,74.87834167480469
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,500,18,1800.0,119.9540023803711,17999.0,15.005751609802246
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,50,4,2400.0,120.0530014038086,1359.0,19.99117088317871
elecNormNew,OzaBagExecutorMAXChunk,25,4,50,95,11381.0,119.82099914550781,278.0,94.98335266113281
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,50,11,1200.0,120.03600311279297,2649.0,9.997000694274902
elecNormNew,LBagExecutorMAXChunk,25,4,50,294,34742.0,119.91200256347656,107.0,289.7291259765625
elecNormNew,LBagExecutorMAXChunk,25,4,2000,163,19168.0,119.83200073242188,7678.0,159.957275390625
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,50,58,6600.0,120.16799926757812,590.0,54.9231071472168
covtypeNorm,LBagExecutorMAXChunk,25,4,2000,7,600.0,119.93800354003906,64547.0,5.002584457397461
GMSC,OzaBagExecutorMAXChunk,25,4,50,108,12580.0,120.00199890136719,248.0,104.83158874511719
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,50,6,600.0,120.04199981689453,5226.0,4.998250484466553
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,500,11,1200.0,119.94499969482422,25518.0,10.004585266113281
