,dataset,algorithm,batch_size,acc,instances,time,JPI,joules,cores,label,delay,delay_s,IPS,delay_normalized,JPI_normalized
15,elecNormNew,SRPMB,50,91.17088607594935,15850.0,599.3839721679688,0.11068701540310373,1738.1037420028294,4,MB-LF-50,1042.0,1.042,26.443816878637296,0.14336818932306,0.29514163552522715
55,elecNormNew,OBMB,50,78.43314917127073,45300.0,409.1960144042969,0.025998579415674173,1161.2644168461593,4,MB-LF-50,226.0,0.226,110.70489057902299,0.03109521188772702,0.0693239692309873
34,elecNormNew,OBAdwinMB,50,84.15911602209944,45300.0,442.2420043945313,0.028105872838939523,1256.8320726375769,4,MB-LF-50,260.0,0.26,102.43260375508594,0.03577325261419923,0.07494296641154233
26,elecNormNew,OBASHTMB,50,72.54143646408839,45300.0,235.23899841308597,0.015297394128542792,676.4067568162941,4,MB-LF-50,135.0,0.135,192.57011084723285,0.018574573472757292,0.04078977019959946
85,elecNormNew,LBagMB,50,90.2547770700637,39300.0,599.3579711914062,0.047207145691808484,1837.9394667039226,4,MB-LF-50,382.0,0.382,65.57016322295556,0.05255916345624656,0.1258755973970128
82,elecNormNew,ARFMB,50,89.41776937618148,26500.0,599.2529907226562,0.06610082493125573,1735.032398803599,4,MB-LF-50,613.0,0.613,44.22172339606165,0.08434232250963127,0.1762546899356587
58,covtypeNorm,SRPMB,50,81.6082474226804,4900.0,599.2009887695312,0.3750301620648259,1823.0469788831824,4,MB-LF-50,3188.0,3.188,8.177556599267682,0.43863511282333517,1.0
69,covtypeNorm,OBMB,50,79.77888022678951,70600.0,599.291015625,0.02579705408425813,1804.0858803397364,4,MB-LF-50,216.0,0.216,117.80587086954964,0.02971931755641167,0.06878661156805563
30,covtypeNorm,OBAdwinMB,50,71.66,15050.0,599.2260131835938,0.12408344250485571,1846.5810225114185,4,MB-LF-50,1051.0,1.051,25.115732075851835,0.1446064942212438,0.3308625680176818
22,covtypeNorm,OBASHTMB,50,79.29826254826254,103650.0,599.447998046875,0.017127379469138566,1756.059053015818,4,MB-LF-50,154.0,0.154,172.9090769136156,0.021188772702256466,0.04566933863356305
60,covtypeNorm,LBagMB,50,78.5620253164557,19800.0,599.3790283203125,0.09136455127671962,1789.2533335805267,4,MB-LF-50,845.0,0.845,33.0341888262042,0.1162630709961475,0.24361920858228672
12,covtypeNorm,ARFMB,50,82.23776223776224,28650.0,599.2650146484375,0.06729018248485169,1912.7504723751185,4,MB-LF-50,548.0,0.548,47.80856432409574,0.07539900935608146,0.1794260549987983
50,airlines,SRPMB,50,67.24561403508773,5750.0,599.2030029296875,0.3129311773865133,1785.0637117580275,4,MB-LF-50,3086.0,3.086,9.596080079516431,0.42460099064391854,0.8344160258033367
20,airlines,OBMB,50,65.13270547945206,116850.0,599.4299926757812,0.015077753518422169,1742.7343895021318,4,MB-LF-50,148.0,0.148,194.9351908108503,0.020363236103467255,0.040204109011946355
65,airlines,OBAdwinMB,50,67.03652968036529,21950.0,599.375,0.08175866718629841,1774.9835315645016,4,MB-LF-50,762.0,0.762,36.62148070907195,0.10484314804623004,0.21800557783447297
31,airlines,OBASHTMB,50,66.2960235640648,135850.0,599.6489868164062,0.01357031632335276,1824.2068994543054,4,MB-LF-50,139.0,0.139,226.54920292826748,0.019124931205283434,0.03618459978962188
8,airlines,LBagMB,50,63.58778625954199,6600.0,599.2009887695312,0.28807534132534135,1879.9656663216954,4,MB-LF-50,2630.0,2.63,11.014668072483,0.36186020913593836,0.7681391271018516
88,airlines,ARFMB,50,66.98181818181818,5550.0,599.5560302734375,0.3196472435738491,1760.9895696517526,4,MB-LF-50,3070.0,3.07,9.25684960164412,0.422399559713814,0.8523240952512945
76,GMSC,SRPMB,50,93.5623869801085,27700.0,599.4240112304688,0.0688201980250584,1891.8769413274879,4,MB-LF-50,561.0,0.561,46.211028388967556,0.07718767198679141,0.18350576829914408
10,GMSC,OBMB,50,93.32844281427144,150000.0,431.2420043945313,0.00835785316455696,1234.334709287233,4,MB-LF-50,76.0,0.076,347.8325359576271,0.010456796917996699,0.022285815942218165
52,GMSC,OBAdwinMB,50,93.37125748502991,83550.0,599.39501953125,0.020866220653382634,1724.3711797017957,4,MB-LF-50,185.0,0.185,139.39054759804196,0.025454045129334066,0.05563877992772165
80,GMSC,OBASHTMB,50,93.30243414471492,150000.0,410.3280029296875,0.007890521083000443,1167.4405377628004,4,MB-LF-50,75.0,0.075,365.5612069588717,0.010319207484865162,0.021039697286098617
6,GMSC,LBagMB,50,93.43880597014925,67050.0,599.3070068359375,0.025986200572690556,1723.1310152631445,4,MB-LF-50,237.0,0.237,111.8792192235376,0.03260869565217391,0.06929096163790342
19,GMSC,ARFMB,50,93.41111111111113,45050.0,599.3380126953125,0.03885452664368239,1734.015066061186,4,MB-LF-50,346.0,0.346,75.1662651888263,0.04760594386351128,0.10360373797605693
0,elecNormNew,SRPMB,MB-DP,91.37777777777778,12812.0,599.3319702148438,0.1378495566287622,1732.4014488726068,4,MB-DP,2648.0,2.648,21.377134270690174,0.364336818932306,0.36756925328297774
1,elecNormNew,OBMB,MB-DP,78.47438752783964,45294.0,203.22900390625,0.0144546502532659,613.16056867327,4,MB-DP,146.0,0.146,222.87173154130218,0.020088057237204183,0.038542633940913104
2,elecNormNew,OBAdwinMB,MB-DP,84.2169341449917,45289.0,227.22300720214844,0.0155442893660914,663.7413347996702,4,MB-DP,228.0,0.228,199.31520385041267,0.03137039075399009,0.041448104548466924
3,elecNormNew,OBASHTMB,MB-DP,71.95577667219459,45290.0,169.14700317382812,0.0115230894875594,482.3746464005436,4,MB-DP,264.0,0.264,267.75526110537476,0.03632361034672537,0.030725767293265264
4,elecNormNew,LBagMB,MB-DP,90.14001138303928,44917.0,490.3009948730469,0.0318944270587532,1393.6630479130674,4,MB-DP,819.0,0.819,91.61107252419569,0.11268574573472757,0.08504496513867085
5,elecNormNew,ARFMB,MB-DP,89.12479201331115,30409.0,599.2899780273438,0.0582397607834007,1737.070823788513,4,MB-DP,1353.0,1.353,50.74171288513109,0.18615850302696754,0.15529353815902852
6,covtypeNorm,SRPMB,MB-DP,82.09859154929578,7177.0,599.2139892578125,0.2627919198405534,1846.6537641774053,4,MB-DP,1259.0,1.259,11.977357219062,0.1732250963126032,0.7007220923076807
7,covtypeNorm,OBMB,MB-DP,82.44559970293354,135033.0,599.3909912109375,0.0135498743343884,1789.0600608252614,4,MB-DP,197.0,0.197,225.2836662212683,0.027105118326912495,0.03613009220321387
8,covtypeNorm,OBAdwinMB,MB-DP,79.06076519129782,33731.0,599.2830200195312,0.0545161786523223,1800.674329055966,4,MB-DP,573.0,0.573,56.28559273863737,0.07883874518436984,0.14536478440072478
9,covtypeNorm,OBASHTMB,MB-DP,80.00399999999999,102221.0,599.572021484375,0.017106920455064,1710.3809286181418,4,MB-DP,498.0,0.498,170.4899433881671,0.06851953769950468,0.04561478565051251
10,covtypeNorm,LBagMB,MB-DP,80.93709327548807,24593.0,599.2849731445312,0.0725780410972993,1744.9768335678996,4,MB-DP,2385.0,2.385,41.03723787859576,0.32815079801871216,0.19352587721932032
11,covtypeNorm,ARFMB,MB-DP,87.31160896130346,50208.0,599.5289916992188,0.0384031033441717,1891.9437581970988,4,MB-DP,722.0,0.722,83.74574156572089,0.09933957072096863,0.10240003932679292
12,airlines,SRPMB,MB-DP,66.81938325991189,7128.0,599.2139892578125,0.2704171046011638,1890.35157318946,4,MB-DP,7268.0,7.268,11.895583427264029,1.0,0.7210542829737007
13,airlines,OBMB,MB-DP,64.43619489559165,194747.0,599.3820190429688,0.0101833651815151,1939.1228777164783,4,MB-DP,253.0,0.253,324.91298339404955,0.03481012658227848,0.02715345647253527
14,airlines,OBAdwinMB,MB-DP,67.13204373423045,30651.0,599.2760009765625,0.0597120789575118,1789.2591696125564,4,MB-DP,1799.0,1.799,51.14671695521268,0.24752339020363237,0.1592194041907228
15,airlines,OBASHTMB,MB-DP,63.71499421391965,151493.0,599.3070068359375,0.0121600475365063,1801.0124684163775,4,MB-DP,151.0,0.151,252.78029169025177,0.02077600440286186,0.03242418548299156
16,airlines,LBagMB,MB-DP,61.586854460093896,10891.0,599.218017578125,0.2019849856083802,2153.8739666261536,4,MB-DP,2685.0,2.685,18.175354679784892,0.3694276279581728,0.538583308863211
17,airlines,ARFMB,MB-DP,65.55670103092783,10809.0,599.2119750976562,0.1769930163393112,1876.2077314650296,4,MB-DP,4394.0,4.394,18.038691563596352,0.604567969179967,0.47194341747029145
18,GMSC,SRPMB,MB-DP,93.564457392571,34914.0,599.4030151367188,0.0497172866994926,1700.100236682615,4,MB-DP,1047.0,1.047,58.24795524599824,0.14405613648871768,0.13256876840454956
19,GMSC,OBMB,MB-DP,93.29094863643968,149845.0,408.2229919433594,0.0083879912624688,1218.7527005845222,4,MB-DP,105.0,0.105,367.0665370577434,0.014446890478811227,0.02236617773964242
20,GMSC,OBAdwinMB,MB-DP,93.39,90329.0,599.2890014648438,0.0190280577651059,1680.3412789488918,4,MB-DP,312.0,0.312,150.72694439445505,0.04292790313703908,0.05073740645376891
