dataset,algorithm,ensemble_size,cores,batch_size,inc_rate,instances,time,delay,out_rate,acc
covtypeNorm,LeveragingBag,25,1,1,146,15201.0,120.01100158691406,4763.0,126.66339111328125,73.76488388921781
GMSC,StreamingRandomPatchesExecutorRUNPER,25,2,1,301,35936.0,120.00299835205078,1214.0,299.4591979980469,93.51346838824577
airlines,StreamingRandomPatchesExecutorRUNPER,25,2,1,15,1798.0,119.99299621582031,116.0,14.984208106994629,74.36040044493882
covtypeNorm,OzaBagASHTExecutorRUNPER,25,2,1,43,4799.0,120.00499725341797,41.0,39.9900016784668,68.72265055219837
airlines,OzaBag,25,1,1,402,13917.0,120.0009994506836,18481.0,115.97403717041016,63.20327656822591
GMSC,OzaBag,25,1,1,184,21564.0,119.83100128173828,19.0,179.95343017578125,93.55407160081619
GMSC,StreamingRandomPatchesExecutorRUNPER,25,2,1,167,19767.0,119.8949966430664,274.0,164.8692626953125,93.58020943997572
airlines,StreamingRandomPatchesExecutorRUNPER,25,2,1,77,4768.0,120.27400207519531,15331.0,39.64281463623047,68.64513422818791
airlines,OzaBagASHT,25,1,1,499,8699.0,120.36299896240234,15662.0,72.27304077148438,64.72008276813426
airlines,OzaBagExecutorRUNPER,25,2,1,724,13790.0,120.00299835205078,30807.0,114.9137954711914,65.00362581580855
GMSC,OzaBagASHT,25,1,1,191,22762.0,119.85099792480469,19.0,189.91915893554688,93.55065459977155
GMSC,OzaBagASHT,25,1,1,959,114218.0,119.9000015258789,104.0,952.6104736328125,93.35656376403018
airlines,LeveragingBag,25,1,1,75,4211.0,120.04000091552734,13041.0,35.07997131347656,67.37117074329137
covtypeNorm,OzaBag,25,1,1,217,25756.0,120.00199890136719,199.0,214.6297607421875,71.43966454418388
covtypeNorm,OzaBagASHTExecutorRUNPER,25,2,1,388,32650.0,120.00299835205078,8423.0,272.0765380859375,75.90505359877488
covtypeNorm,OzaBagAdwinExecutorRUNPER,25,2,1,379,23720.0,120.0009994506836,12746.0,197.66502380371094,80.0716694772344
covtypeNorm,OzaBagAdwin,25,1,1,379,25711.0,120.00199890136719,11398.0,214.2547607421875,78.27000116681576
airlines,AdaptiveRandomForestExecutorRUNPER,25,2,1,15,1798.0,119.9729995727539,67.0,14.986705780029297,73.41490545050056
elecNormNew,StreamingRandomPatches,25,1,1,25,3000.0,119.98200225830078,45.0,25.00374984741211,92.26666666666667
airlines,OzaBag,25,1,1,80,9582.0,120.04000091552734,854.0,79.82339477539062,64.04717178042162
elecNormNew,StreamingRandomPatchesExecutorRUNPER,25,2,1,229,23395.0,120.00299835205078,6302.0,194.95346069335938,90.66039752083779
airlines,OzaBagAdwinExecutorRUNPER,25,2,1,205,13422.0,120.00599670410156,14162.0,111.84441375732422,63.85784532856504
elecNormNew,AdaptiveRandomForestSequential,25,1,1,43,4797.0,120.00299835205078,30.0,39.974002838134766,89.03481342505732
covtypeNorm,StreamingRandomPatches,25,1,1,60,7164.0,120.01300048828125,571.0,59.69353485107422,82.14684533780012
covtypeNorm,AdaptiveRandomForestExecutorRUNPER,25,2,1,200,23572.0,119.95099639892578,1070.0,196.51358032226562,79.18292889869336
elecNormNew,OzaBag,25,1,1,694,45312.0,65.83300018310547,180.0,688.2870483398438,82.4947033898305
airlines,OzaBagAdwin,25,1,1,114,12593.0,120.0009994506836,1215.0,104.9407958984375,63.70205669816564
airlines,OzaBagAdwinExecutorRUNPER,25,2,1,22,2398.0,119.96900177001953,65.0,19.988496780395508,72.22685571309424
covtypeNorm,LeveragingBag,25,1,1,264,14672.0,120.00399780273438,16550.0,122.2625961303711,74.34569247546347
covtypeNorm,StreamingRandomPatchesExecutorRUNPER,25,2,1,108,10333.0,120.00800323486328,7604.0,86.10259246826172,81.80586470531307
GMSC,OzaBag,25,1,1,1663,150000.0,90.53700256347656,392.0,1656.7811279296875,93.446
airlines,AdaptiveRandomForestExecutorRUNPER,25,2,1,78,5434.0,120.95500183105469,13021.0,44.92579650878906,67.22488038277513
covtypeNorm,OzaBag,25,1,1,390,34000.0,120.00299835205078,8082.0,283.3262634277344,73.96470588235294
airlines,OzaBagAdwin,25,1,1,22,2398.0,119.96499633789062,61.0,19.989164352416992,72.72727272727273
GMSC,OzaBagAdwin,25,1,1,1578,150000.0,95.5250015258789,799.0,1570.26953125,93.446
elecNormNew,OzaBagExecutorRUNPER,25,2,1,694,45182.0,65.8280029296875,354.0,686.3644409179688,82.20308972599707
GMSC,StreamingRandomPatches,25,1,1,167,19767.0,119.93900299072266,291.0,164.80877685546875,93.59032731319876
airlines,OzaBagASHTExecutorRUNPER,25,2,1,499,13335.0,120.0009994506836,22305.0,111.12407684326172,62.879640044994375
covtypeNorm,OzaBagAdwinExecutorRUNPER,25,2,1,210,25080.0,119.97899627685547,5854.0,209.03659057617188,79.86443381180224
airlines,LBagExecutorRUNPER,25,2,1,75,5908.0,121.3030014038086,9973.0,48.70448303222656,64.33649289099526
covtypeNorm,OzaBagASHTExecutorRUNPER,25,2,1,215,25757.0,119.9729995727539,2833.0,214.68997192382812,71.6348953682494
covtypeNorm,OzaBagAdwin,25,1,1,210,24715.0,120.0009994506836,5423.0,205.9566192626953,77.13129678332996
GMSC,StreamingRandomPatches,25,1,1,301,34756.0,120.0009994506836,3153.0,289.63092041015625,93.53780642191276
covtypeNorm,OzaBagAdwinExecutorRUNPER,25,2,1,42,4797.0,120.00199890136719,62.0,39.974334716796875,73.71273712737127
elecNormNew,StreamingRandomPatchesExecutorRUNPER,25,2,1,25,3000.0,119.98500061035156,39.0,25.00312614440918,92.06666666666666
elecNormNew,LeveragingBag,25,1,1,620,42652.0,91.9209976196289,7769.0,464.00714111328125,89.77773609678327
GMSC,LBagExecutorRUNPER,25,2,1,90,10783.0,120.00399780273438,36.0,89.85533905029297,93.28572753408142
elecNormNew,AdaptiveRandomForestExecutorRUNPER,25,2,1,395,43873.0,120.00399780273438,5703.0,365.5961608886719,88.58523465457114
GMSC,OzaBagAdwinExecutorRUNPER,25,2,1,1578,146124.0,113.00599670410156,6747.0,1293.0640869140625,93.52194026990776
covtypeNorm,StreamingRandomPatchesExecutorRUNPER,25,2,1,12,1200.0,119.95099639892578,73.0,10.004085540771484,74.75
elecNormNew,LBagExecutorRUNPER,25,2,1,620,43680.0,79.86599731445312,4430.0,546.9160766601562,89.83287545787546
airlines,StreamingRandomPatches,25,1,1,139,3097.0,120.02400207519531,26006.0,25.803173065185547,72.00516628995803
