,algorithm,dataset,cores,batch_size,inc_rate,out_rate,instances,time,delay,acc,duration,avg_measure,sum_measure,prod_rate,tt_inst_prod,joules,JPI,PERC
115,StreamingRandomPatchesExecutorRUNPER,elecNormNew,4,1,122,119.24071502685548,14335.0,120.21900177001952,1410.0,91.29403557725846,125,3.754625550660793,852.3,119.78502687164105,14376.0,451.37733572065036,0.03148778065717826,0
133,StreamingRandomPatchesExecutorRUNPER,elecNormNew,4,1,67,64.89837646484375,7788.0,120.00299835205078,340.0,91.0246533127889,126,3.536244541484716,809.8,64.89940592082272,7800.0,424.359947884239,0.054488950678510395,0
14,StreamingRandomPatchesExecutorRUNPER,elecNormNew,4,1,13,10.00341796875,1200.0,119.95899963378906,35.0,90.58333333333334,126,3.2412280701754397,739.0000000000002,9.988513209808719,1200.0,388.8144768832024,0.32401206406933536,0
2,StreamingRandomPatches,elecNormNew,1,1,122,94.68851470947266,11363.0,120.00399780273438,9010.0,91.69233477074717,125,3.528318584070796,797.3999999999999,119.79001749854179,14376.0,423.4123356101786,0.037262372226540406,0
109,StreamingRandomPatches,elecNormNew,1,1,67,64.89134979248047,7788.0,120.01599884033205,764.0,91.49974319465844,125,3.425991189427313,777.7,64.89508627718521,7800.0,411.1737546172962,0.05279580824567234,0
24,StreamingRandomPatches,elecNormNew,1,1,13,10.003334045410156,1200.0,119.95999908447266,62.0,90.75,125,3.238666666666667,728.7,9.988679496570553,1200.0,388.5104503682455,0.32375870864020456,0
15,OzaBagExecutorRUNPER,elecNormNew,4,1,673,650.7208862304688,44141.0,67.83399963378906,2293.0,82.81869463763847,76,3.625179856115107,503.89999999999986,666.2941505161309,45312.0,245.91044903213165,0.005571021250812887,0
108,OzaBagExecutorRUNPER,elecNormNew,4,1,373,369.4602966308594,44326.0,119.9749984741211,366.0,82.20683120516176,129,3.395726495726496,794.6000000000001,369.09728293905556,44326.0,407.40228114331893,0.009191045461880588,0
116,OzaBagExecutorRUNPER,elecNormNew,4,1,74,69.88700866699219,8387.0,120.00800323486328,47.0,87.86216764039585,128,3.237931034482759,751.2,69.88643454386622,8400.0,388.57763806047114,0.046330945279655554,0
51,OzaBagAdwinExecutorRUNPER,elecNormNew,4,1,557,544.2931518554688,44564.0,81.875,3227.0,85.96400682164976,89,3.6524691358024692,591.7,552.3900084116593,45312.0,299.0459104938272,0.006710481790095754,0
67,OzaBagAdwinExecutorRUNPER,elecNormNew,4,1,309,304.537353515625,36539.0,119.98200225830078,431.0,86.1627302334492,128,3.43103448275862,795.9999999999999,304.31921910917146,36539.0,411.6623870586526,0.011266383509637719,0
