,algorithm,dataset,cores,batch_size,inc_rate,out_rate,instances,time,delay,acc,ensemble_size,duration,avg_measure,sum_measure,prod_rate,tt_inst_prod,avg_times_duration,joules,JPIold,JPI,frequency_maximum,PERC,tput
66,StreamingRandomPatchesExecutorRUNPER,elecNormNew,4,1,97,94.84209442138672,11382.0,120.01000213623048,856.0,91.50412932700756,25,125,3.602643171806167,817.8,94.84350821145111,11400.0,450.3303964757709,432.3532147445343,0.0003165211010196949,0.03956513762746186,600,90,94.84209480372824
56,StreamingRandomPatchesExecutorRUNPER,elecNormNew,4,1,54,49.93708801269531,5993.0,120.01100158691406,234.0,91.13966294009678,25,125,3.391891891891891,752.9999999999999,49.9271895152902,6000.0,423.9864864864864,407.0643432204787,0.000565975620205555,0.07074695252569438,600,50,49.93708843984412
87,StreamingRandomPatchesExecutorRUNPER,elecNormNew,4,1,10,10.00300121307373,1200.0,119.96399688720705,36.0,90.58333333333334,25,125,3.217621145374449,730.4,9.989095237698846,1200.0,402.20264317180613,385.998693067912,0.0026813509544787078,0.33516886930983847,600,10,10.00300115982521
36,StreamingRandomPatches,elecNormNew,1,1,97,92.85755920410156,11143.0,120.0009994506836,3300.0,91.67190164228664,25,125,3.507048458149779,796.0999999999999,94.84350821145111,11400.0,438.3810572687224,420.8493200999524,0.00031473108302519783,0.039341385378149726,600,90,92.85755994540196
46,StreamingRandomPatches,elecNormNew,1,1,54,49.932918548583984,5992.0,120.0009994506836,372.0,91.53871829105476,25,125,3.3429203539823007,755.5,49.92552775443297,6000.0,417.8650442477876,401.15378356190905,0.0005578972553375001,0.06973715691718751,600,50,49.932917454262636
97,StreamingRandomPatches,elecNormNew,1,1,10,10.00341796875,1200.0,119.95899963378906,62.0,90.75,25,125,3.198237885462555,726.0,9.98892893709472,1200.0,399.77973568281936,383.6574173309729,0.0026651982378854623,0.3331497797356828,600,10,10.003417864965206
126,OzaBagExecutorRUNPER,elecNormNew,4,1,577,568.6202392578125,44950.0,79.0510025024414,1126.0,82.39377085650723,25,87,3.59622641509434,571.8000000000001,571.9045815978795,45312.0,312.8716981132076,284.28530333896856,8.000503704325562e-05,0.006960438222763239,600,90,568.6202398079869
114,OzaBagExecutorRUNPER,elecNormNew,4,1,320,319.535888671875,38336.0,119.9739990234375,298.0,82.11602671118531,25,128,3.410344827586207,791.2,319.23787951967756,38336.0,436.5241379310345,409.1527070144127,8.89593287663347e-05,0.011386794082090841,600,50,319.5359020458331
24,OzaBagExecutorRUNPER,elecNormNew,4,1,64,59.91616821289063,7190.0,120.0009994506836,36.0,87.67732962447845,25,128,3.215517241379311,746.0000000000001,59.90664547746429,7200.0,411.5862068965518,385.8652827164223,0.00044722075679823515,0.0572442568701741,600,10,59.91616763954412
123,OzaBagAdwinExecutorRUNPER,elecNormNew,4,1,444,438.41644287109375,45238.0,103.18499755859376,1263.0,86.13333922808259,25,111,3.5405940594059406,715.2,438.68719140284634,45312.0,393.0059405940594,365.3361893757736,7.826592818882224e-05,0.008687518028959269,600,90,438.41644687069487
