dataset,algorithm,ensemble_size,cores,batch_size,inc_rate,instances,time,delay,out_rate,acc
elecNormNew,AdaptiveRandomForestExecutorRUNPER,25,4,1,184,21564.0,119.947998046875,1567.0,179.7779083251953,89.56130588017065
covtypeNorm,AdaptiveRandomForestSequential,25,1,1,16
elecNormNew,OzaBagExecutorRUNPER,25,4,1,64,7193.0,120.0009994506836,29.0,59.941165924072266,87.66856666203253
elecNormNew,OzaBagAdwin,25,1,1,444,45312.0,103.1709976196289,493.0,439.1932067871094,84.76783192090396
elecNormNew,OzaBagAdwin,25,1,1,247,29351.0,119.9260025024414,186.0,244.74258422851562,85.85056727198392
elecNormNew,AdaptiveRandomForestSequential,25,1,1,20,2400.0,119.98200225830078,56.0,20.003000259399414,86.66666666666667
elecNormNew,StreamingRandomPatches,25,1,1,97,11290.0,120.00499725341797,3092.0,94.07941436767578,91.68290522586359
elecNormNew,OzaBag,25,1,1,64,7191.0,120.0009994506836,20.0,59.92449951171875,87.53998053121958
elecNormNew,AdaptiveRandomForestSequential,25,1,1,102,11980.0,119.9469985961914,1116.0,99.87744903564453,89.55759599332221
elecNormNew,StreamingRandomPatches,25,1,1,54,5992.0,120.00700378417969,377.0,49.930419921875,91.53871829105475
elecNormNew,StreamingRandomPatchesExecutorRUNPER,25,4,1,54,5991.0,120.3239974975586,236.0,49.790565490722656,91.13670505758637
elecNormNew,OzaBagASHTExecutorRUNPER,25,4,1,61,7189.0,120.00399780273438,35.0,59.90633773803711,88.49631381276951
elecNormNew,StreamingRandomPatchesExecutorRUNPER,25,4,1,97,11382.0,120.01100158691406,819.0,94.84130859375,91.33719908627657
elecNormNew,OzaBagAdwinExecutorRUNPER,25,4,1,49,5400.0,119.99500274658203,21.0,45.00187301635742,90.53703703703704
elecNormNew,OzaBag,25,1,1,320,38336.0,119.94400024414062,166.0,319.6158142089844,82.65077212020033
elecNormNew,OzaBagASHT,25,1,1,556,45122.0,81.85900115966797,493.0,551.2161254882812,83.16563982092993
elecNormNew,OzaBagASHT,25,1,1,309,36539.0,119.94400024414062,170.0,304.6338195800781,83.250773146501
elecNormNew,OzaBag,25,1,1,577,45029.0,79.02799987792969,477.0,569.785400390625,82.72224566390548
elecNormNew,StreamingRandomPatchesExecutorRUNPER,25,4,1,10,1200.0,119.95899963378906,35.0,10.00341796875,90.58333333333334
elecNormNew,AdaptiveRandomForestSequential,25,1,1,184,17079.0,120.00700378417969,10122.0,142.3166961669922,89.51343755489198
elecNormNew,StreamingRandomPatches,25,1,1,10,1200.0,119.95999908447266,60.0,10.003334045410156,90.75
elecNormNew,LBagExecutorRUNPER,25,4,1,30,3600.0,119.97699737548828,22.0,30.005752563476562,90.88888888888889
elecNormNew,OzaBagAdwinExecutorRUNPER,25,4,1,247,29351.0,119.94000244140625,337.0,244.71401977539062,86.9374126946271
elecNormNew,LeveragingBag,25,1,1,276,30084.0,120.00599670410156,6757.0,250.68746948242188,90.00797766254487
elecNormNew,OzaBagASHTExecutorRUNPER,25,4,1,309,36539.0,119.96800231933594,322.0,304.5728759765625,83.46698048660336
elecNormNew,OzaBagASHTExecutorRUNPER,25,4,1,556,44897.0,81.86699676513672,1448.0,548.4139404296875,83.19264093369267
elecNormNew,OzaBagExecutorRUNPER,25,4,1,320,38336.0,119.96299743652344,307.0,319.5652160644531,82.11602671118531
elecNormNew,LBagExecutorRUNPER,25,4,1,153,17970.0,119.88400268554688,293.0,149.8948974609375,91.21313299944352
elecNormNew,OzaBagAdwinExecutorRUNPER,25,4,1,444,45312.0,103.16999816894531,1160.0,439.19744873046875,86.11184675141243
elecNormNew,OzaBagExecutorRUNPER,25,4,1,577,44829.0,79.03199768066406,1182.0,567.2259521484375,82.54478127997503
elecNormNew,AdaptiveRandomForestExecutorRUNPER,25,4,1,102,11980.0,119.91400146484375,466.0,99.9049301147461,89.31552587646077
elecNormNew,OzaBagASHT,25,1,1,61,7189.0,120.00199890136719,21.0,59.9073371887207,88.03727917651968
elecNormNew,LeveragingBag,25,1,1,30,3600.0,119.97599792480469,43.0,30.00600242614746,90.63888888888889
elecNormNew,AdaptiveRandomForestExecutorRUNPER,25,4,1,20,2400.0,119.98100280761719,33.0,20.00316619873047,86.95833333333334
elecNormNew,LeveragingBag,25,1,1,153,17970.0,119.90299987792969,719.0,149.8711395263672,91.13522537562604
elecNormNew,OzaBagAdwin,25,1,1,49,5398.0,120.0009994506836,22.0,44.98295974731445,88.99592441645053
elecNormNew,LBagExecutorRUNPER,25,4,1,276,32929.0,120.0009994506836,1039.0,274.4060363769531,90.00880682680919
