,algorithm,dataset,cores,batch_size,inc_rate,out_rate,instances,time,delay,acc,duration,avg_measure,sum_measure,prod_rate,tt_inst_prod,joules,JPI,PERC
20,StreamingRandomPatchesExecutorRUNPER,elecNormNew,2,1,229,194.95346069335935,23395.0,120.00299835205078,6302.0,90.6603975208378,124,4.610666666666667,1037.4,224.53705631960815,26955.0,553.2938244018555,0.02365008866859823,0
63,StreamingRandomPatchesExecutorRUNPER,elecNormNew,2,1,127,124.85826110839844,14975.0,119.93599700927734,535.0,91.2186978297162,125,4.235135135135136,940.2000000000002,124.77606965795943,14975.0,507.945154901453,0.033919542898260636,0
44,StreamingRandomPatchesExecutorRUNPER,elecNormNew,2,1,25,25.00312614440918,3000.0,119.98500061035156,39.0,92.06666666666666,125,3.566519823788546,809.5999999999999,24.967542195146308,3000.0,427.9288832340996,0.1426429610780332,0
130,StreamingRandomPatches,elecNormNew,1,1,229,166.93331909179688,20033.0,120.00599670410156,8498.0,91.50901013328009,124,4.2266666666666675,951.0000000000001,224.5258344231298,26955.0,507.225346069336,0.025319490144728,0
88,StreamingRandomPatches,elecNormNew,1,1,127,124.7239761352539,14968.0,120.00900268554688,578.0,91.5820416889364,123,4.013452914798206,894.9999999999999,124.777109337244,14975.0,481.65048163033384,0.032178679959268694,0
18,StreamingRandomPatches,elecNormNew,1,1,25,25.00374984741211,3000.0,119.98200225830078,45.0,92.26666666666668,125,3.5411504424778752,800.2999999999998,24.968165588874186,3000.0,424.87432038636325,0.14162477346212107,0
72,OzaBagExecutorRUNPER,elecNormNew,2,1,1250,1061.515625,40776.0,38.41299819946289,2488.0,82.46762801648029,43,4.397499999999999,351.79999999999995,1239.9978107383286,45312.0,168.92115958213802,0.004142661359185257,0
35,OzaBagExecutorRUNPER,elecNormNew,2,1,694,686.3644409179688,45182.0,65.8280029296875,354.0,82.20308972599707,71,4.004651162790698,516.6,686.6390871482475,45312.0,263.6181884765625,0.005834584314031307,0
78,OzaBagExecutorRUNPER,elecNormNew,2,1,138,134.94931030273438,16173.0,119.84500122070312,47.0,86.90409942496754,125,3.507964601769911,792.8,134.76040095656305,16173.0,420.4120219812983,0.025994683854652714,0
138,OzaBagAdwinExecutorRUNPER,elecNormNew,2,1,1039,844.0612182617188,42041.0,49.80799865722656,3551.0,86.10879855379274,55,4.373267326732673,441.7,1030.4270705416839,45312.0,217.82369313759378,0.00518122054988211,0
96,OzaBagAdwinExecutorRUNPER,elecNormNew,2,1,577,572.6124877929688,45257.0,79.03600311279297,611.0,86.44187639481186,84,4.1000000000000005,623.2,571.9551140451637,45312.0,324.0476127624512,0.007160165560298986,0
103,OzaBagAdwinExecutorRUNPER,elecNormNew,2,1,115,114.9558563232422,13777.0,119.84600067138672,62.0,90.23009363431808,125,3.5663716814159288,805.9999999999999,114.79111466613341,13777.0,427.415382925388,0.03102383559014212,0
68,OzaBagAdwin,elecNormNew,1,1,1039,1000.7742309570312,43948.0,43.91400146484375,1047.0,84.64321470829161,50,4.127173913043478,379.7,1030.3099206439438,45312.0,181.2407212630562,0.00412398109727533,0
70,OzaBagAdwin,elecNormNew,1,1,577,573.2938232421875,45312.0,79.03800201416016,208.0,84.17858403954803,85,3.816666666666666,595.3999999999999,571.9262372675981,45312.0,301.6617076873779,0.006657435286179773,0
56,OzaBagAdwin,elecNormNew,1,1,115,114.97024536132812,13777.0,119.83100128173828,20.0,88.88727589460696,126,3.4921397379912658,799.6999999999998,114.79494059026447,13777.0,418.46660141924053,0.030374290587155444,0
66,OzaBagASHTExecutorRUNPER,elecNormNew,2,1,1211,1050.2318115234375,41021.0,39.05899810791016,2394.0,83.9862509446381,45,4.391566265060241,364.5,1200.5723067140057,45312.0,171.53017843775007,0.004181521133998441,0
128,OzaBagASHTExecutorRUNPER,elecNormNew,2,1,673,657.0615844726562,44556.0,67.81099700927734,407.0,84.20190322291049,74,4.052985074626866,543.1,666.3039482391001,45312.0,274.8369587741681,0.00616834901638765,0
142,OzaBagASHTExecutorRUNPER,elecNormNew,2,1,134,129.970703125,15574.0,119.8270034790039,44.0,88.14049056119173,126,3.5157894736842095,801.5999999999998,129.76927499520886,15574.0,421.28651749460306,0.027050630377205797,0
143,OzaBagASHT,elecNormNew,1,1,1211,1143.671630859375,42930.0,37.5369987487793,551.0,83.15863032844165,42,4.1551282051282055,324.1,1201.3999363665287,45312.0,155.97104223691503,0.0036331479673169117,0
111,OzaBagASHT,elecNormNew,1,1,673,668.0624389648438,45312.0,67.82599639892578,201.0,82.96477754237289,73,3.7776119402985073,506.2,666.1766003116823,45312.0,256.2202938592256,0.005654579225353672,0
