dataset,algorithm,ensemble_size,cores,batch_size,inc_rate,instances,time,delay,out_rate,acc
covtypeNorm,OzaBagAdwin,25,1,1,83,9586.0,120.00800323486328,442.0,79.87800598144531,69.37200083455039
GMSC,OzaBagASHTExecutorRUNPER,25,2,1,446,53311.0,119.96499633789062,758.0,444.3879699707031,93.37660145185797
GMSC,StreamingRandomPatchesExecutorRUNPER,25,2,1,158,18570.0,120.00599670410156,2610.0,154.7422637939453,93.58104469574583
GMSC,LeveragingBag,25,1,1,41,4794.0,120.08799743652344,65.0,39.92072677612305,93.51272423863163
covtypeNorm,OzaBagASHT,25,1,1,12,1200.0,119.94599914550781,141.0,10.004502296447754,61.75000000000001
airlines,OzaBagASHT,25,1,1,23,2398.0,119.95899963378906,554.0,19.990163803100586,72.76897414512094
GMSC,OzaBagASHT,25,1,1,89,10184.0,120.00800323486328,36.0,84.86100769042969,93.53888452474469
GMSC,AdaptiveRandomForestSequential,25,1,1,160,19168.0,119.90399932861328,819.0,159.86122131347656,93.54653589315525
airlines,LeveragingBag,25,1,1,28,2667.0,120.03500366210938,3652.0,22.21851921081543,70.67866516685413
covtypeNorm,LeveragingBag,25,1,1,65,7685.0,120.00399780273438,995.0,64.03953552246094,72.45283018867924
covtypeNorm,OzaBag,25,1,1,135,15749.0,120.00299835205078,1359.0,131.23838806152344,65.50892120134611
airlines,LBagExecutorRUNPER,25,2,1,51,3560.0,120.01399993896484,11585.0,29.663206100463867,69.15730337078652
airlines,OzaBag,25,1,1,327,8827.0,120.05999755859375,14179.0,73.52157592773438,64.35935198821797
airlines,LBagExecutorRUNPER,25,2,1,5,598.0,119.93699645996094,86.0,4.985950946807861,75.91973244147158
airlines,StreamingRandomPatches,25,1,1,28,1685.0,120.01100158691406,18600.0,14.040379524230957,74.3620178041543
covtypeNorm,AdaptiveRandomForestSequential,25,1,1,16,1800.0,119.9800033569336,201.0,15.0024995803833,68.66666666666667
elecNormNew,StreamingRandomPatchesExecutorRUNPER,25,2,1,97,11382.0,120.01200103759766,3949.0,94.84051513671875,91.50412932700756
elecNormNew,OzaBagAdwin,25,1,1,444,45153.0,103.1709976196289,782.0,437.6520690917969,84.7917081921467
covtypeNorm,LBagExecutorRUNPER,25,2,1,117,9413.0,120.03700256347656,13287.0,78.41748809814453,73.2072665462658
GMSC,AdaptiveRandomForestSequential,25,1,1,289,31778.0,120.00299835205078,5894.0,264.81005859375,93.51752784945559
GMSC,OzaBagASHTExecutorRUNPER,25,2,1,89,10185.0,120.0009994506836,71.0,84.8742904663086,93.57879234167893
elecNormNew,OzaBagAdwin,25,1,1,247,29351.0,119.92500305175781,324.0,244.74462890625,85.85056727198392
GMSC,LBagExecutorRUNPER,25,2,1,41,4794.0,120.0459976196289,77.0,39.9346923828125,93.57530246141009
elecNormNew,AdaptiveRandomForestSequential,25,1,1,20,2400.0,119.9729995727539,66.0,20.004501342773438,86.66666666666667
GMSC,AdaptiveRandomForestSequential,25,1,1,32,3600.0,120.00199890136719,126.0,29.999500274658203,94.08333333333333
elecNormNew,StreamingRandomPatchesExecutorRUNPER,25,2,1,54,5992.0,120.00399780273438,1002.0,49.931671142578125,91.13818424566088
elecNormNew,AdaptiveRandomForestExecutorRUNPER,25,2,1,184,19945.0,120.0009994506836,8133.0,166.2069549560547,89.74178992228629
airlines,OzaBag,25,1,1,182,8712.0,120.1259994506836,18037.0,72.52384948730469,64.11845730027548
airlines,OzaBagASHT,25,1,1,117,8557.0,120.00599670410156,15098.0,71.30477142333984,64.54364847493281
airlines,OzaBagASHTExecutorRUNPER,25,2,1,210,5800.0,120.00199890136719,16295.0,48.33252716064453,66.15517241379311
GMSC,OzaBagExecutorRUNPER,25,2,1,87,10184.0,120.00499725341797,74.0,84.8631362915039,93.50942655145326
