,algorithm,dataset,cores,batch_size,inc_rate,out_rate,instances,time,delay,acc,ensemble_size,duration,avg_measure,sum_measure,prod_rate,tt_inst_prod,avg_times_duration,joules,JPIold,JPI,frequency_maximum,PERC,tput
3,StreamingRandomPatchesExecutorRUNPER,elecNormNew,4,1,229,224.67742919921875,26955.0,119.97200012207033,889.0,90.2689667965127,25,124,4.857522123893805,1097.8,224.53518592562975,26955.0,602.3327433628318,582.7666448407468,0.0001802085744349399,0.02234586322993255,1200,90,224.6774245038305
41,StreamingRandomPatchesExecutorRUNPER,elecNormNew,4,1,127,124.88324737548828,14975.0,119.91200256347656,158.0,91.2320534223706,25,124,4.132300884955752,933.9,124.777109337244,14975.0,512.4053097345133,495.51247430987064,0.000275946636724925,0.0342173829538907,1200,50,124.88324504523925
16,StreamingRandomPatchesExecutorRUNPER,elecNormNew,4,1,25,25.00458526611328,3000.0,119.97799682617188,20.0,92.06666666666666,25,124,3.581447963800904,791.4999999999998,24.968165588874186,3000.0,444.0995475113121,429.69495243400456,0.0011938159879336346,0.1480331825037707,1200,10,25.004584835221912
133,StreamingRandomPatches,elecNormNew,1,1,229,172.45689392089844,20695.0,120.0009994506836,7466.0,91.32640734476928,25,124,4.261160714285715,954.5000000000002,224.52957493065446,26955.0,528.3839285714287,511.34354453427466,0.00020590290960549482,0.025531960791081356,1200,90,172.45689698197017
89,StreamingRandomPatches,elecNormNew,1,1,127,124.72501373291016,14968.0,120.00800323486328,282.0,91.5820416889364,25,124,4.026785714285714,902.0,124.77918874779189,14975.0,499.3214285714286,483.24651302610124,0.0002690263037336795,0.03335926166297626,1200,50,124.7250149700989
20,StreamingRandomPatches,elecNormNew,1,1,25,25.002708435058597,3000.0,119.98699951171876,32.0,92.26666666666668,25,125,3.5610619469026545,804.8,24.967749989596772,3000.0,445.13274336283183,427.2811380842091,0.0011870206489675516,0.14837758112094396,1200,10,25.002708728515202
27,OzaBagExecutorRUNPER,elecNormNew,4,1,1250,1198.346923828125,43639.0,36.41600036621094,1210.0,83.00831824743922,25,41,4.632894736842107,352.1000000000001,1239.692484473749,45312.0,189.94868421052638,168.71149643345888,0.00010616409030550898,0.004352727702525869,1200,90,1198.3468684411323
59,OzaBagExecutorRUNPER,elecNormNew,4,1,694,688.0989379882812,45312.0,65.85099792480469,207.0,82.07097457627118,25,71,4.054263565891473,523.0,686.4518474753443,45312.0,287.8527131782946,266.97730166413066,8.94743901370823e-05,0.0063526816997328435,1200,50,688.0989116025518
101,OzaBagExecutorRUNPER,elecNormNew,4,1,138,134.95494079589844,16173.0,119.83999633789062,20.0,86.90409942496754,25,125,3.5497737556561075,784.4999999999998,134.75366400319948,16173.0,443.7217194570134,425.4048738781682,0.00021948764951809234,0.02743595618976154,1200,10,134.9549440438899
117,OzaBagAdwinExecutorRUNPER,elecNormNew,4,1,1039,1007.7881469726562,44255.0,43.91299819946289,1789.0,86.36538244266184,25,50,4.644565217391305,427.30000000000007,1029.9118101645604,45312.0,232.22826086956525,203.95678402859235,0.000104950067052114,0.0052475033526056996,1200,90,1007.7881678446017
79,OzaBagAdwinExecutorRUNPER,elecNormNew,4,1,577,573.3156127929688,45312.0,79.03500366210938,238.0,86.15377824858757,25,85,4.116778523489933,613.4000000000001,571.9262372675981,45312.0,349.9261744966443,325.3696056801201,9.085404580442119e-05,0.007722593893375801,1200,50,573.3155930974327
88,OzaBagAdwinExecutorRUNPER,elecNormNew,4,1,115,114.96161651611328,13777.0,119.83999633789062,23.0,90.23009363431808,25,126,3.550218340611354,813.0,114.79589711114629,13777.0,447.32751091703057,425.45815293757676,0.0002576916847362527,0.032469152276767846,1200,10,114.96161900035065
69,OzaBagAdwin,elecNormNew,1,1,1039,1026.138427734375,45068.0,43.91999816894531,672.0,84.45238306558977,25,49,4.192222222222222,377.29999999999995,1029.9586307223713,45312.0,205.4188888888889,184.12239232381185,9.301993037681331e-05,0.004557976588463852,1200,90,1026.138476295894
73,OzaBagAdwin,elecNormNew,1,1,577,573.33740234375,45312.0,79.03199768066406,148.0,84.24699858757062,25,84,3.808053691275167,567.3999999999999,571.9551140451637,45312.0,319.87651006711405,300.9580904967032,8.404073294657414e-05,0.007059421567512228,1200,50,573.3373991517617
56,OzaBagAdwin,elecNormNew,1,1,115,114.96736907958984,13777.0,119.83399963378906,14.0,88.88727589460696,25,125,3.498230088495575,790.5999999999999,114.79494059026447,13777.0,437.27876106194685,419.2069031436886,0.0002539181308336775,0.031739766354209685,1200,10,114.96737188195594
25,OzaBagASHTExecutorRUNPER,elecNormNew,4,1,1211,1175.0704345703125,44185.0,37.60200119018555,1419.0,84.04888536833766,25,42,4.6342105263157904,352.20000000000005,1200.0317805026616,45312.0,194.6368421052632,174.25558972609673,0.00010488198543206497,0.004405043388146729,1200,90,1175.0704377811858
139,OzaBagASHTExecutorRUNPER,elecNormNew,4,1,673,667.9639282226562,45312.0,67.83599853515625,247.0,83.4326447740113,25,73,4.030075187969925,536.0,666.2059839741233,45312.0,294.1954887218045,273.3841745476974,8.894057176840407e-05,0.006492661739093497,1200,50,667.9639273905121
127,OzaBagASHTExecutorRUNPER,elecNormNew,4,1,134,129.9490203857422,15574.0,119.84700012207033,19.0,88.14049056119173,25,125,3.5453744493392065,804.7999999999998,129.76278755863655,15574.0,443.1718061674008,424.9024920627409,0.0002276470045806605,0.02845587557258256,1200,10,129.9490181993465
141,OzaBagASHT,elecNormNew,1,1,1211,1189.5404052734375,44672.0,37.55400085449219,459.0,83.27587750716332,25,43,4.14625,331.70000000000005,1201.1451595801082,45312.0,178.28875000000002,155.70827604293825,9.281541010028653e-05,0.0039910626343123215,1200,90,1189.5403680978604
118,OzaBagASHT,elecNormNew,1,1,673,668.0426635742188,45312.0,67.8280029296875,137.0,81.98931850282486,25,74,3.737037037037037,504.5,666.2745559345959,45312.0,276.5407407407407,253.47575909649885,8.247345155890353e-05,0.006103035415358861,1200,50,668.0426673769498
97,OzaBagASHT,elecNormNew,1,1,134,129.9674530029297,15574.0,119.83000183105467,13.0,87.51123667651214,25,126,3.4720524017467245,795.0999999999999,129.76711244427779,15574.0,437.47860262008726,416.05604565882777,0.0002229390266949226,0.028090317363560244,1200,10,129.96745190705573
90,OzaBag,elecNormNew,1,1,1250,1220.9947509765625,44432.0,36.38999938964844,416.0,81.66636658264314,25,42,4.0753246753246755,313.8,1239.692484473749,45312.0,171.16363636363636,148.30106244768416,9.172048693114591e-05,0.0038522604511081284,1200,90,1220.9947992645255
