dataset,algorithm,ensemble_size,cores,batch_size,inc_rate,instances,time,delay,out_rate,acc
airlines,StreamingRandomPatchesExecutorMAXChunk,25,4,2000,77,6000.0,168.4340057373047,51674.0,35.62226104736328,61.275
airlines,LBagExecutorMAXChunk,25,4,50,57,6000.0,120.44000244140625,983.0,49.81733703613281,64.26890756302521
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,2000,19,1800.0,119.95600128173828,79340.0,15.005501747131348,40.33333333333333
GMSC,LBagExecutorMAXChunk,25,4,50,83,9586.0,120.0009994506836,371.0,79.8826675415039,93.49832214765101
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,2000,181,21564.0,119.81999969482422,9170.0,179.96995544433594,93.5647106931098
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,50,103,11980.0,119.91000366210938,400.0,99.90826416015625,62.26320201173512
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,500,21,2400.0,119.9489974975586,14397.0,20.00850486755371,50.89473684210526
airlines,LBagExecutorMAXChunk,25,4,50,32,3600.0,120.99500274658203,1372.0,29.753293991088867,69.07042253521126
covtypeNorm,LBagExecutorMAXChunk,25,4,2000,90,10783.0,120.00199890136719,18657.0,89.8568344116211,47.75133781168166
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,500,72,8400.0,119.99700164794922,6685.0,70.00174713134766,58.582278481012665
covtypeNorm,OzaBagExecutorMAXChunk,25,4,500,22,2400.0,119.95099639892578,14026.0,20.00817108154297,50.68421052631579
GMSC,OzaBagASHTExecutorMAXChunk,25,4,50,1087,129766.0,119.93299865722656,35.0,1081.9874267578125,93.43874310031146
airlines,OzaBagAdwinExecutorMAXChunk,25,4,50,121,14387.0,120.0009994506836,375.0,119.89067077636719,64.97872637232337
GMSC,OzaBagExecutorMAXChunk,25,4,50,1852,150000.0,81.27799987792969,26.0,1845.517822265625,93.53717905968657
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,500,103,11981.0,120.00900268554688,4186.0,99.83417510986328,81.24727811166275
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,50,19,1800.0,120.17500305175781,1860.0,14.978156089782715,62.171428571428564
airlines,OzaBagAdwinExecutorMAXChunk,25,4,500,21,2400.0,119.94999694824219,15503.0,20.008337020874023,70.89473684210526
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,50,98,11381.0,119.81500244140625,408.0,94.98810577392578,83.28479392816168
elecNormNew,LBagExecutorMAXChunk,25,4,500,67,7788.0,120.0009994506836,4694.0,64.89945983886719,78.04610318331504
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,500,8,600.0,119.93900299072266,56799.0,5.002542972564697,79.0
GMSC,LBagExecutorMAXChunk,25,4,50,753,89450.0,120.0009994506836,60.0,745.4104614257812,93.45525727069351
airlines,LBagExecutorMAXChunk,25,4,500,52,5000.0,123.3740005493164,11558.0,40.52717590332031,65.37777777777778
airlines,OzaBagExecutorMAXChunk,25,4,50,20,2400.0,120.01200103759766,1510.0,19.99799919128418,72.17021276595744
airlines,StreamingRandomPatchesExecutorMAXChunk,25,4,500,8,600.0,119.93900299072266,58382.0,5.002542972564697,75.0
airlines,LBagExecutorMAXChunk,25,4,2000,53,4000.0,125.18299865722656,52087.0,31.95322036743164,63.55
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,500,8,600.0,119.93599700927734,54816.0,5.002668380737305,79.0
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,2000,205,23958.0,119.83699798583984,9783.0,199.92156982421875,61.276072502049374
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,50,7,600.0,120.61399841308594,6356.0,4.974546909332275,77.45454545454545
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,500,1805,149634.0,83.35700225830078,257.0,1795.09814453125,93.43610444298416
airlines,OzaBagAdwinExecutorMAXChunk,25,4,2000,102,12000.0,134.1439971923828,18388.0,89.45610809326172,60.18
covtypeNorm,OzaBagExecutorMAXChunk,25,4,500,200,23960.0,119.84700012207031,2419.0,199.92156982421875,64.06649616368286
covtypeNorm,LBagExecutorMAXChunk,25,4,2000,162,18000.0,120.17400360107422,12472.0,149.78280639648438,55.55
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,50,690,45312.0,65.8290023803711,55.0,688.328857421875,78.99783482833281
airlines,OzaBagASHTExecutorMAXChunk,25,4,50,209,21400.0,120.11399841308594,280.0,178.16407775878906,64.46838407494145
covtypeNorm,OzaBagExecutorMAXChunk,25,4,50,20,2400.0,120.28099822998047,1454.0,19.953275680541992,64.08510638297872
GMSC,LBagExecutorMAXChunk,25,4,2000,416,49717.0,119.88800048828125,4035.0,414.69537353515625,93.30008173187753
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,114,13178.0,119.81800079345703,15122.0,109.98347473144531,39.59563428162462
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,500,200,23960.0,119.81500244140625,1455.0,199.97496032714844,93.56777493606138
airlines,OzaBagASHTExecutorMAXChunk,25,4,500,118,13800.0,119.99700164794922,3871.0,115.00287628173828,62.67669172932331
airlines,OzaBagExecutorMAXChunk,25,4,2000,21
GMSC,OzaBagASHTExecutorMAXChunk,25,4,500,1301,150000.0,115.83799743652344,307.0,1294.911865234375,93.35652173913044
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,50,70,5200.0,120.52100372314453,1155.0,43.1460075378418,67.96116504854369
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,500,337,40000.0,120.24199676513672,1247.0,332.6624755859375,93.51898734177215
airlines,OzaBagASHTExecutorMAXChunk,25,4,500,23,2400.0,119.9520034790039,15386.0,20.00800323486328,71.73684210526315
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,327,38928.0,119.86199951171875,5095.0,324.77349853515625,93.47107885615252
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,50,174,20366.0,119.93000030517578,227.0,169.8157196044922,93.61094703681827
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,50,1843,149437.0,81.70600128173828,26.0,1828.9599609375,93.3822889541928
