,algorithm,dataset,cores,batch_size,inc_rate,out_rate,instances,time,delay,acc,duration,avg_measure,sum_measure,prod_rate,tt_inst_prod,joules,JPI,PERC
248,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,2000,178,166.04493713378906,19897.0,119.8290023803711,11491.0,78.30362630608482,132,4.164016736401674,995.2000000000002,174.68358649191364,20965.0,498.9699714181813,0.02507764846048054,0
278,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,2000,99,94.84446716308594,11382.0,120.00700378417967,16134.0,80.6651033894692,130,3.838983050847457,905.9999999999999,94.84508635894706,11400.0,460.70485351045244,0.04047661689601585,0
3,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,2000,19,15.005501747131348,1800.0,119.95600128173828,79340.0,40.33333333333333,144,3.5160919540229885,917.6999999999999,14.981772177184425,1800.0,421.77633094349125,0.23432018385749515,0
140,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,500,186,181.97457885742188,22000.0,120.89600372314452,2611.0,80.51627906976744,126,4.27280701754386,974.2000000000002,184.65781273433203,22163.0,516.5652931012605,0.02348024059551184,0
17,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,500,103,99.83417510986328,11981.0,120.00900268554688,4186.0,81.24727811166275,128,4.000429184549357,932.1,99.83361064891847,12000.0,480.08751675192383,0.04007073839845788,0
288,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,500,20,20.006336212158203,2400.0,119.96199798583984,15757.0,77.26315789473685,127,3.588260869565217,825.3,19.975031210986266,2400.0,430.4549432074505,0.17935622633643772,0
144,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,50,177,174.72581481933594,20965.0,119.98799896240234,268.0,83.1986612479082,125,4.18141592920354,945.0,174.67776472450655,20965.0,501.719730174647,0.02393130122464331,0
145,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,50,177,174.72581481933594,20965.0,119.98799896240234,268.0,83.1986612479082,125,4.18141592920354,945.0,39.942416349762425,4800.0,501.719730174647,0.02393130122464331,0
146,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,50,177,174.72581481933594,20965.0,119.98799896240234,268.0,83.1986612479082,125,4.18141592920354,945.0,174.67339865360262,20965.0,501.719730174647,0.02393130122464331,0
21,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,50,98,94.98810577392578,11381.0,119.81500244140624,408.0,83.28479392816168,125,3.910132158590308,887.5999999999999,94.83850538315389,11381.0,468.49249412771877,0.04116444021858525,0
22,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,50,98,94.98810577392578,11381.0,119.81500244140624,408.0,83.28479392816168,125,3.910132158590308,887.5999999999999,94.83850538315389,11381.0,468.49249412771877,0.04116444021858525,0
23,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,50,98,94.98810577392578,11381.0,119.81500244140624,408.0,83.28479392816168,125,3.910132158590308,887.5999999999999,94.84008599856669,11381.0,468.49249412771877,0.04116444021858525,0
272,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,50,19,14.97728443145752,1800.0,120.18199920654295,1980.0,81.08571428571429,126,3.5331877729257637,809.0999999999999,14.982395685070042,1800.0,424.6255701223314,0.23590309451240632,0
273,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,50,19,14.97728443145752,1800.0,120.18199920654295,1980.0,81.08571428571429,126,3.5331877729257637,809.0999999999999,14.982146275688137,1800.0,424.6255701223314,0.23590309451240632,0
274,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,50,19,14.97728443145752,1800.0,120.18199920654295,1980.0,81.08571428571429,126,3.5331877729257637,809.0999999999999,14.981896874609847,1800.0,424.6255701223314,0.23590309451240632,0
194,OzaBagExecutorMAXChunk,elecNormNew,4,2000,1364,1160.03466796875,38831.0,33.4739990234375,1632.0,74.98031549509923,176,3.792476489028213,1209.8,1351.9916455318514,45312.0,126.94935429014009,0.003269278522060727,0
87,OzaBagExecutorMAXChunk,elecNormNew,4,2000,758,691.939208984375,42036.0,60.7509994506836,2359.0,74.46298331501649,68,3.8370967741935487,475.8,750.3974562798093,45312.0,233.1074640212521,0.005545424493797034,0
221,OzaBagExecutorMAXChunk,elecNormNew,4,2000,151,149.9724578857422,17970.0,119.8219985961914,7952.0,79.81214777708203,128,3.566094420600858,830.8999999999999,149.7312835895513,17970.0,427.296560659122,0.02377832836166511,0
284,OzaBagExecutorMAXChunk,elecNormNew,4,500,1408,1237.87255859375,39987.0,32.303001403808594,396.0,76.66320561197357,40,4.082432432432432,302.09999999999997,1394.6445060018466,45312.0,131.8748205958186,0.003297942346157966,0
227,OzaBagExecutorMAXChunk,elecNormNew,4,500,782,778.71728515625,45312.0,58.1879997253418,524.0,77.86084084620191,66,3.815833333333333,457.9,776.0232916595307,45312.0,222.03570895195006,0.00490015247510483,0
240,OzaBagExecutorMAXChunk,elecNormNew,4,500,156,154.9818878173828,18569.0,119.81400299072266,1884.0,80.30881620454923,128,3.5629310344827583,826.5999999999999,154.71974803569495,18569.0,426.88902962125576,0.022989338662354232,0
224,OzaBagExecutorMAXChunk,elecNormNew,4,50,1283,1199.0860595703125,42510.0,35.45199966430664,40.0,78.38907206782855,44,3.9802469135802467,322.4,1275.3166338305657,45312.0,141.10771224410445,0.0033194004291720643,0
225,OzaBagExecutorMAXChunk,elecNormNew,4,50,1283,1199.0860595703125,42510.0,35.45199966430664,40.0,78.38907206782855,44,3.9802469135802467,322.4,1275.747508305648,45312.0,141.10771224410445,0.0033194004291720643,0
262,OzaBagExecutorMAXChunk,elecNormNew,4,50,712,707.7566528320312,45312.0,64.02200317382812,54.0,78.52503203570323,71,3.7553846153846147,488.19999999999993,705.7614130180832,45312.0,240.42724576509912,0.0053060391455927594,0
263,OzaBagExecutorMAXChunk,elecNormNew,4,50,712,707.7566528320312,45312.0,64.02200317382812,54.0,78.52503203570323,71,3.7553846153846147,488.19999999999993,705.8273751109865,45312.0,240.42724576509912,0.0053060391455927594,0
252,OzaBagExecutorMAXChunk,elecNormNew,4,50,142,139.94276428222656,16772.0,119.8489990234375,201.0,82.53797392656381,128,3.5237068965517233,817.4999999999998,139.75152691791723,16772.0,422.3127444037075,0.025179629406374165,0
253,OzaBagExecutorMAXChunk,elecNormNew,4,50,142,139.94276428222656,16772.0,119.8489990234375,201.0,82.53797392656381,128,3.5237068965517233,817.4999999999998,139.75152691791723,16772.0,422.3127444037075,0.025179629406374165,0
258,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,2000,1160,988.1730346679688,38852.0,39.31700134277344,1920.0,75.99587539346575,47,4.129885057471264,359.29999999999995,1151.424287856072,45312.0,162.37469635009765,0.004179313712295317,0
68,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,2000,644,602.7308349609375,42686.0,70.82099914550781,2684.0,76.08759769945436,79,3.8430555555555554,553.4,638.0893370134625,45312.0,272.16903421613904,0.006376072581552243,0
161,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,2000,128,124.9812240600586,14975.0,119.81800079345705,9313.0,78.68978805394991,128,3.5857758620689655,831.9,124.77814903385466,14975.0,429.6404950865384,0.028690517201104403,0
232,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,500,1213,1091.8685302734375,41075.0,37.61899948120117,444.0,77.35304990757855,45,4.193975903614458,348.1,1200.5723067140057,45312.0,157.77317734224252,0.0038410998744307367,0
183,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,500,674,667.1680297851562,45244.0,67.81500244140625,614.0,77.6483997854461,76,3.8646616541353382,514.0,666.2941505161309,45312.0,262.08203951039707,0.005792636360852203,0
217,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,500,134,129.97830200195312,15574.0,119.81999969482422,2262.0,80.91415682632346,128,3.5806866952789695,834.3,129.76927499520886,15574.0,429.0378787355873,0.0275483420274552,0
212,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,50,1060,1030.165283203125,44191.0,42.89699935913086,47.0,79.5971998821957,54,4.10204081632653,401.99999999999994,1054.1106406737078,45312.0,175.96524226908778,0.003981924877669385,0
213,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,50,1060,1030.165283203125,44191.0,42.89699935913086,47.0,79.5971998821957,54,4.10204081632653,401.99999999999994,1054.4786018477578,45312.0,175.96524226908778,0.003981924877669385,0
66,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,50,589,583.5339965820312,45312.0,77.6510009765625,66.0,79.69820158190093,86,3.835031847133759,602.1000000000001,582.2592873388932,45312.0,297.7940617069318,0.0065720793985463415,0
67,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,50,589,583.5339965820312,45312.0,77.6510009765625,66.0,79.69820158190093,86,3.835031847133759,602.1000000000001,582.2817343031176,45312.0,297.7940617069318,0.0065720793985463415,0
62,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,50,117,114.97984313964844,13777.0,119.8209991455078,255.0,84.25730312522765,128,3.5373390557939905,824.1999999999998,114.8016365712,13777.0,423.8474999816631,0.0307648617247342,0
63,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,50,117,114.97984313964844,13777.0,119.8209991455078,255.0,84.25730312522765,128,3.5373390557939905,824.1999999999998,114.7978102007316,13777.0,423.8474999816631,0.0307648617247342,0
92,OzaBagASHTExecutorMAXChunk,elecNormNew,4,2000,1327,1119.6448974609375,38602.0,34.47700119018555,1676.0,75.11064969127371,43,4.08082191780822,297.90000000000003,1319.818245368752,45312.0,140.69450211720925,0.0036447464410447454,0
117,OzaBagASHTExecutorMAXChunk,elecNormNew,4,2000,737,688.296142578125,42525.0,61.78300094604492,2348.0,76.15545959284393,70,3.79609375,485.9,730.9801897141382,45312.0,234.5340637475252,0.0055152043209294585,0
205,OzaBagASHTExecutorMAXChunk,elecNormNew,4,2000,147,144.98426818847656,17371.0,119.81300354003906,8113.0,78.26426387352808,128,3.5340517241379303,819.8999999999999,144.74024080323292,17371.0,423.425351734819,0.024375416022958896,0
266,OzaBagASHTExecutorMAXChunk,elecNormNew,4,500,1418,1245.302978515625,39968.0,32.095001220703125,396.0,76.98388567953785,40,4.171621621621622,308.7,1403.1523859659987,45312.0,133.8882010382575,0.0033498849339035604,0
203,OzaBagASHTExecutorMAXChunk,elecNormNew,4,500,787,775.264404296875,44794.0,57.77899932861328,539.0,77.38745654038922,66,3.9413223140495868,476.9,781.6052300208718,45312.0,227.72565933731963,0.005083842910597839,0
120,OzaBagASHTExecutorMAXChunk,elecNormNew,4,500,157,154.97801208496094,18569.0,119.81700134277344,1903.0,80.03209917538325,128,3.558189655172413,825.4999999999998,154.71716978145128,18569.0,426.33161469163554,0.022959320086791725,0
207,OzaBagASHTExecutorMAXChunk,elecNormNew,4,50,1243,1149.517578125,42185.0,36.698001861572266,41.0,79.22392310430759,46,3.995238095238095,335.59999999999997,1233.986928104575,45312.0,146.61725505647203,0.003475577931882708,0
208,OzaBagASHTExecutorMAXChunk,elecNormNew,4,50,1243,1149.517578125,42185.0,36.698001861572266,41.0,79.22392310430759,46,3.995238095238095,335.59999999999997,1233.0131432147812,45312.0,146.61725505647203,0.003475577931882708,0
43,OzaBagASHTExecutorMAXChunk,elecNormNew,4,50,690,688.328857421875,45312.0,65.8290023803711,55.0,78.99783482833281,74,3.8132352941176473,518.6,686.5766625755716,45312.0,251.02147525338566,0.005539845410782699,0
44,OzaBagASHTExecutorMAXChunk,elecNormNew,4,50,690,688.328857421875,45312.0,65.8290023803711,55.0,78.99783482833281,74,3.8132352941176473,518.6,686.5246507681586,45312.0,251.02147525338566,0.005539845410782699,0
107,OzaBagASHTExecutorMAXChunk,elecNormNew,4,50,138,134.93917846679688,16173.0,119.85399627685548,211.0,82.95602555355703,128,3.5414096916299553,803.8999999999999,134.75815523059617,16173.0,424.4521039954366,0.026244487973501304,0
108,OzaBagASHTExecutorMAXChunk,elecNormNew,4,50,138,134.93917846679688,16173.0,119.85399627685548,211.0,82.95602555355703,128,3.5414096916299553,803.8999999999999,134.75703239568057,16173.0,424.4521039954366,0.026244487973501304,0
