dataset,algorithm,ensemble_size,cores,instances,time,delay,out_rate,acc
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,88097.0,599.458984375,402.0,146.96084594726562,79.8742857142857
GMSC,LBagExecutorMAXChunk,25,4,61251.0,599.385986328125,129.0,102.1895751953125,93.37469387755102
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,45410.0,599.322021484375,1281.0,75.76895141601562,82.09577464788732
airlines,OzaBagASHTExecutorMAXChunk,25,4,142551.0,599.7310180664062,65.0,237.69155883789062,65.38898632058927
airlines,OzaBagAdwinExecutorMAXChunk,25,4,31601.0,599.4500122070312,273.0,52.71665573120117,67.21835443037975
elecNormNew,LBagExecutorMAXChunk,25,4,45301.0,565.291015625,169.0,80.13748168945312,90.44370860927152
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,45301.0,143.27099609375,41.0,316.1910095214844,78.50551876379691
airlines,LBagExecutorMAXChunk,25,4,14226.0,599.4119873046875,649.0,23.733259201049805,61.48330404217926
airlines,StreamingRandomPatchesExecutorMAXChunk,25,4,6751.0,599.8079833984375,1248.0,11.255269050598145,66.74074074074075
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,30726.0,599.2880249023438,263.0,51.27083969116211,93.54922701383238
GMSC,OzaBagExecutorMAXChunk,25,4,149990.0,433.3559875488281,38.0,346.1126708984375,93.34181452962838
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,10165.0,599.2219848632812,4444.0,16.96366310119629,64.93478260869566
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,19101.0,599.35400390625,392.0,31.869312286376953,89.63350785340313
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,12401.0,599.3189697265625,632.0,20.69182014465332,91.61290322580645
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,8126.0,599.2150268554688,966.0,13.561075210571289,81.53846153846153
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,45301.0,331.1919860839844,101.0,136.7816925048828,84.47461368653421
GMSC,OzaBagASHTExecutorMAXChunk,25,4,149976.0,190.24400329589844,18.0,788.3349609375,93.28154692448742
covtypeNorm,LBagExecutorMAXChunk,25,4,23058.0,599.4390258789062,2184.0,38.465965270996094,80.62588235294118
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,149976.0,473.4150085449219,42.0,316.7960510253906,93.37822970495083
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,30603.0,598.31201171875,1498.0,51.14889907836914,82.67345207803223
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,61801.0,599.2880249023438,126.0,103.12403869628906,93.44983818770226
airlines,OzaBagExecutorMAXChunk,25,4,165476.0,599.906982421875,53.0,275.8360900878906,64.8925819610213
elecNormNew,OzaBagExecutorMAXChunk,25,4,45301.0,174.24200439453125,50.0,259.9889831542969,77.64459161147903
covtypeNorm,OzaBagExecutorMAXChunk,25,4,70888.0,599.4359741210938,348.0,118.2578353881836,77.6034236804565
