,algorithm,dataset,cores_x,instances,time,delay,acc,ensemble_size,inc_rate_x,cores_y,duration,avg_measure,sum_measure,inc_rate_y,prod_rate,tt_inst_prod,avg_times_duration,joules,IPS,JPI,tput
13,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,15267.0,599.3270263671875,2009.0,91.14186851211072,25,100,4,612,2.9565217391304346,3264.0,,,,1809.391304347826,1771.923382302989,25.4735717368541,0.11851649337445641,25.4735717368541
22,OzaBagExecutorMAXChunk,elecNormNew,4,45300.0,232.2550048828125,372.0,77.4825484764543,25,100,4,246,2.9588764044943816,1316.6999999999998,,,,727.8835955056179,687.2138537734813,195.04423606654566,0.01606807054096287,195.04423606654566
15,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,45300.0,296.2489929199219,345.0,84.57775318206973,25,100,4,309,2.990143369175627,1668.5,,,,923.9543010752687,885.8269618044617,152.91191221785823,0.020396342187092024,152.91191221785823
6,OzaBagASHTExecutorMAXChunk,elecNormNew,4,45300.0,170.1199951171875,93.0,78.61761426978818,25,100,4,184,2.843543543543543,946.8999999999999,,,,523.2120120120119,483.7436137431376,266.28263167298473,0.011549934040000263,266.28263167298473
5,LBagExecutorMAXChunk,elecNormNew,4,38504.0,599.3079833984375,1153.0,90.1061224489796,25,100,4,613,2.851493212669683,3150.8999999999996,,,,1747.9653393665155,1708.9226469593996,64.24743381801643,0.04539698055699448,64.24743381801643
12,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,17248.0,599.25,2283.0,89.47275405007363,25,100,4,611,2.8780199818346954,3168.7,,,,1758.4702089009988,1724.6534741144412,28.78264497288277,0.10195212250121746,28.78264497288277
14,StreamingRandomPatchesExecutorMAXChunk,covtypeNorm,4,9701.0,599.406982421875,829.0,82.54639175257732,25,100,4,612,2.9856754306436994,3293.2000000000003,,,,1827.2333635539442,1789.634700373272,16.18432931962784,0.18835515550499374,16.18432931962784
23,OzaBagExecutorMAXChunk,covtypeNorm,4,88601.0,599.3460083007812,419.0,80.53386454183267,25,100,4,613,2.8728506787330317,3174.5,,,,1761.0574660633483,1721.8315867428325,147.82946540545854,0.01987627076515331,147.82946540545854
2,OzaBagAdwinExecutorMAXChunk,covtypeNorm,4,32641.0,599.39697265625,1434.0,78.38663484486872,25,100,4,612,3.165036231884058,3494.2,,,,1937.0021739130434,1897.1131357386491,54.45639782822091,0.05934261125311858,54.45639782822091
0,OzaBagASHTExecutorMAXChunk,covtypeNorm,4,80130.0,599.280029296875,786.0,78.31212408990187,25,100,4,613,2.9160180995475113,3222.2000000000003,,,,1787.5190950226245,1747.5114121270503,133.71044600637728,0.02230773861253743,133.71044600637728
