,algorithm,dataset,cores_x,instances,time,delay,acc,ensemble_size,inc_rate_x,cores_y,duration,avg_measure,sum_measure,inc_rate_y,prod_rate,tt_inst_prod,avg_times_duration,joules,IPS,JPI,tput
13,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,26268.0,119.08699798583984,1715.0,90.12571428571428,25,100,4,131,3.8054621848739494,905.6999999999999,,,,498.5155462184874,453.1810675452737,220.57823645133303,0.0189780549040082,220.57823645133303
22,OzaBagExecutorMAXChunk,elecNormNew,4,27501.0,119.15299987792967,1177.0,79.65818181818182,25,100,4,133,3.012033195020747,725.9,,,,400.60041493775935,358.89279091862716,230.80409245402407,0.014566758115623408,230.80409245402407
15,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,27001.0,119.20800018310548,625.0,86.02962962962964,25,100,4,133,3.034439834024896,731.3,,,,403.5804979253112,361.7295042900624,226.5032544672003,0.014946872261224074,226.5032544672003
6,OzaBagASHTExecutorMAXChunk,elecNormNew,4,27251.0,119.11799621582033,628.0,79.87522935779816,25,100,4,133,3.1431535269709543,757.5,,,,418.03941908713693,374.40614993146846,228.77315658186612,0.015340333165283363,228.77315658186612
5,LBagExecutorMAXChunk,elecNormNew,4,26694.0,119.34100341796876,1153.0,89.70943396226416,25,100,4,132,3.1230125523012546,746.3999999999999,,,,412.2376569037656,372.7034516785434,223.6783606260577,0.01544308297384302,223.6783606260577
12,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,26501.0,119.41899871826172,1536.0,89.27924528301887,25,100,4,131,3.4613445378151257,823.8,,,,453.43613445378145,413.3502989248067,221.9161128835309,0.017110151860449847,221.9161128835309
14,StreamingRandomPatchesExecutorMAXChunk,covtypeNorm,4,38671.0,120.66500091552734,1288.0,93.5625,25,100,4,132,5.554811715481171,1327.6,,,,733.2351464435146,670.2713607341175,320.4823246723546,0.018960853002082043,320.4823246723546
23,OzaBagExecutorMAXChunk,covtypeNorm,4,318501.0,120.07599639892578,162.0,77.61444270015699,25,100,4,133,3.9182572614107882,944.3,,,,521.1282157676349,470.4886448112266,2652.4951659934704,0.0016361902027548889,2652.4951659934704
2,OzaBagAdwinExecutorMAXChunk,covtypeNorm,4,154501.0,120.08000183105467,198.0,84.13203883495146,25,100,4,133,4.91198347107438,1188.6999999999998,,,,653.2938016528925,589.8309842007218,1286.6505466694912,0.0042284114772907135,1286.6505466694912
0,OzaBagASHTExecutorMAXChunk,covtypeNorm,4,319501.0,120.00700378417967,163.0,76.59749608763693,25,100,4,132,4.064435146443515,971.4000000000001,,,,536.5054393305439,487.7606839997997,2662.352945454666,0.001679197997284966,2662.352945454666
17,LBagExecutorMAXChunk,covtypeNorm,4,92001.0,120.58799743652344,642.0,90.19673913043478,25,100,4,133,5.22240663900415,1258.6000000000001,,,,694.580082987552,629.7595583967154,762.9366268266342,0.007549701448761992,762.9366268266342
19,AdaptiveRandomForestExecutorMAXChunk,covtypeNorm,4,108001.0,120.10900115966795,2116.0,89.74351851851851,25,100,4,131,5.332773109243696,1269.1999999999998,,,,698.5932773109242,640.5140515623972,899.191558977565,0.006468396378838383,899.191558977565
8,StreamingRandomPatchesExecutorMAXChunk,airlines,4,9001.0,124.39900207519533,6834.0,65.32222222222222,25,100,4,136,5.464777327935224,1349.8000000000002,,,,743.2097165991904,679.8128461582943,72.35588589817766,0.08256968299068886,72.35588589817766
21,OzaBagExecutorMAXChunk,airlines,4,246751.0,120.87100219726562,122.0,64.03201621073961,25,100,4,134,5.136213991769547,1248.1,,,,688.2526748971193,620.8193326848034,2041.4408378718817,0.002789259921528664,2041.4408378718817
4,OzaBagAdwinExecutorMAXChunk,airlines,4,41251.0,120.00599670410156,72.0,69.41575757575758,25,100,4,132,4.8748953974895395,1165.1,,,,643.4861924686193,585.0166810039696,343.74115571668034,0.01559928710743059,343.74115571668034
3,OzaBagASHTExecutorMAXChunk,airlines,4,50001.0,126.18900299072266,960.0,65.67399999999999,25,100,4,139,4.980555555555555,1255.1,,,,692.2972222222222,628.4913398954603,396.23896548002716,0.013845667531093822,396.23896548002716
7,LBagExecutorMAXChunk,airlines,4,9568.0,122.65799713134766,9989.0,61.686486486486494,25,100,4,135,5.472244897959183,1340.6999999999998,,,,738.7530612244898,671.2145989959093,78.00551308329419,0.07721081325506791,78.00551308329419
11,AdaptiveRandomForestExecutorMAXChunk,airlines,4,11001.0,120.11100006103516,2698.0,64.84545454545454,25,100,4,132,5.314583333333333,1275.5,,,,701.525,638.3399190743764,91.5902789453903,0.06376920279974548,91.5902789453903
9,StreamingRandomPatchesExecutorMAXChunk,GMSC,4,85501.0,120.16200256347656,615.0,93.47953216374268,25,100,4,131,4.604621848739496,1095.9,,,,603.205462184874,553.3005823920755,711.5477286992899,0.007054952131377107,711.5477286992899
10,OzaBagExecutorMAXChunk,GMSC,4,101138.0,119.18699645996094,586.0,93.3542288557214,25,100,4,133,3.5821576763485474,863.3,,,,476.4269709543568,426.9466142899762,848.5657244830041,0.004710662371753019,848.5657244830041
18,OzaBagAdwinExecutorMAXChunk,GMSC,4,89629.0,119.24500274658205,399.0,93.46927374301676,25,100,4,133,3.1033195020746884,747.8999999999999,,,,412.7414937759336,370.05534254841785,751.6373679027741,0.004604999428487806,751.6373679027741
16,OzaBagASHTExecutorMAXChunk,GMSC,4,94501.0,119.0989990234375,358.0,93.3957671957672,25,100,4,133,3.010788381742738,725.5999999999999,,,,400.43485477178416,358.58188253695533,793.465946606345,0.004237361030801623,793.465946606345
1,LBagExecutorMAXChunk,GMSC,4,89020.0,119.34400177001952,317.0,93.44664031620552,25,100,4,133,4.045643153526971,975.0,,,,538.0705394190871,482.82324367539013,745.9109689613473,0.006044378110751372,745.9109689613473
20,AdaptiveRandomForestExecutorMAXChunk,GMSC,4,90001.0,119.08699798583984,1206.0,93.49888888888889,25,100,4,131,3.7777310924369747,899.1,,,,494.88277310924366,449.87865499608654,755.7584079053001,0.0054986363830317846,755.7584079053001
