,algorithm,dataset,cores_x,instances,time,delay,acc,ensemble_size,inc_rate_x,cores_y,duration,avg_measure,sum_measure,inc_rate_y,prod_rate,tt_inst_prod,avg_times_duration,joules,IPS,JPI,tput
13,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,18001.0,599.2420043945312,9607.0,91.02222222222224,25,100,4,612,3.0272892112420675,3339.1000000000004,,,,1852.7009972801454,1814.078854826636,30.039616495489245,0.10292211528693658,30.039616495489245
22,OzaBagExecutorMAXChunk,elecNormNew,4,45152.0,235.156005859375,672.0,76.91777777777777,25,100,4,248,2.8832589285714283,1291.6999999999998,,,,715.0482142857143,678.015653501238,192.00870432797376,0.015836468246937328,192.00870432797376
15,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,45251.0,221.25900268554688,651.0,84.5635359116022,25,100,4,234,3.0688679245283015,1301.1999999999998,,,,718.1150943396226,679.0146563547961,204.51597200910592,0.015869596126928082,204.51597200910592
6,OzaBagASHTExecutorMAXChunk,elecNormNew,4,45069.0,157.1199951171875,624.0,72.07597765363128,25,100,4,171,3.0055016181229774,928.7,,,,513.9407766990291,472.22439956418134,286.84445901608774,0.011403420903481974,286.84445901608774
5,LBagExecutorMAXChunk,elecNormNew,4,40218.0,598.2769775390625,2358.0,89.29559748427674,25,100,4,613,2.8705882352941177,3172.0,,,,1759.6705882352942,1717.4068531709559,67.22304469316488,0.04375330917090094,67.22304469316488
12,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,30001.0,599.27099609375,5230.0,88.77666666666667,25,100,4,611,2.9439201451905626,3244.2,,,,1798.7352087114336,1764.2059578288056,50.06249292149397,0.059955841762322375,50.06249292149397
14,StreamingRandomPatchesExecutorMAXChunk,covtypeNorm,4,10084.0,599.2410278320312,12235.0,82.3957783641161,25,100,4,612,3.043064369900272,3356.5,,,,1862.3553943789664,1823.5290207780715,16.827953246930498,0.18468419222322158,16.827953246930498
23,OzaBagExecutorMAXChunk,covtypeNorm,4,107001.0,599.301025390625,1525.0,79.79626168224299,25,100,4,613,3.0085067873303166,3324.4,,,,1844.214660633484,1803.0012025417138,178.54299503368387,0.017235489954612424,178.54299503368387
2,OzaBagAdwinExecutorMAXChunk,covtypeNorm,4,39185.0,599.3189697265625,2299.0,79.84358974358975,25,100,4,612,2.8967391304347827,3198.0,,,,1772.804347826087,1736.0707112187924,65.38254582176506,0.04524191266622654,65.38254582176506
0,OzaBagASHTExecutorMAXChunk,covtypeNorm,4,91001.0,599.3070068359375,1766.0,79.34285714285714,25,100,4,613,2.8797285067873304,3182.1,,,,1765.2735746606336,1725.8414719028387,151.8437110896517,0.019398397541352662,151.8437110896517
17,LBagExecutorMAXChunk,covtypeNorm,4,22501.0,599.27001953125,6972.0,79.16444444444444,25,100,4,613,2.887873303167421,3191.1,,,,1770.266334841629,1730.6158907929157,37.54734805121791,0.07867500710375668,37.54734805121791
19,AdaptiveRandomForestExecutorMAXChunk,covtypeNorm,4,14001.0,599.2379760742188,41873.0,73.85714285714286,25,100,4,611,2.912341197822142,3209.4,,,,1779.4404718693286,1745.1854450205062,23.36467406776286,0.1270938127183293,23.36467406776286
8,StreamingRandomPatchesExecutorMAXChunk,airlines,4,7654.0,601.7349853515625,22120.0,66.56,25,100,4,613,3.258371040723982,3600.5,,,,1997.3814479638008,1960.6758504600007,12.71988530885929,0.2609591648763785,12.71988530885929
21,OzaBagExecutorMAXChunk,airlines,4,194530.0,599.4970092773438,524.0,65.64490322580644,25,100,4,613,3.1921266968325788,3527.2999999999997,,,,1956.7736651583707,1913.6704079854971,324.4886913355811,0.010058981468968132,324.4886913355811
4,OzaBagAdwinExecutorMAXChunk,airlines,4,31053.0,599.260009765625,1060.0,67.11973018549747,25,100,4,613,3.410769230769231,3768.9,,,,2090.8015384615387,2043.9376025390627,51.8189091445382,0.06733009816963059,51.8189091445382
3,OzaBagASHTExecutorMAXChunk,airlines,4,106001.0,599.3499755859375,1633.0,65.51792452830189,25,100,4,613,2.909321266968326,3214.8,,,,1783.4139366515838,1743.701630329115,176.85993879681254,0.016824501058023827,176.85993879681254
7,LBagExecutorMAXChunk,airlines,4,9001.0,605.677978515625,3225.0,62.2,25,100,4,619,3.4860215053763444,3890.4,,,,2157.847311827957,2111.40645843834,14.861032296500765,0.23973417529474025,14.861032296500765
11,AdaptiveRandomForestExecutorMAXChunk,airlines,4,9501.0,601.6320190429688,9959.0,65.0421052631579,25,100,4,613,3.223598553345389,3565.3,,,,1976.0659132007236,1939.4201062331797,15.792045136017663,0.20798504506901627,15.792045136017663
9,StreamingRandomPatchesExecutorMAXChunk,GMSC,4,14501.0,599.2509765625,10666.0,93.57241379310344,25,100,4,612,2.8902173913043474,3190.7999999999997,,,,1768.8130434782606,1731.9655942170514,24.19854212534202,0.12197869412304398,24.19854212534202
