dataset,algorithm,ensemble_size,cores,instances,time,delay,out_rate,acc
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,315501.0,120.04000091552734,165.0,2628.298828125,78.38066561014263
GMSC,LBagExecutorMAXChunk,25,4,95310.0,119.3550033569336,265.0,798.5421142578125,93.4585519412382
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,149001.0,120.11900329589844,249.0,1240.44482421875,84.93087248322148
airlines,OzaBagASHTExecutorMAXChunk,25,4,209251.0,120.12100219726562,235.0,1742.0018310546875,64.91899641577061
airlines,OzaBagAdwinExecutorMAXChunk,25,4,11326.0,121.64199829101562,268.0,93.10929107666016,66.43708609271523
elecNormNew,LBagExecutorMAXChunk,25,4,23501.0,119.08999633789062,1568.0,197.33815002441406,89.74468085106383
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,29587.0,119.1729965209961,702.0,248.2693328857422,77.19658119658119
airlines,LBagExecutorMAXChunk,25,4,10201.0,121.927001953125,595.0,83.6648178100586,60.97058823529412
airlines,StreamingRandomPatchesExecutorMAXChunk,25,4,8501.0,126.61699676513672,7367.0,67.13948822021484,65.36470588235294
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,99001.0,119.83200073242188,553.0,826.1649780273438,93.44444444444444
GMSC,OzaBagExecutorMAXChunk,25,4,92501.0,119.21800231933594,355.0,775.89794921875,93.4281081081081
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,11251.0,122.13500213623047,2684.0,92.11937713623047,65.37777777777778
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,25501.0,119.10199737548828,1600.0,214.110595703125,88.90588235294118
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,26251.0,119.53199768066406,1288.0,219.61483764648438,90.4342857142857
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,37001.0,120.59400177001953,1591.0,306.8228759765625,94.7054054054054
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,27001.0,119.1760025024414,616.0,226.56407165527344,86.25185185185185
GMSC,OzaBagASHTExecutorMAXChunk,25,4,89001.0,119.09700012207031,383.0,747.2984008789062,93.23370786516854
covtypeNorm,LBagExecutorMAXChunk,25,4,92501.0,120.0999984741211,637.0,770.1998291015625,90.05837837837838
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,89501.0,119.1520004272461,263.0,751.1497802734375,93.47597765363128
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,125501.0,120.23600006103516,1598.0,1043.7889404296875,89.28446215139442
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,87501.0,120.02400207519531,1793.0,729.0291748046875,93.54057142857143
airlines,OzaBagExecutorMAXChunk,25,4,261501.0,120.02899932861328,131.0,2178.6484375,63.35831739961759
elecNormNew,OzaBagExecutorMAXChunk,25,4,26001.0,119.20899963378906,1340.0,218.11273193359375,76.06153846153846
covtypeNorm,OzaBagExecutorMAXChunk,25,4,301501.0,119.99500274658203,165.0,2512.613037109375,78.4301824212272
