,algorithm,dataset,cores_x,instances,time,delay,acc,ensemble_size,inc_rate_x,cores_y,duration,avg_measure,sum_measure,inc_rate_y,prod_rate,tt_inst_prod,avg_times_duration,joules,IPS,JPI,tput
13,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,17547.0,599.3900146484375,2315.0,91.29022556390976,25,100,4,612,3.025113327289211,3336.7,,,,1851.3693563009972,1813.2227215570638,29.274761959943408,0.10550916716823372,29.274761959943408
22,OzaBagExecutorMAXChunk,elecNormNew,4,45307.0,212.2530059814453,196.0,77.92230854605994,25,100,4,226,2.8659313725490194,1169.3,,,,647.7004901960784,608.3025487600588,213.4575187310216,0.014295814999803085,213.4575187310216
15,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,45310.0,386.2619934082031,353.0,84.17604456824512,25,100,4,399,2.8787499999999997,2072.7,,,,1148.62125,1111.9517135238646,117.30380097768568,0.025350281394835576,117.30380097768568
6,OzaBagASHTExecutorMAXChunk,elecNormNew,4,45256.0,172.17999267578125,178.0,77.45555555555555,25,100,4,186,2.9474777448071214,993.3,,,,548.2308605341245,507.4966965129184,262.8412238651796,0.012113992852530594,262.8412238651796
5,LBagExecutorMAXChunk,elecNormNew,4,37955.0,599.4420166015625,543.0,90.18741633199464,25,100,4,613,2.8410488245931282,3142.2,,,,1741.5629294755877,1703.0440366776036,63.31721659282344,0.045884940837191086,63.31721659282344
12,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,22394.0,599.2689819335938,1724.0,89.68149882903981,25,100,4,611,2.8997277676951,3195.5,,,,1771.7336660617061,1737.716907231215,37.368862188968635,0.07911644485405493,37.368862188968635
14,StreamingRandomPatchesExecutorMAXChunk,covtypeNorm,4,10576.0,599.3989868164062,763.0,82.7517730496454,25,100,4,612,3.2768812330009065,3614.4,,,,2005.4513145965548,1964.1592909784395,17.64434080239677,0.1896228550110207,17.64434080239677
23,OzaBagExecutorMAXChunk,covtypeNorm,4,81663.0,599.4539794921875,277.0,78.26333641689793,25,100,4,612,2.9865820489573887,3294.2,,,,1827.7882139619219,1790.3184943274377,136.22897302171347,0.022382085080904716,136.22897302171347
2,OzaBagAdwinExecutorMAXChunk,covtypeNorm,4,46173.0,599.5050048828125,347.0,83.1609756097561,25,100,4,612,3.013599274705349,3324.0,,,,1844.3227561196734,1806.6678478970703,77.01853966844799,0.039943749726456444,77.01853966844799
0,OzaBagASHTExecutorMAXChunk,covtypeNorm,4,82796.0,599.458984375,401.0,79.77710109622411,25,100,4,613,2.948191681735986,3260.7000000000003,,,,1807.2415009041592,1767.3199912762773,138.11787321249955,0.021827642650661377,138.11787321249955
17,LBagExecutorMAXChunk,covtypeNorm,4,14425.0,599.2269897460938,2946.0,74.06923076923077,25,100,4,612,2.947554347826087,3254.1,,,,1803.9032608695652,1766.2541189608366,24.07268071505291,0.12505395222665963,24.07268071505291
19,AdaptiveRandomForestExecutorMAXChunk,covtypeNorm,4,31463.0,599.3909912109375,791.0,82.7169206094627,25,100,4,612,3.05494106980961,3369.6,,,,1869.6239347234814,1831.104155924184,52.49161308953933,0.05942293915785149,52.49161308953933
8,StreamingRandomPatchesExecutorMAXChunk,airlines,4,8254.0,599.2109985351562,5825.0,66.21086261980831,25,100,4,612,3.5684496826835903,3936.0,,,,2183.8912058023575,2138.2542975832957,13.774780536702265,0.2645858015268182,13.774780536702265
21,OzaBagExecutorMAXChunk,airlines,4,206663.0,599.3410034179688,299.0,64.76715656504311,25,100,4,613,3.5694746376811595,3940.7,,,,2188.0879528985506,2139.3325110228166,344.8170554349295,0.010587710199206199,344.8170554349295
4,OzaBagAdwinExecutorMAXChunk,airlines,4,22091.0,599.2589721679688,2873.0,66.37939110070258,25,100,4,612,3.057026291931097,3371.9,,,,1870.9000906618314,1831.950433593086,36.863861912789226,0.0846906020850949,36.863861912789226
3,OzaBagASHTExecutorMAXChunk,airlines,4,121404.0,599.6329956054688,303.0,66.41584158415841,25,100,4,613,2.9924954792043397,3309.7,,,,1834.3997287522602,1794.3990285311208,202.46384186616427,0.01510987882402771,202.46384186616427
7,LBagExecutorMAXChunk,airlines,4,12936.0,599.2249755859375,4678.0,61.69098712446351,25,100,4,613,3.4065099457504524,3767.6000000000004,,,,2088.1905967450275,2041.265839075568,21.587885230168933,0.1614247523767028,21.587885230168933
11,AdaptiveRandomForestExecutorMAXChunk,airlines,4,8725.0,599.2139892578125,3694.0,66.17956656346749,25,100,4,612,3.160924750679964,3486.5000000000005,,,,1934.485947416138,1894.0703295986975,14.560741498720349,0.22171758709640552,14.560741498720349
9,StreamingRandomPatchesExecutorMAXChunk,GMSC,4,31324.0,599.3049926757812,853.0,93.53896103896103,25,100,4,612,2.8873073436083407,3184.7,,,,1767.0320942883045,1730.377706413926,52.2672101564587,0.05641144471613793,52.2672101564587
10,OzaBagExecutorMAXChunk,GMSC,4,149987.0,360.2340087890625,160.0,93.21838309292184,25,100,4,373,2.8235905044510385,1903.1,,,,1053.1992581602374,1017.1533265971289,416.3599114480774,0.0070219369556044015,416.3599114480774
18,OzaBagAdwinExecutorMAXChunk,GMSC,4,121862.0,599.3179931640625,215.0,93.41011929247225,25,100,4,612,2.839221014492753,3134.4999999999995,,,,1737.6032608695648,1701.5962405550304,203.33445915187204,0.01425877846145283,203.33445915187204
16,OzaBagASHTExecutorMAXChunk,GMSC,4,149986.0,420.6499938964844,93.0,93.29015025041735,25,100,4,434,2.9649616368286438,2318.5999999999995,,,,1286.7933503836314,1247.2110944352794,356.55771348212426,0.0085794230820452,356.55771348212426
1,LBagExecutorMAXChunk,GMSC,4,93346.0,599.5020141601562,659.0,93.37987455685848,25,100,4,613,2.9023529411764706,3207.1,,,,1779.1423529411766,1739.9664340389477,155.70589888804398,0.01905965282862872,155.70589888804398
20,AdaptiveRandomForestExecutorMAXChunk,GMSC,4,64041.0,599.3980102539062,738.0,93.47611464968152,25,100,4,611,2.8571687840290374,3148.5999999999995,,,,1745.7301270417418,1712.5812841065779,106.84219651124984,0.02725957007294923,106.84219651124984
