dataset,algorithm,ensemble_size,cores,batch_size,inc_rate,instances,time,delay,out_rate,acc
airlines,OzaBagAdwinExecutorMAXChunk,25,4,2000,61,7200.0,119.98899841308594,20506.0,60.00550079345703,60.75000000000001
airlines,LBagExecutorMAXChunk,25,4,2000,164,8000.0,790.3300170898438,195713.0,10.122353553771973,57.43333333333334
GMSC,LBagExecutorMAXChunk,25,4,50,135,16174.0,120.00900268554688,223.0,134.77322387695312,93.42594889605557
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,500,685,81500.0,120.3290023803711,711.0,677.3096923828125,83.02962962962962
elecNormNew,OzaBagExecutorMAXChunk,25,4,500,2632,41293.0,17.530000686645508,204.0,2355.561767578125,77.00585884833183
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,50,37,4200.0,120.1050033569336,860.0,34.96940231323242,81.97590361445783
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,71,8400.0,120.0,17567.0,70.0,78.078125
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,500,81,9500.0,120.96099853515625,5210.0,78.53771209716797,57.611111111111114
airlines,OzaBagASHTExecutorMAXChunk,25,4,50,450,32950.0,121.48500061035156,184.0,271.2268981933594,64.98480243161094
GMSC,OzaBagASHTExecutorMAXChunk,25,4,50,3740,149768.0,43.39400100708008,14.0,3451.3525390625,93.406938377483
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,500,16,1800.0,119.95099639892578,19197.0,15.006128311157227,49.38461538461538
airlines,OzaBagASHTExecutorMAXChunk,25,4,2000,92,10800.0,119.99800109863281,15279.0,90.00150299072266,59.80681818181818
airlines,LBagExecutorMAXChunk,25,4,2000,91,8000.0,443.4159851074219,107973.0,18.041749954223633,57.13333333333333
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,2000,659,77083.0,119.97899627685547,3065.0,642.4707641601562,79.27094015955676
elecNormNew,OzaBagExecutorMAXChunk,25,4,2000,279,32945.0,119.87200164794922,4205.0,274.8348083496094,76.40006463079658
airlines,LBagExecutorMAXChunk,25,4,50,136,9850.0,120.25800323486328,609.0,81.90723419189453,61.755102040816325
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,500,715,85500.0,120.0510025024414,692.0,712.1973266601562,80.27882352941177
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,50,1127,45312.0,40.40599822998047,32.0,1121.4176025390625,79.68052671114843
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,355,41069.0,119.88099670410156,4639.0,342.5813903808594,76.03982697279173
airlines,OzaBagAdwinExecutorMAXChunk,25,4,500,44,4800.0,119.98300170898438,7288.0,40.00566864013672,66.76744186046511
airlines,OzaBagAdwinExecutorMAXChunk,25,4,2000,308,30000.0,125.66400146484375,8104.0,238.7318572998047,63.31071428571428
elecNormNew,OzaBagExecutorMAXChunk,25,4,50,2459,42581.0,18.513999938964844,21.0,2299.935302734375,78.69083727163716
GMSC,LBagExecutorMAXChunk,25,4,50,675,80800.0,120.00199890136719,52.0,673.3221435546875,93.40928792569659
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,500,481,57500.0,120.48699951171875,953.0,477.22991943359375,93.43508771929825
