,algorithm,dataset,cores,batch_size,inc_rate,out_rate,instances,time,delay,acc,ensemble_size,duration,avg_measure,sum_measure,prod_rate,tt_inst_prod,avg_times_duration,joules,JPIold,JPI,PERC,tput
42,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,2000,353,328.0274963378906,40000.0,121.94100189208984,5686.0,75.60263157894737,25,126,5.520614035087719,1258.6999999999998,349.18387741505666,41930.0,695.5973684210526,673.1892064981292,0.00013801535087719295,0.017389934210526314,90,328.02748361373557
148,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,2000,196,194.93165588378903,23361.0,119.84200286865234,8435.0,77.58063761059876,25,128,4.799137931034483,1113.4,194.62958642983304,23361.0,614.2896551724139,575.1383016980928,0.0002054337541643972,0.026295520533042842,50,194.93165535295515
191,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,2000,39,35.00642013549805,4200.0,119.97799682617188,34271.0,77.77272727272727,25,125,3.8008810572687217,862.7999999999998,34.951068504094266,4200.0,475.1101321585902,456.0220954256435,0.0009049716803020766,0.11312146003775957,10,35.00641876931068
89,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,500,377,369.7948303222656,44500.0,120.33699798583984,1314.0,78.375,25,124,5.958407079646017,1346.6,374.1037747632966,44925.0,738.8424778761062,717.0168207421766,0.00013389678830665207,0.016603201750024856,90,369.794832385933
180,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,500,209,203.1071319580078,24500.0,120.6259994506836,2072.0,79.24166666666666,25,125,4.756194690265486,1074.8999999999999,204.5986587245387,24559.0,594.5243362831858,573.7207380953088,0.00019413039552104025,0.02426629944013003,50,203.1071254254479
94,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,500,41,40.005332946777344,4800.0,119.98400115966795,7471.0,80.16279069767441,25,125,3.817621145374449,866.5999999999999,39.942416349762425,4800.0,477.20264317180613,458.0534599337808,0.0007953377386196768,0.09941721732745962,10,40.005333657880186
115,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,50,338,334.51416015625,40133.0,119.9739990234375,137.0,80.79734550807075,25,124,5.547555555555557,1248.2000000000003,334.20772126178343,40133.0,687.8968888888891,665.5624248046877,0.00013822927654437886,0.01714043029150298,90,334.51414745423153
213,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,50,188,184.81333923339844,22163.0,119.9209976196289,212.0,82.88337177226066,25,124,4.672000000000001,1051.2,184.6531972505728,22163.0,579.3280000000001,560.2709008789063,0.00021080178676172,0.026139421558453283,50,184.81333911428632
5,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,50,37,34.96940231323242,4200.0,120.1050033569336,860.0,81.97590361445783,25,124,3.8737777777777778,871.6,34.95194108101361,4200.0,480.34844444444445,465.2600930040148,0.0009223280423280424,0.11436867724867725,10,34.96940079605382
121,OzaBagExecutorMAXChunk,elecNormNew,4,2000,2515,2121.623046875,38639.0,18.21199989318848,895.0,74.76732443571058,25,24,5.388636363636363,237.09999999999997,2480.267119163611,45312.0,129.3272727272727,98.13784487897699,0.00013946107206802357,0.003347065729632566,90,2121.623118087733
118,OzaBagExecutorMAXChunk,elecNormNew,4,2000,1397,1342.4775390625,43652.0,32.51599884033203,1243.0,75.35532507442619,25,38,4.685714285714284,327.9999999999999,1385.7728301425163,45312.0,178.0571428571428,152.3606802804129,0.0001073424879894228,0.0040790145435980665,50,1342.4775973929225
14,OzaBagExecutorMAXChunk,elecNormNew,4,2000,279,274.8348083496094,32945.0,119.87200164794922,4205.0,76.40006463079658,25,126,3.7253275109170296,853.0999999999998,274.41360698340776,32945.0,469.39126637554574,446.56246552779675,0.00011307717440938017,0.014247723975581902,10,274.8348200337541
