,algorithm,dataset,cores,batch_size,inc_rate,out_rate,instances,time,delay,acc,ensemble_size,duration,avg_measure,sum_measure,prod_rate,tt_inst_prod,avg_times_duration,joules,JPIold,JPI,PERC,tput
42,StreamingRandomPatches,elecNormNew,4,2000,353,328.0274963378906,40000.0,121.94100189208984,5686.0,75.60263157894737,25,126,5.520614035087719,1258.6999999999998,349.18387741505666,41930.0,695.5973684210526,673.1892064981292,0.00013801535087719295,0.017389934210526314,90,328.02748361373557
148,StreamingRandomPatches,elecNormNew,4,2000,196,194.93165588378903,23361.0,119.84200286865234,8435.0,77.58063761059876,25,128,4.799137931034483,1113.4,194.62958642983304,23361.0,614.2896551724139,575.1383016980928,0.0002054337541643972,0.026295520533042842,50,194.93165535295515
191,StreamingRandomPatches,elecNormNew,4,2000,39,35.00642013549805,4200.0,119.97799682617188,34271.0,77.77272727272727,25,125,3.8008810572687217,862.7999999999998,34.951068504094266,4200.0,475.1101321585902,456.0220954256435,0.0009049716803020766,0.11312146003775957,10,35.00641876931068
89,StreamingRandomPatches,elecNormNew,4,500,377,369.7948303222656,44500.0,120.33699798583984,1314.0,78.375,25,124,5.958407079646017,1346.6,374.1037747632966,44925.0,738.8424778761062,717.0168207421766,0.00013389678830665207,0.016603201750024856,90,369.794832385933
180,StreamingRandomPatches,elecNormNew,4,500,209,203.1071319580078,24500.0,120.6259994506836,2072.0,79.24166666666666,25,125,4.756194690265486,1074.8999999999999,204.5986587245387,24559.0,594.5243362831858,573.7207380953088,0.00019413039552104025,0.02426629944013003,50,203.1071254254479
94,StreamingRandomPatches,elecNormNew,4,500,41,40.005332946777344,4800.0,119.98400115966795,7471.0,80.16279069767441,25,125,3.817621145374449,866.5999999999999,39.942416349762425,4800.0,477.20264317180613,458.0534599337808,0.0007953377386196768,0.09941721732745962,10,40.005333657880186
138,OzaBagAdwin,elecNormNew,4,2000,2196,1929.225830078125,40425.0,20.95400047302246,981.0,75.58880936890046,25,27,5.205882352941177,265.5,2170.8427154697456,45312.0,140.55882352941177,109.0840612860287,0.00012877878424096911,0.003477027174506166,90,1929.2258799003926
195,OzaBagAdwin,elecNormNew,4,2000,1220,1155.5477294921875,42939.0,37.15900039672852,1411.0,76.65062654192823,25,43,4.662820512820513,363.70000000000005,1213.432596004499,45312.0,200.50128205128206,173.26574928577134,0.0001085917350851327,0.004669444608660706,50,1155.5477688194312
32,OzaBagAdwin,elecNormNew,4,2000,244,239.86785888671875,28752.0,119.86599731445312,4807.0,77.91193181818183,25,125,3.7302631578947363,850.4999999999999,239.49422338467178,28752.0,466.282894736842,447.1317136664139,0.0001297392584131447,0.016217407301643085,10,239.8678578093569
77,OzaBagAdwin,elecNormNew,4,500,2335,2180.079345703125,43425.0,19.91900062561035,228.0,78.33896330809552,25,26,5.387499999999999,258.59999999999997,2302.67303587763,45312.0,140.075,107.31361587047576,0.00012406447898675877,0.003225676453655728,90,2180.0792527797507
188,OzaBagAdwin,elecNormNew,4,500,1297,1296.592041015625,45312.0,34.946998596191406,318.0,77.87646166205481,25,40,4.648648648648648,344.0,1289.6174863387978,45312.0,185.94594594594594,162.45631779851138,0.00010259199877843945,0.004103679951137578,50,1296.5920342280322
