dataset,algorithm,ensemble_size,cores,batch_size,inc_rate,instances,time,delay,out_rate,acc
covtypeNorm,OzaBagExecutorMAXChunk,25,4,100,74,8400.0,120.24700164794922,921.0,69.85620880126953,60.433734939759034
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,75,2493,44158.0,19.884000778198242,33.0,2220.780517578125,79.29814214096137
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,100,3523,149922.0,42.731998443603516,27.0,3508.4248046875,93.39015631883169
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,75,73,8400.0,120.2040023803711,696.0,69.8812026977539,60.70870870870871
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,100,70,8400.0,120.26200103759766,944.0,69.84749603271484,64.22891566265059
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,100,615,73600.0,120.0270004272461,151.0,613.1953735351562,93.48707482993197
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,25,595,71250.0,120.01000213623047,30.0,593.7005004882812,93.46437346437347
covtypeNorm,OzaBagExecutorMAXChunk,25,4,50,72,8400.0,120.177001953125,488.0,69.89690399169922,61.4251497005988
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,50,39,4200.0,120.04399871826172,820.0,34.9871711730957,82.48192771084337
elecNormNew,LBagExecutorMAXChunk,25,4,75,1043,42694.0,43.66999816894531,72.0,977.6505737304688,80.46880499307821
elecNormNew,LBagExecutorMAXChunk,25,4,75,115,13777.0,119.81600189208984,382.0,114.9846420288086,82.18508246971246
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,75,60,7200.0,120.08499908447266,742.0,59.9575309753418,70.4421052631579
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,100,676,43424.0,67.28500366210938,143.0,645.3741455078125,79.28630782014588
GMSC,LBagExecutorMAXChunk,25,4,100,805,96300.0,120.04399871826172,95.0,802.2058715820312,93.5
elecNormNew,OzaBagExecutorMAXChunk,25,4,50,2318,43510.0,19.575000762939453,21.0,2222.73291015625,78.66774045098943
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,75,15,1800.0,120.20899963378906,2879.0,14.973920822143555,67.2463768115942
airlines,OzaBagAdwinExecutorMAXChunk,25,4,75,52,6000.0,120.2040023803711,873.0,49.91514205932617,66.70042194092827
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,100,13,1200.0,120.38700103759766,5726.0,9.967853546142578,62.727272727272734
GMSC,OzaBagASHTExecutorMAXChunk,25,4,75,3839,150000.0,39.2140007019043,18.0,3825.164306640625,93.35934633983658
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,75,1052,125580.0,119.97100067138672,62.0,1046.7529296875,93.5412931755707
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,25,336,40133.0,119.95099639892578,54.0,334.57830810546875,93.47013064725242
elecNormNew,LBagExecutorMAXChunk,25,4,100,1087,42105.0,41.85900115966797,95.0,1005.8768310546875,79.77145577907392
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,25,1071,127950.0,120.00499725341797,21.0,1066.20556640625,93.5407465311706
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,25,36,4200.0,120.01599884033203,402.0,34.99533462524414,83.8562874251497
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,100,179,10600.0,120.19400024414062,1131.0,88.19075775146484,65.76190476190476
GMSC,LBagExecutorMAXChunk,25,4,50,156,18569.0,119.84700012207031,185.0,154.939208984375,93.52556833522328
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,75,3722,149068.0,40.4010009765625,19.0,3689.71044921875,93.34398260320955
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,100,651,77200.0,120.02999877929688,151.0,643.1725463867188,81.30090791180285
GMSC,LBagExecutorMAXChunk,25,4,75,1556,148771.0,96.77999877929688,46.0,1537.2081298828125,93.3885242373702
elecNormNew,LBagExecutorMAXChunk,25,4,75,579,45312.0,79.0260009765625,96.0,573.3809204101562,80.33468178703274
covtypeNorm,LBagExecutorMAXChunk,25,4,100,237,28153.0,119.85199737548828,363.0,234.89804077148438,77.76351905322069
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,50,351,41930.0,119.9530029296875,131.0,349.5535583496094,80.94794651384909
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,50,126,14975.0,119.94000244140625,338.0,124.85408782958984,75.43718592964824
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,50,626,74350.0,120.00900268554688,76.0,619.536865234375,81.67294751009422
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,50,111,13179.0,120.00900268554688,259.0,109.81676483154297,93.41153172366516
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,50,1821,150000.0,82.63700103759766,19.0,1815.16748046875,93.3404468156052
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,50,572,68250.0,120.03199768066406,79.0,568.598388671875,93.43108504398828
covtypeNorm,OzaBagExecutorMAXChunk,25,4,50,652,77200.0,120.0250015258789,75.0,643.1993408203125,81.88852883992223
airlines,OzaBagASHTExecutorMAXChunk,25,4,25,1203,20225.0,120.27799987792969,148.0,168.15211486816406,65.1930693069307
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,25,12,1200.0,120.08799743652344,1384.0,9.992671966552734,68.25531914893617
GMSC,LBagExecutorMAXChunk,25,4,25,746,89150.0,120.00599670410156,24.0,742.8795166015625,93.34642356241234
GMSC,LBagExecutorMAXChunk,25,4,75,864,102900.0,120.01599884033203,66.0,857.3856811523438,93.35181132992949
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,100,365,43700.0,120.08899688720703,262.0,363.89678955078125,79.89908256880734
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,25,2303,43187.0,19.73699951171875,11.0,2188.123779296875,80.06811547194292
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,50,70,8387.0,120.00399780273438,552.0,69.88933563232422,76.88617008516253
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,25,67,7800.0,120.03099822998047,220.0,64.98321533203125,93.64630225080386
airlines,OzaBagASHTExecutorMAXChunk,25,4,50,1358,34300.0,121.91000366210938,177.0,281.3551025390625,67.76350364963504
elecNormNew,OzaBagExecutorMAXChunk,25,4,50,1288,45312.0,35.362998962402344,29.0,1281.3392333984375,78.73050240820115
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,75,548,63375.0,120.0780029296875,118.0,527.7819213867188,85.66666666666667
airlines,StreamingRandomPatchesExecutorMAXChunk,25,4,100,164,8600.0,120.58300018310547,1399.0,71.3201675415039,65.30588235294118
airlines,OzaBagExecutorMAXChunk,25,4,25,1558,21200.0,122.20500183105469,144.0,173.47898864746094,65.24675324675324
elecNormNew,LBagExecutorMAXChunk,25,4,25,542,45312.0,84.052001953125,34.0,539.0948486328125,83.52507342062843
airlines,OzaBagAdwinExecutorMAXChunk,25,4,50,266,31747.0,119.96199798583984,164.0,264.64215087890625,66.96532794901727
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,100,19,1800.0,120.48799896240234,4200.0,14.939247131347656,74.82352941176471
GMSC,OzaBagASHTExecutorMAXChunk,25,4,50,3660,150000.0,41.09700012207031,13.0,3649.9013671875,93.35711903967989
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,50,58,6600.0,120.0780029296875,560.0,54.964271545410156,72.88549618320612
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,75,39,4200.0,120.0979995727539,1231.0,34.971439361572266,80.96969696969697
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,75,664,78525.0,120.01599884033203,109.0,654.2877807617188,81.55258126195028
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,25,499,57850.0,120.02799987792969,44.0,481.97088623046875,86.7825335062689
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,75,1171,45312.0,38.777000427246094,50.0,1168.5277099609375,79.15423215509428
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,25,184,21564.0,119.87999725341797,101.0,179.8798828125,84.83216491016296
covtypeNorm,LBagExecutorMAXChunk,25,4,50,402,47900.0,120.01699829101562,115.0,399.1101379394531,85.4294670846395
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,50,14,1200.0,120.18599700927734,2783.0,9.98452377319336,66.8695652173913
airlines,OzaBagAdwinExecutorMAXChunk,25,4,50,53,6000.0,120.0510025024414,519.0,49.978759765625,66.73949579831933
GMSC,OzaBagASHTExecutorMAXChunk,25,4,25,367,43727.0,119.89800262451172,37.0,364.70166015625,93.42593016337925
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,25,575,68500.0,120.00199890136719,43.0,570.8238525390625,81.30412559328222
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,50,2439,43758.0,19.05900001525879,21.0,2295.923095703125,79.36762148805711
elecNormNew,LBagExecutorMAXChunk,25,4,25,976,43040.0,46.62900161743164,25.0,923.0307006835938,83.01987678716726
airlines,StreamingRandomPatchesExecutorMAXChunk,25,4,25,85,8000.0,120.12899780273438,375.0,66.59507751464844,65.95611285266457
elecNormNew,OzaBagExecutorMAXChunk,25,4,100,279,32945.0,119.9010009765625,199.0,274.7683410644531,77.55822804079769
airlines,StreamingRandomPatchesExecutorMAXChunk,25,4,100,91,8700.0,121.36699676513672,1388.0,71.68341064453125,65.46511627906978
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,75,584,69450.0,120.00399780273438,94.0,578.730712890625,93.46738738738739
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,50,69,7788.0,120.00399780273438,517.0,64.89783477783203,61.97983975187387
airlines,OzaBagAdwinExecutorMAXChunk,25,4,50,479,46150.0,120.05699920654297,129.0,384.4007568359375,68.646420824295
covtypeNorm,OzaBagExecutorMAXChunk,25,4,75,66,7800.0,120.26200103759766,787.0,64.85839080810547,60.944983818770226
GMSC,OzaBagASHTExecutorMAXChunk,25,4,100,3854,150000.0,39.060001373291016,24.0,3840.24560546875,93.35023348899266
covtypeNorm,LBagExecutorMAXChunk,25,4,75,232,27554.0,119.98400115966797,274.0,229.64727783203125,78.07780486917282
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,25,619,44711.0,73.86399841308594,36.0,605.315185546875,81.60497695027526
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,100,624,71700.0,120.06800079345703,155.0,597.16162109375,86.12011173184358
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,75,67,7788.0,120.0009994506836,804.0,64.89945983886719,65.03306106573318
airlines,OzaBagASHTExecutorMAXChunk,25,4,75,771,21075.0,120.01899719238281,426.0,175.59719848632812,65.03333333333333
GMSC,OzaBagExecutorMAXChunk,25,4,75,2056,150000.0,73.10299682617188,27.0,2051.8994140625,93.48340837085209
airlines,OzaBagAdwinExecutorMAXChunk,25,4,75,264,31148.0,119.99800109863281,265.0,259.57098388671875,67.1708557268368
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,75,304,35880.0,119.9739990234375,184.0,299.0647888183594,79.38835358190197
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,25,605,72400.0,120.00800323486328,38.0,603.2930908203125,93.40379965457686
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,75,329,38925.0,120.04399871826172,166.0,324.256103515625,93.51093951093951
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,25,63,7200.0,120.15299987792969,297.0,59.92359924316406,78.75958188153311
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,75,1385,45312.0,32.72600173950195,41.0,1384.587158203125,79.23381302915755
airlines,LBagExecutorMAXChunk,25,4,100,163,8400.0,123.19599914550781,1463.0,68.18402862548828,61.97590361445783
covtypeNorm,LBagExecutorMAXChunk,25,4,50,44,4800.0,120.15899658203125,763.0,39.94707107543945,71.34736842105264
GMSC,OzaBagASHTExecutorMAXChunk,25,4,100,2141,150000.0,70.24700164794922,34.0,2135.322509765625,93.37358238825884
elecNormNew,OzaBagExecutorMAXChunk,25,4,100,2519,42934.0,18.39699935913086,42.0,2333.750244140625,78.8532474202736
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,50,97,10150.0,120.0770034790039,583.0,84.52909088134766,65.97029702970298
airlines,LBagExecutorMAXChunk,25,4,75,18,1800.0,120.67900085449219,2888.0,14.915602684020996,72.52173913043478
airlines,StreamingRandomPatchesExecutorMAXChunk,25,4,50,156,8250.0,120.26899719238281,728.0,68.59622955322266,65.52439024390245
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,75,79,8986.0,120.00499725341797,517.0,74.88021850585938,80.41746156435866
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,100,342,40732.0,119.98999786376953,221.0,339.4616394042969,93.47558574522544
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,75,608,71250.0,120.10199737548828,119.0,593.2457275390625,84.16016859852476
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,25,332,39525.0,120.02300262451172,68.0,329.3118896484375,82.2253164556962
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,100,375,44925.0,119.96199798583984,184.0,374.49359130859375,79.31288343558282
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,25,255,30549.0,119.88400268554688,53.0,254.82131958007812,80.7037085572009
GMSC,LBagExecutorMAXChunk,25,4,100,161,19168.0,119.81300354003906,359.0,159.98263549804688,93.59135724774491
covtypeNorm,LBagExecutorMAXChunk,25,4,50,223,26356.0,119.91300201416016,186.0,219.7926788330078,78.670265338706
