,algorithm,dataset,cores,batch_size,inc_rate,out_rate,instances,time,delay,acc,ensemble_size,duration,avg_measure,sum_measure,prod_rate,tt_inst_prod,avg_times_duration,joules,JPIold,JPI,PERC,tput
42,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,100,365,363.8967895507813,43700.0,120.08899688720705,262.0,79.89908256880734,25,124,5.89288888888889,1325.9,364.1367709270177,43727.0,730.7182222222224,707.6711154344349,0.00013484871599288078,0.016721240783117215,90,363.8967859898521
106,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,100,203,199.92323303222656,23960.0,119.84600067138672,380.0,80.9723386420788,25,124,4.939555555555556,1111.4,199.61676247604765,23960.0,612.5048888888889,591.9859784274631,0.00020615841216842888,0.02556364310888518,50,199.92323369803077
277,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,100,40,39.95405197143555,4800.0,120.13800048828124,1445.0,80.65957446808511,25,124,4.091555555555556,920.6000000000001,39.942083978231565,4800.0,507.3528888888889,491.5513033311632,0.0008524074074074075,0.10569851851851852,10,39.95405267684817
117,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,75,352,349.3721008300781,41925.0,120.0009994506836,194.0,79.97610513739546,25,125,5.704867256637168,1289.3,349.16643072464734,41930.0,713.108407079646,684.5897725299395,0.00013607316056379648,0.01700914507047456,90,349.3720901652138
138,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,75,195,194.36041259765625,23325.0,120.00900268554688,310.0,81.92688172043012,25,123,4.841517857142857,1084.5,194.6312079782049,23361.0,595.5066964285713,581.0257295199802,0.00020756775378961872,0.0255308337161231,50,194.36041861890345
56,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,75,39,34.971439361572266,4200.0,120.0979995727539,1231.0,80.96969696969697,25,124,3.991964285714286,894.2,34.95135935822647,4200.0,495.00357142857143,479.42692508016313,0.00095046768707483,0.11785799319727891,10,34.97144011508444
31,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,50,351,349.5535583496094,41930.0,119.9530029296875,131.0,80.94794651384909,25,125,5.86784140969163,1332.0,349.1926014140926,41930.0,733.4801762114538,703.8651978076817,0.0001399437493367906,0.017492968667098825,90,349.55356661290074
141,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,50,195,194.8000030517578,23361.0,119.9229965209961,196.0,82.6090686800223,25,124,4.860888888888888,1093.6999999999998,194.6247219468304,23361.0,602.7502222222221,582.9323613111707,0.0002080770895462047,0.02580155910372938,50,194.80000231573567
8,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,50,39,34.9871711730957,4200.0,120.04399871826172,820.0,82.48192771084337,25,123,3.833183856502243,854.8000000000002,34.951068504094266,4200.0,471.4816143497759,460.1507179568168,0.0009126628229767245,0.11225752722613712,10,34.98717174406382
98,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,25,332,329.3118896484375,39525.0,120.02300262451172,68.0,82.2253164556962,25,125,5.576651982378855,1265.9,329.211321791701,39534.0,697.0814977973569,669.3265155170458,0.00014109176426005957,0.01763647053250745,90,329.31187468832746
60,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,25,184,179.8798828125,21564.0,119.87999725341795,101.0,84.83216491016296,25,123,4.572645739910314,1019.7,179.6565829924435,21564.0,562.4354260089686,548.1687587413018,0.00021204997866399155,0.026082147375670963,50,179.87988400112496
23,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,25,36,34.99533462524414,4200.0,120.01599884033205,402.0,83.8562874251497,25,124,3.9508849557522128,892.9000000000001,34.95077765480282,4200.0,489.9097345132744,474.1694042678429,0.0009406868942267173,0.11664517488411294,10,34.99533429361892
91,OzaBagExecutorMAXChunk,elecNormNew,4,100,2519,2333.750244140625,42934.0,18.39699935913086,42.0,78.8532474202736,25,24,5.184444444444445,233.3,2479.859894921191,45312.0,124.42666666666668,95.378221121894,0.00012075381852248672,0.0028980916445396814,90,2333.7501492432707
236,OzaBagExecutorMAXChunk,elecNormNew,4,100,1399,1392.1593017578125,45312.0,32.54800033569336,56.0,78.3641511103247,25,37,4.776470588235294,324.8,1385.9847673813968,45312.0,176.72941176470587,155.4645663093118,0.00010541292788301761,0.0039002783316716516,50,1392.1592581006937
69,OzaBagExecutorMAXChunk,elecNormNew,4,100,279,274.7683410644531,32945.0,119.9010009765625,199.0,77.55822804079769,25,126,3.820089285714286,855.7,274.42275014160526,32945.0,481.33125,458.03252917698455,0.0001159535372807493,0.014610145697374411,10,274.76834831795844
253,OzaBagExecutorMAXChunk,elecNormNew,4,75,2531,2418.594482421875,43496.0,17.983999252319336,31.0,78.51039819442205,25,23,5.125581395348838,220.4,2507.30411686587,45312.0,117.88837209302326,92.1784519816554,0.00011784029325337588,0.002710326744827645,90,2418.5944066023285
273,OzaBagExecutorMAXChunk,elecNormNew,4,75,1406,1401.63330078125,45312.0,32.327999114990234,41.0,78.56842849879523,25,38,4.442857142857143,311.0,1394.0866996892594,45312.0,168.82857142857142,143.62868178231375,9.805034301856337e-05,0.0037259130347054074,50,1401.633297465329
120,OzaBagExecutorMAXChunk,elecNormNew,4,75,281,279.7757873535156,33544.0,119.89600372314452,147.0,79.27634527473184,25,125,3.7823788546255512,858.6000000000001,279.38432835820896,33544.0,472.7973568281939,453.49210923652817,0.00011275873046224514,0.014094841307780643,10,279.77579701036126
14,OzaBagExecutorMAXChunk,elecNormNew,4,50,2318,2222.73291015625,43510.0,19.575000762939453,21.0,78.66774045098943,25,24,5.124444444444445,230.60000000000002,2303.3753558357057,45312.0,122.98666666666668,100.31100390964086,0.00011777624556296127,0.0028266298935110705,90,2222.732991274039
47,OzaBagExecutorMAXChunk,elecNormNew,4,50,1288,1281.3392333984375,45312.0,35.362998962402344,29.0,78.73050240820115,25,41,4.5473684210526315,345.59999999999997,1275.352528920037,45312.0,186.44210526315788,160.80858475534538,0.00010035682426404996,0.004114629794826048,50,1281.3392904876466
272,OzaBagExecutorMAXChunk,elecNormNew,4,50,257,254.84683227539065,30549.0,119.87200164794922,107.0,79.63539788189776,25,125,3.821238938053098,863.6000000000001,254.4753304955559,30549.0,477.65486725663726,458.0595602795087,0.00012508556542122813,0.015635695677653515,10,254.84683312220835
242,OzaBagExecutorMAXChunk,elecNormNew,4,25,2328,2265.4794921875,44272.0,19.54199981689453,11.0,79.49465500485908,25,24,5.162222222222223,232.3,2303.492450815922,45312.0,123.89333333333335,100.88014572143555,0.00011660241737943221,0.002798458017106373,90,2265.479501321343
164,OzaBagExecutorMAXChunk,elecNormNew,4,25,1293,1289.5074462890625,45312.0,35.138999938964844,14.0,79.66966237551615,25,41,4.606578947368422,350.1000000000001,1284.0625708456134,45312.0,188.86973684210528,161.87057735041572,0.00010166355374665479,0.004168205703612846,50,1289.5073871967127
189,OzaBagExecutorMAXChunk,elecNormNew,4,25,258,254.829833984375,30549.0,119.87999725341795,52.0,79.28515266675403,25,125,3.823348017621146,867.9000000000002,254.45837324559577,30549.0,477.91850220264325,458.34294985128395,0.00012515460465550905,0.01564432558193863,10,254.82983566826036
233,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,100,2096,2023.0738525390625,43927.0,21.71299934387207,48.0,79.10420517032878,25,28,5.1811320754717,274.6000000000001,2072.0687762941284,45312.0,145.0716981132076,112.49791735523155,0.00011794868931344503,0.0033025633007764607,90,2023.0737957626868
284,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,100,1164,1157.010498046875,45312.0,39.16299819946289,64.0,79.08741042201186,25,44,4.47875,358.29999999999995,1152.1855213975132,45312.0,197.065,175.4012781858444,9.88424699858757e-05,0.004349068679378531,50,1157.0104967249786
234,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,100,232,229.8944549560547,27554.0,119.8550033569336,245.0,80.69133823850805,25,126,3.8807860262008735,888.7,229.53059269440627,27554.0,488.9790393013101,465.1316221978467,0.00014084292756771696,0.01774620887353234,10,229.89444936180885
210,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,75,2108,2020.99365234375,43609.0,21.577999114990234,36.0,78.66265447696054,25,26,5.4375,261.0,2091.1943880376593,45312.0,141.375,117.3303701877594,0.00012468756449356784,0.0032418766768327638,90,2020.9936874872162
59,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,75,1171,1168.5277099609375,45312.0,38.777000427246094,50.0,79.15423215509428,25,45,4.642168674698795,385.3,1163.9053710410728,45312.0,208.8975903614458,180.00937668214362,0.00010244899087876931,0.004610204589544619,50,1168.5277226384478
278,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,75,234,229.8139190673828,27554.0,119.89700317382812,184.0,80.70526583936825,25,125,3.882378854625551,881.3000000000001,229.522944797541,27554.0,485.29735682819387,465.48558985504286,0.0001409007350883919,0.01761259188604899,10,229.8139175343013
132,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,50,1931,1806.4461669921875,42484.0,23.51799964904785,26.0,79.48343309610219,25,29,5.20188679245283,275.7,1914.564583597414,45312.0,150.85471698113207,122.3379717592923,0.00012244343264412083,0.0035508595466795046,90,1806.446153328351
230,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,50,1072,1067.873291015625,45312.0,42.43199920654297,35.0,79.56343069241306,25,47,4.607317073170733,377.80000000000007,1064.4865741067024,45312.0,216.54390243902444,195.4976743930724,0.00010167984359928347,0.0047789526491663235,50,1067.873323136114
268,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,50,214,209.8913726806641,25158.0,119.86199951171876,130.0,81.64330093993945,25,126,3.882532751091704,889.1000000000001,209.59061599213555,25158.0,489.1991266375547,465.3681387155859,0.00015432596991381286,0.01944507220914042,10,209.89137593637702
112,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,25,1652,1606.7171630859375,44204.0,27.511999130249023,15.0,80.85968446547001,25,32,5.1576271186440685,304.30000000000007,1638.4148105293607,45312.0,165.0440677966102,141.8966328022844,0.00011667783726911746,0.003733690792611759,90,1606.7171197093553
285,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,25,917,912.7387084960938,45312.0,49.64400100708008,21.0,80.3939320334754,25,56,4.595744680851064,432.00000000000006,909.9160608859793,45312.0,257.3617021276596,228.15115356445315,0.00010142445005409304,0.005679769203029211,50,912.7386810248782
259,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,25,183,179.9339141845703,21564.0,119.84400177001952,76.0,83.94540136496587,25,125,3.9411504424778765,890.7,179.66406718656268,21564.0,492.64380530973455,472.32324060423184,0.00018276527742894995,0.022845659678618742,10,179.93391143080558
188,OzaBagASHTExecutorMAXChunk,elecNormNew,4,100,2573,2417.632080078125,42780.0,17.69499969482422,41.0,78.3950328022493,25,23,5.167441860465116,222.2,2535.6463346390597,45312.0,118.85116279069767,91.43788214395212,0.0001207910673320504,0.002778194548637159,90,2417.6321411586764
151,OzaBagASHTExecutorMAXChunk,elecNormNew,4,100,1429,1426.7001953125,45312.0,31.76000022888184,53.0,78.22259577103424,25,38,4.458571428571429,312.1,1421.5975403149903,45312.0,169.4257142857143,141.60422959191462,9.839714487489912e-05,0.0037390915052461665,50,1426.7002416075009
257,OzaBagASHTExecutorMAXChunk,elecNormNew,4,100,285,284.7694091796875,34143.0,119.89700317382812,198.0,78.12178715154363,25,125,3.8132158590308376,865.6000000000001,284.3685972715007,34143.0,476.6519823788547,457.19315395271207,0.00011168367920308225,0.013960459900385283,10,284.7694195533734
1,OzaBagASHTExecutorMAXChunk,elecNormNew,4,75,2493,2220.780517578125,44158.0,19.88400077819824,33.0,79.29814214096137,25,26,5.089583333333334,244.3,2481.4895947426066,45312.0,132.32916666666668,101.20127896070478,0.00011525846581215937,0.0029967201111161437,90,2220.780440142455
87,OzaBagASHTExecutorMAXChunk,elecNormNew,4,75,1385,1384.587158203125,45312.0,32.72600173950195,41.0,79.23381302915755,25,38,4.492957746478872,318.99999999999994,1377.5994162714337,45312.0,170.73239436619713,147.03654302677634,9.915602371289884e-05,0.0037679289010901554,50,1384.5871047945984
142,OzaBagASHTExecutorMAXChunk,elecNormNew,4,75,277,274.761474609375,32945.0,119.90399932861328,144.0,78.32978399756617,25,126,3.838914027149322,848.4000000000001,274.41589271583854,32945.0,483.70316742081457,460.3011449339164,0.0001165249363226384,0.014682141976652439,10,274.7614773858354
66,OzaBagASHTExecutorMAXChunk,elecNormNew,4,50,2439,2295.923095703125,43758.0,19.05900001525879,21.0,79.36762148805711,25,25,5.042553191489361,236.99999999999997,2401.5263938944245,45312.0,126.06382978723403,96.10602135353899,0.0001152372867016171,0.0028809321675404274,90,2295.9231840582925
146,OzaBagASHTExecutorMAXChunk,elecNormNew,4,50,1355,1351.14501953125,45312.0,33.5359992980957,30.0,79.36679775529142,25,38,4.774647887323945,339.00000000000006,1344.0911248220218,45312.0,181.4366197183099,160.12258819794994,0.00010537270231558848,0.004004162687992362,50,1351.1450664472366
114,OzaBagASHTExecutorMAXChunk,elecNormNew,4,50,271,269.8265686035156,32346.0,119.8769989013672,99.0,78.99430270002476,25,126,3.8517543859649126,878.2,269.42426867461853,32346.0,485.321052631579,461.73675629465214,0.00011907977449962631,0.015004051586952916,10,269.8265747094132
43,OzaBagASHTExecutorMAXChunk,elecNormNew,4,25,2303,2188.123779296875,43187.0,19.73699951171875,11.0,80.06811547194292,25,26,4.977083333333334,238.9,2280.422747861097,45312.0,129.40416666666667,98.23269131978354,0.00011524494253672016,0.002996368505954724,90,2188.1238824755465
266,OzaBagASHTExecutorMAXChunk,elecNormNew,4,25,1279,1272.2728271484375,45312.0,35.6150016784668,14.0,80.59045642237287,25,40,4.477027027027028,331.30000000000007,1267.433078794999,45312.0,179.08108108108112,159.44932508210883,9.88044453351657e-05,0.003952177813406628,50,1272.2728587542397
100,OzaBagASHTExecutorMAXChunk,elecNormNew,4,25,255,254.82131958007807,30549.0,119.88400268554688,53.0,80.7037085572009,25,126,3.8078602620087345,872.0000000000002,254.45837324559577,30549.0,479.7903930131005,456.50152987684237,0.00012464762388322807,0.015705600609286736,10,254.82132157473387
21,LBagExecutorMAXChunk,elecNormNew,4,100,1087,1005.8768310546876,42105.0,41.85900115966797,95.0,79.77145577907392,25,47,5.736046511627907,493.3,1079.7054828794053,45312.0,269.59418604651165,240.10517758214198,0.00013623195610088843,0.006402901936741756,90,1005.8768444902373
