,algorithm,dataset,cores,batch_size,inc_rate,out_rate,instances,time,delay,acc,ensemble_size,duration,avg_measure,sum_measure,prod_rate,tt_inst_prod,avg_times_duration,joules,JPIold,JPI,PERC,tput
52,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,15,325,324.5015869140625,38935.0,119.98400115966795,41.0,83.50462487153135,25,125,5.192951541850219,1178.7999999999997,324.2529731170259,38935.0,649.1189427312773,623.0711038194562,0.00013337489512906688,0.016671861891133358,90,324.50159707699277
37,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,15,180,179.84237670898438,21564.0,119.90499877929688,60.0,86.05967794329203,25,124,4.313777777777778,970.6,179.65508622844288,21564.0,534.9084444444445,517.2435191786025,0.0002000453430614811,0.024805622539623654,50,179.8423770446116
3,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,15,36,34.9970817565918,4200.0,120.01000213623048,246.0,86.6905615292712,25,124,3.4031111111111114,765.7,34.950486810352004,4200.0,421.9857777777778,408.4073717142742,0.0008102645502645504,0.10047280423280423,10,34.997082953405254
5,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,5,305,302.763916015625,36335.0,120.01100158691406,15.0,87.04376548307184,25,124,5.168584070796459,1168.1,304.31161562742045,36539.0,640.9044247787609,620.2869511224526,0.00014224808231172312,0.017638762206653665,90,302.76390930447786
78,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,5,169,164.76344299316406,19767.0,119.97200012207033,21.0,88.88776439631616,25,124,4.320089285714285,967.6999999999999,164.68520107640654,19767.0,535.6910714285714,518.289752313069,0.00021855057852553678,0.02710027173716656,50,164.76344463614237
56,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,5,33,29.9997501373291,3600.0,120.0009994506836,83.0,89.51321279554938,25,124,3.4703539823008853,784.3000000000001,29.959305276998744,3600.0,430.3238938053098,416.4459463237662,0.0009639872173058015,0.11953441494591939,10,29.99975013941013
134,OzaBagExecutorMAXChunk,elecNormNew,4,15,2101,1944.4791259765625,43568.0,22.4060001373291,7.0,80.42155534635961,25,28,4.581132075471698,242.8,2091.0013844023993,45312.0,128.27169811320755,102.64484591214163,0.00010514901017883994,0.002944172285007518,90,1944.4791454506126
81,OzaBagExecutorMAXChunk,elecNormNew,4,15,1167,1162.2037353515625,45312.0,38.98799896240234,10.0,80.28787778440073,25,45,4.085542168674699,339.1,1157.1581796823127,45312.0,183.84939759036146,159.28711383314018,9.016468416037031e-05,0.004057410787216663,50,1162.203785931567
48,OzaBagExecutorMAXChunk,elecNormNew,4,15,233,229.7928466796875,27554.0,119.90799713134766,36.0,82.98776280910708,25,125,3.2995575221238944,745.7000000000002,229.51912104022458,27554.0,412.4446902654868,395.64333389754853,0.00011974876686230291,0.014968595857787865,10,229.79284667574964
102,OzaBagExecutorMAXChunk,elecNormNew,4,5,1864,1784.126220703125,44778.0,25.097999572753903,2.0,81.38163625399237,25,31,4.544827586206896,263.59999999999997,1852.266688468299,45312.0,140.88965517241377,114.06608081686083,0.00010149688655605199,0.0031464034832376117,90,1784.1262555686103
