dataset,algorithm,ensemble_size,cores,batch_size,inc_rate,instances,time,delay,out_rate,acc
airlines,OzaBagExecutorMAXChunk,25,4,50,170,26300.0,619.72998046875,857.0,42.437835693359375,63.847619047619055
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,25,251,21794.0,598.3599853515625,375.0,36.422889709472656,69.31416234094354
elecNormNew,OzaBagExecutorMAXChunk,25,4,25,1664,45312.0,106.16600036621094,34.0,426.8033142089844,79.68291121072272
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,500,207,35296.0,599.3309936523438,4939.0,58.892333984375,71.2926773192321
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,100,251,43546.0,599.3140258789062,809.0,72.65973663330078,75.50522487685863
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,500,169,34500.0,600.5239868164062,5259.0,57.4498291015625,78.37352941176471
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,500,1496,45312.0,144.10499572753906,937.0,314.4374084472656,77.46808890475766
elecNormNew,LBagExecutorMAXChunk,25,4,100,524,45312.0,377.3940124511719,479.0,120.06549835205078,79.9898257099885
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,50,1709,150000.0,351.2489929199219,67.0,427.0474853515625,93.32577525841947
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,50,295,40775.0,599.635009765625,403.0,67.99970245361328,93.4561080417434
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,500,283,53854.0,599.3690185546875,3414.0,89.85115814208984,80.59189564043933
GMSC,OzaBagASHTExecutorMAXChunk,25,4,500,2263,150000.0,309.4909973144531,585.0,484.6667785644531,93.34247491638796
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,25,1496,45312.0,90.2750015258789,32.0,501.9329833984375,80.28573321262172
elecNormNew,OzaBagExecutorMAXChunk,25,4,100,1664,45312.0,163.18099975585938,200.0,277.67938232421875,78.47695302132178
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,2000,251,32429.0,599.322998046875,21854.0,54.1093864440918,62.70005586775773
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,2000,1208,45312.0,138.11199951171875,3613.0,328.08154296875,76.33912079793129
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,540,72586.0,599.3389892578125,9434.0,121.11009216308594,93.4278752160485
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,2000,169,24742.0,599.281982421875,29156.0,41.28607177734375,77.31949696596605
GMSC,OzaBagExecutorMAXChunk,25,4,100,2260,150000.0,225.2100067138672,86.0,666.0449829101562,93.42961974649766
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,207,21107.0,599.2739868164062,31390.0,35.220951080322266,47.49568221070812
elecNormNew,LBagExecutorMAXChunk,25,4,2000,524,45312.0,461.2820129394531,11217.0,98.23058319091797,75.48716291097155
GMSC,OzaBagExecutorMAXChunk,25,4,2000,2260,150000.0,225.58700561523438,1782.0,664.9319458007812,93.52972972972972
