,algorithm,dataset,cores,batch_size,inc_rate,out_rate,instances,time,delay,acc,ensemble_size,duration,avg_measure,sum_measure,prod_rate,tt_inst_prod,avg_times_duration,joules,JPIold,JPI,PERC,tput
15,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,2000,169,49.40638732910156,29609.0,599.2949829101562,24803.0,77.0364736136767,25,608,3.0617700729927004,3355.7,49.32506834276499,29609.0,1861.556204379562,1834.9034435689882,0.0001034067369040731,0.06287129603767645,90,49.40638724559263
4,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,500,169,50.7962532043457,30500.0,600.43798828125,5794.0,79.10000000000001,25,604,,0.0,38.54195300330693,23135.0,,,,,50,50.79625306071333
5,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,500,169,50.7962532043457,30500.0,600.43798828125,5794.0,79.10000000000001,25,604,,0.0,50.92586422879075,30571.0,,,,,10,50.79625306071333
52,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,50,169,29.36322784423828,17597.0,599.2869873046875,927.0,82.73778993560153,25,605,2.9788267644362967,3249.8999999999996,29.31509268313812,17597.0,1802.1901924839594,1785.1721173615983,0.00016928037531603664,0.10241462706620216,90,29.363227256348537
73,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,25,169,55.90133666992188,33510.0,599.448974609375,256.0,83.10288188741227,25,605,3.344821264894592,3649.2,55.82097309399112,33510.0,2023.6168652612282,2005.049677492696,9.981561518635011e-05,0.06038844718774181,50,55.90133842807298
27,OzaBagExecutorMAXChunk,elecNormNew,4,2000,1664,716.9652709960938,45219.0,63.06999969482422,1813.0,76.0406302783498,25,70,3.3101562500000004,423.70000000000005,707.568825247115,45312.0,231.71093750000003,208.7715536773205,7.32027742762998e-05,0.005124194199340986,10,716.9652801458766
45,OzaBagExecutorMAXChunk,elecNormNew,4,500,1664,422.4422302246094,45312.0,107.26200103759766,656.0,77.60644470231188,25,114,3.0182692307692305,627.8,419.28379753863237,45312.0,344.0826923076923,323.74559736251825,6.661081459148196e-05,0.007593632863428944,90,422.4422401379326
79,OzaBagExecutorMAXChunk,elecNormNew,4,50,1664,399.6291198730469,45254.0,113.23999786376952,73.0,79.10583134235908,25,120,2.9949308755760367,649.9,397.2158423479496,45312.0,359.3917050691244,339.14596595236776,6.618046748521759e-05,0.00794165609822611,50,399.62911386170873
2,OzaBagExecutorMAXChunk,elecNormNew,4,25,1664,272.2733154296875,45312.0,166.42100524902344,50.0,79.2766135977212,25,173,3.201910828025478,1005.4000000000001,271.171834323776,45312.0,553.9305732484078,532.8652187177331,7.066363938968658e-05,0.012224809614415778,10,272.27332230205894
13,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,2000,1208,183.3165435791016,45312.0,247.1790008544922,5882.0,76.21444403398596,25,254,3.022657952069717,1387.4,182.59334778649088,45312.0,767.7551198257081,747.1375725174781,6.670767019927871e-05,0.01694374823061679,90,183.31654324743383
77,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,500,1208,286.5762023925781,45312.0,158.11500549316406,1065.0,78.24466660715879,25,1577,3.1389591615468015,8685.5,577.1032158184561,29449.0,4950.138597759306,496.3165450707902,6.927434590278076e-05,0.10924564348868526,50,286.57621620839154
