,algorithm,dataset,cores,batch_size,inc_rate,out_rate,instances,time,delay,acc,ensemble_size,duration,avg_measure,sum_measure,prod_rate,tt_inst_prod,avg_times_duration,joules,JPIold,JPI,PERC,tput
14,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,2000,169,51.144752502441406,30651.0,599.2990112304688,22024.0,76.84199504380301,25,606,3.117657822506862,3407.6000000000004,51.06057602446829,30651.0,1889.3006404391583,1868.4092503832987,0.00010171471803552452,0.06163911912952785,90,51.14475316264577
4,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,500,169,30.02754783630371,17995.0,599.2830200195312,9355.0,80.4115461560446,25,606,3.043000914913083,3326.0,29.978276369888114,17995.0,1844.0585544373284,1823.618778211309,0.00016910257932276095,0.10247616306959313,50,30.02754858533039
49,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,50,169,41.71205139160156,25006.0,599.4910278320312,650.0,81.99631351178074,25,604,3.3826446280991735,3683.7,41.654867286120265,25006.0,2043.1173553719009,2027.8651048896727,0.00013527331952728038,0.08170508499447736,10,41.71205045458382
70,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,25,169,40.21952819824219,24103.0,599.2860107421875,333.0,83.9064706370961,25,604,3.377961432506887,3678.6000000000004,40.15326308775145,24103.0,2040.2887052341598,2024.3650313280175,0.0001401469291169932,0.08464874518666389,90,40.219527183939384
25,OzaBagExecutorMAXChunk,elecNormNew,4,2000,1664,318.86505126953125,45312.0,142.10400390625,3640.0,76.4130033247137,25,148,3.138432835820895,841.0999999999999,316.66119237139486,45312.0,464.4880597014925,445.9838719609957,6.926273031031284e-05,0.010250884085926299,50,318.8650478131045
42,OzaBagExecutorMAXChunk,elecNormNew,4,500,1664,218.75482177734372,45312.0,207.1360015869141,1253.0,77.66892796572347,25,213,3.192207792207792,1229.0,217.71740749460656,45312.0,679.9402597402598,661.2211583125128,7.044950106390784e-05,0.015005743726612371,10,218.7548260700935
75,OzaBagExecutorMAXChunk,elecNormNew,4,50,1664,645.534423828125,45312.0,70.19300079345703,46.0,78.71282753744863,25,77,3.4397163120567376,485.0,637.7660173403896,45312.0,264.8581560283688,241.44400982146567,7.591181832752334e-05,0.005845210011219297,90,645.5344477055569
2,OzaBagExecutorMAXChunk,elecNormNew,4,25,1664,512.5907592773438,45312.0,88.39800262451172,29.0,79.67849493232053,25,95,3.493641618497109,604.3999999999999,508.81487636714803,45312.0,331.89595375722536,308.8309409610108,7.710190718787757e-05,0.0073246811828483705,50,512.5907673782158
12,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,2000,1208,213.5806884765625,45312.0,212.1540069580078,5311.0,76.14517916512746,25,219,2.966919191919192,1174.9,212.60562950728908,45312.0,649.755303030303,629.4437948862711,6.547755984991154e-05,0.014339585607130629,10,213.5806938068755
74,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,500,1208,339.9632263183594,45312.0,133.28500366210938,781.0,78.64634472909043,25,140,3.0307086614173233,769.8000000000001,337.93489204609017,45312.0,424.29921259842524,403.9480150357945,6.688534298678767e-05,0.009363948018150275,90,339.96322733253913
54,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,50,1208,167.02052307128906,45312.0,271.2959899902344,159.0,79.65401440501967,25,277,2.905,1452.5,166.48295930514527,45312.0,804.685,788.1148509216308,6.411105225988701e-05,0.017758761475988698,50,167.02052987082877
36,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,25,1208,119.10169219970705,45312.0,380.447998046875,107.0,80.75385872325391,25,387,2.9772532188841208,2081.1000000000004,118.86205946775442,45312.0,1152.1969957081546,1132.6900268030784,6.570562365122088e-05,0.02542807635302248,10,119.10169124984358
44,OzaBagASHTExecutorMAXChunk,elecNormNew,4,2000,1496,514.3479614257812,45312.0,88.09600067138672,2505.0,76.20289988917621,25,95,3.1173410404624273,539.3,508.81487636714803,45312.0,296.1473988439306,274.62527839351935,6.879725106952744e-05,0.006535738851605107,90,514.3479800975481
5,OzaBagASHTExecutorMAXChunk,elecNormNew,4,500,1496,264.7997436523437,45312.0,171.1179962158203,1051.0,77.8653039364456,25,178,3.0559006211180124,984.0,263.28113651549927,45312.0,543.9503105590062,522.919590920395,6.744130961153806e-05,0.012004553110853773,50,264.7997346979849
65,OzaBagASHTExecutorMAXChunk,elecNormNew,4,50,1496,148.86849975585938,45312.0,304.3760070800781,176.0,79.22539878927135,25,310,2.8875,1617.0,148.4763090635035,45312.0,895.125,878.8857204437256,6.372484110169491e-05,0.019754700741525424,10,148.8685012813079
10,OzaBagASHTExecutorMAXChunk,elecNormNew,4,25,1496,313.5496520996094,45312.0,144.51300048828125,46.0,79.89710071322897,25,150,3.043911439114391,824.9,312.300556202659,45312.0,456.58671586715866,439.8847752870229,6.717671784768695e-05,0.010076507677153042,90,313.5496449931812
16,LBagExecutorMAXChunk,elecNormNew,4,2000,524,57.92293930053711,34712.0,599.2789916992188,18199.0,75.13450721447786,25,606,2.9531135531135533,3224.8,57.82731104336382,34712.0,1789.5868131868133,1769.7389124831875,8.507471632615675e-05,0.05155527809365099,50,57.92293819874489
19,LBagExecutorMAXChunk,elecNormNew,4,500,524,138.4828338623047,45312.0,327.2030029296875,2014.0,77.51495135231634,25,333,2.969384359400998,1784.6,138.06552262090483,45312.0,988.8049916805323,971.591479248453,6.553196414638502e-05,0.021822144060746212,10,138.4828366313529
89,LBagExecutorMAXChunk,elecNormNew,4,50,524,156.659912109375,45312.0,289.2380065917969,182.0,81.29114930847068,25,296,3.287102803738318,1758.6000000000001,156.14543524781956,45312.0,972.9824299065422,950.7550624155776,7.254375891018535e-05,0.02147295263741486,90,156.65990971908843
62,LBagExecutorMAXChunk,elecNormNew,4,25,524,99.29939270019533,45312.0,456.3169860839844,137.0,83.6796431647051,25,463,3.2233532934131737,2691.5,99.09482372134829,45312.0,1492.4125748502995,1470.8708599341844,7.11368576406509e-05,0.03293636508762137,50,99.29939358352179
86,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,2000,316,46.20988464355469,27694.0,599.3090209960938,23376.0,76.94792558573987,25,605,2.9934005499541705,3265.8,46.13413782935999,27694.0,1811.007332722273,1793.9719530422026,0.00010808841445635049,0.06539349074609205,10,46.209883432040826
39,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,500,316,45.80701446533203,27451.0,599.2750244140625,5929.0,79.47385996809024,25,605,2.935747021081577,3202.9000000000005,45.73169715890728,27451.0,1776.1269477543542,1759.3198677321734,0.00010694499366440483,0.06470172116696493,90,45.807014945834005
82,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,50,316,62.43931198120117,37425.0,599.3820190429688,428.0,79.59331103678929,25,604,2.9704963235294115,3231.8999999999996,62.34465893265277,37425.0,1794.1797794117645,1780.4620839567744,7.937197925262289e-05,0.04794067546858422,50,62.43931050810695
43,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,25,316,89.29862976074219,45312.0,507.4209899902344,153.0,81.78285159096428,25,512,2.9059588299024917,2682.2,89.1505202020997,45312.0,1487.8509209100757,1474.5445063399854,6.413221287743846e-05,0.03283569299324849,10,89.29863149900847
28,StreamingRandomPatchesExecutorMAXChunk,covtypeNorm,4,2000,68,16.288341522216797,9761.0,599.2630004882812,64532.0,47.06867671691792,25,613,3.040398550724638,3356.6000000000004,16.26155768429821,9761.0,1863.764311594203,1821.9983581874683,0.0003114843305731624,0.19093989464134853,90,16.28834083206657
38,StreamingRandomPatchesExecutorMAXChunk,covtypeNorm,4,500,68,11.626005172729492,6967.0,599.260009765625,25342.0,59.100046389361374,25,606,2.975,3248.7000000000003,11.60692717140501,6967.0,1802.8500000000001,1782.7985290527345,0.00042701306157600115,0.2587699153150567,50,11.626005217209213
67,StreamingRandomPatchesExecutorMAXChunk,covtypeNorm,4,50,68,15.031521797180176,9008.0,599.2739868164062,1818.0,76.75820495646349,25,604,2.8777777777777778,3133.9,15.006755372228506,9008.0,1738.1777777777777,1724.5773620605469,0.00031946911387408726,0.19295934477994867,10,15.031521804999844
68,StreamingRandomPatchesExecutorMAXChunk,covtypeNorm,4,25,68,19.261327743530277,11552.0,599.7509765625,741.0,78.95376073566409,25,604,3.3970588235294117,3696.0,19.24457705077523,11552.0,2051.823529411765,2037.389346852022,0.0002940667264135571,0.1776163027537885,90,19.26132753665665
56,OzaBagExecutorMAXChunk,covtypeNorm,4,2000,288,42.097782135009766,25230.0,599.3189697265625,28210.0,59.54799827808868,25,608,2.959489051094891,3243.6000000000004,42.02898550724638,25230.0,1799.3693430656938,1773.6779290192321,0.0001173003983787115,0.07131864221425659,50,42.09778310790181
