dataset,algorithm,ensemble_size,cores,instances,time,delay,out_rate,acc
airlines,OzaBagASHTExecutorMAXChunk,10,4,230001.0,120.0790023803711,260.0,1915.4139404296875,65.77347826086957
covtypeNorm,OzaBagAdwinExecutorMAXChunk,10,4,253001.0,120.02100372314453,116.0,2107.97265625,84.59209486166009
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,321501.0,120.0009994506836,165.0,2679.152587890625,76.93157076205289
GMSC,LBagExecutorMAXChunk,10,4,90257.0,119.36900329589844,221.0,756.1175537109375,93.45787139689578
GMSC,LBagExecutorMAXChunk,25,4,105065.0,119.26799774169922,195.0,880.915283203125,93.38013371537727
covtypeNorm,OzaBagASHTExecutorMAXChunk,10,4,306001.0,120.02200317382812,156.0,2549.540771484375,81.02581699346405
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,142501.0,120.2509994506836,208.0,1185.0296630859375,84.08
airlines,OzaBagASHTExecutorMAXChunk,25,4,209001.0,120.11599731445312,251.0,1739.9930419921875,66.06459330143541
airlines,StreamingRandomPatchesExecutorMAXChunk,10,4,22501.0,120.70700073242188,1331.0,186.41006469726562,69.42222222222222
airlines,OzaBagAdwinExecutorMAXChunk,25,4,42407.0,120.06300354003906,638.0,353.20623779296875,68.98095238095237
elecNormNew,LBagExecutorMAXChunk,25,4,28001.0,119.08399963378906,1244.0,235.13653564453125,89.25357142857143
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,27464.0,119.08699798583984,736.0,230.62130737304688,79.68440366972477
airlines,LBagExecutorMAXChunk,10,4,20401.0,120.0510025024414,293.0,169.9361114501953,65.17156862745098
elecNormNew,OzaBagASHTExecutorMAXChunk,10,4,29076.0,119.15899658203125,826.0,244.01011657714844,80.88620689655173
airlines,LBagExecutorMAXChunk,25,4
elecNormNew,LBagExecutorMAXChunk,10,4,27501.0,119.08499908447266,1133.0,230.93588256835938,90.20727272727272
airlines,StreamingRandomPatchesExecutorMAXChunk,25,4,8501.0,123.63500213623047,7193.0,68.75884246826172,65.31764705882352
airlines,OzaBagAdwinExecutorMAXChunk,10,4,85666.0,120.00299835205078,200.0,713.865478515625,67.85755983654408
