,algorithm,dataset,cores_x,instances,time,delay,acc,ensemble_size,inc_rate_x,cores_y,duration,avg_measure,sum_measure,inc_rate_y,prod_rate,tt_inst_prod,avg_times_duration,joules,IPS,JPI,tput
13,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,27751.0,120.00900268554688,1562.0,90.590990990991,25,100,4,131,4.370588235294119,1040.2000000000003,,,,572.5470588235296,524.5099352668315,231.24098508438112,0.020631582963624,231.24098508438112
22,OzaBagExecutorMAXChunk,elecNormNew,4,25501.0,119.08000183105467,1285.0,79.05098039215687,25,100,4,133,2.8207468879668047,679.8,,,,375.159336099585,335.8945445840289,214.15014786596717,0.014711553903752205,214.15014786596717
15,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,28751.0,119.23999786376952,640.0,86.35478260869566,25,100,4,132,3.0573221757322178,730.7,,,,403.56652719665277,364.5550897031648,241.11875641634717,0.014036608368288156,241.11875641634717
6,OzaBagASHTExecutorMAXChunk,elecNormNew,4,26001.0,119.10800170898438,580.0,72.42692307692307,25,100,4,133,2.9066390041493775,700.5,,,,386.5829875518672,346.2039634736247,218.29767628482287,0.014868004597971893,218.29767628482287
5,LBagExecutorMAXChunk,elecNormNew,4,26001.0,119.30699920654295,1395.0,89.28846153846153,25,100,4,133,3.3585062240663905,809.4000000000001,,,,446.68132780082993,400.6932994098584,217.93356779502398,0.01717939032348102,217.93356779502398
12,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,28501.0,119.53800201416016,1421.0,89.15789473684211,25,100,4,132,3.5595833333333333,854.3,,,,469.865,425.50547966957095,238.42627047274763,0.01648591277499035,238.42627047274763
14,StreamingRandomPatchesExecutorMAXChunk,covtypeNorm,4,39001.0,121.43800354003906,1522.0,93.92820512820514,25,100,4,133,5.715702479338844,1383.2,,,,760.1884297520662,694.1034979197606,321.1597594087675,0.01949151123694434,321.1597594087675
23,OzaBagExecutorMAXChunk,covtypeNorm,4,325501.0,120.01300048828124,158.0,74.33118279569892,25,100,4,132,4.3670833333333325,1048.1,,,,576.4549999999999,524.1067742156981,2712.2144990599063,0.001770977662126998,2712.2144990599063
2,OzaBagAdwinExecutorMAXChunk,covtypeNorm,4,139285.0,120.11100006103516,278.0,84.99533213644524,25,100,4,133,5.00331950207469,1205.8000000000002,,,,665.4414937759337,600.9537090190714,1159.6356697489944,0.004777553173535799,1159.6356697489944
0,OzaBagASHTExecutorMAXChunk,covtypeNorm,4,330102.0,120.0009994506836,154.0,78.38000000000001,25,100,4,131,4.560337552742616,1080.8,,,,597.4042194092826,547.2450641615984,2750.827089033212,0.00180975643712938,2750.827089033212
17,LBagExecutorMAXChunk,covtypeNorm,4,93501.0,120.18900299072266,630.0,91.09732620320855,25,100,4,133,5.254771784232365,1266.4,,,,698.8846473029046,631.5657816906688,777.9497098184374,0.007474622167708416,777.9497098184374
19,AdaptiveRandomForestExecutorMAXChunk,covtypeNorm,4,131001.0,120.76399993896484,1708.0,90.09847328244275,25,100,4,132,5.441841004184101,1300.6000000000001,,,,718.3230125523014,657.1784866971452,1084.7686402090774,0.005483339917651785,1084.7686402090774
8,StreamingRandomPatchesExecutorMAXChunk,airlines,4,8501.0,125.47200012207033,7293.0,65.05882352941177,25,100,4,137,5.279518072289156,1314.6,,,,723.2939759036144,662.4316922107375,67.75216774841775,0.08508339911817603,67.75216774841775
21,OzaBagExecutorMAXChunk,airlines,4,261513.0,120.0270004272461,123.0,63.67456978967495,25,100,4,132,5.1543933054393305,1231.9,,,,680.3799163179916,618.6663674741609,2178.7847656704134,0.002601705904937772,2178.7847656704134
4,OzaBagAdwinExecutorMAXChunk,airlines,4,51426.0,120.01000213623048,58.0,69.30870199319396,25,100,4,133,5.007468879668051,1206.8000000000002,,,,665.9933609958507,600.9463509460704,428.51428284805206,0.01295051843417436,428.51428284805206
3,OzaBagASHTExecutorMAXChunk,airlines,4,192751.0,120.25599670410156,271.0,65.30376134889754,25,100,4,134,5.193004115226338,1261.9,,,,695.8625514403293,624.4898857650444,1602.8389875165856,0.0036101631194667178,1602.8389875165856
7,LBagExecutorMAXChunk,airlines,4,,,,,25,100,4,1540,3.879120086548864,10756.8,,,,5973.844933285251,,,,
11,AdaptiveRandomForestExecutorMAXChunk,airlines,4,12751.0,122.3550033569336,2372.0,65.89019607843137,25,100,4,134,5.439094650205761,1321.7,,,,728.838683127572,665.5004441846055,104.21314740029737,0.05715933519940178,104.21314740029737
9,StreamingRandomPatchesExecutorMAXChunk,GMSC,4,90001.0,120.37899780273438,595.0,93.51222222222222,25,100,4,132,4.798749999999999,1151.6999999999998,,,,633.435,577.6687157058715,747.647028491507,0.007038088465683714,747.647028491507
10,OzaBagExecutorMAXChunk,GMSC,4,85935.0,119.08699798583984,691.0,93.31952662721892,25,100,4,133,2.965560165975104,714.7,,,,394.4195020746888,353.15965751236405,721.6153018671122,0.0045897422711897225,721.6153018671122
18,OzaBagAdwinExecutorMAXChunk,GMSC,4,88751.0,119.36699676513672,205.0,93.41070422535212,25,100,4,132,3.39205020920502,810.6999999999998,,,,447.7506276150627,404.898846349357,743.5137215911034,0.005045020648951141,743.5137215911034
16,OzaBagASHTExecutorMAXChunk,GMSC,4,91501.0,119.23600006103516,344.0,93.36502732240436,25,100,4,133,2.976348547717842,717.3,,,,395.85435684647297,354.8878956173465,767.3940752219295,0.004326229842804701,767.3940752219295
1,LBagExecutorMAXChunk,GMSC,4,89105.0,119.43199920654295,289.0,93.461797752809,25,100,4,133,4.387136929460581,1057.3000000000002,,,,583.4892116182573,523.9645342783315,746.0730841983467,0.006548332996108606,746.0730841983467
20,AdaptiveRandomForestExecutorMAXChunk,GMSC,4,85501.0,119.34300231933594,912.0,93.52865497076024,25,100,4,131,4.305042016806723,1024.6000000000001,,,,563.9605042016808,513.7766393966034,716.4307779958301,0.0065959521432694445,716.4307779958301
