dataset,algorithm,ensemble_size,cores,batch_size,inc_rate,methodology,instances,time,delay,out_rate,acc
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,500,27,3,3000.0,123.59600067138672,13996.0,24.27263069152832,71.36
elecNormNew,OzaBagASHT,25,1,1,158,1,18569.0,119.84400177001953,101.0,154.94308471679688,87.06984759545479
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,500,165,3,19500.0,119.81999969482422,1868.0,162.74411010742188,93.58947368421052
GMSC,OzaBagExecutorMAXChunk,25,4,500,845,3,101000.0,119.9990005493164,348.0,841.6737060546875,93.34129353233831
GMSC,LeveragingBag,25,1,1,71,1,8388.0,120.0009994506836,89.0,69.8994140625,93.44301382927992
GMSC,LBagExecutorMAXChunk,25,4,500,754,2,89850.0,119.96199798583984,525.0,748.9871826171875,93.4370453273643
airlines,OzaBagExecutorMAXChunk,25,4,500,506,2,26500.0,123.12200164794922,2314.0,215.23367309570312,63.54230769230769
GMSC,OzaBagASHTExecutorMAXChunk,25,4,500,186,2,22163.0,119.81199645996094,1512.0,184.98147583007812,93.62969117850713
covtypeNorm,StreamingRandomPatches,25,1,1,59,1,6585.0,120.00900268554688,3474.0,54.87088394165039,82.64236902050114
covtypeNorm,StreamingRandomPatches,25,1,1,32,1,3596.0,120.07499694824219,1086.0,29.94795036315918,81.39599555061179
GMSC,LBagExecutorMAXChunk,25,4,500,1947,3,145500.0,77.45999908447266,255.0,1878.388916015625,93.4903448275862
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,500,122,2,14376.0,119.82099914550781,2279.0,119.97896575927734,81.73825309887576
covtypeNorm,LeveragingBag,25,1,1,136,1,12867.0,120.01000213623047,9748.0,107.216064453125,74.74935882490091
covtypeNorm,LBagExecutorMAXChunk,25,4,500,389,3,46000.0,120.0989990234375,1110.0,383.017333984375,86.82857142857144
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,500,229,2,26955.0,119.86699676513672,1628.0,224.87423706054688,79.42165942165941
