dataset,algorithm,ensemble_size,cores,batch_size,inc_rate,methodology,instances,time,delay,out_rate,acc
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,50,2354,2,43649.0,20.808000564575195,23.0,2097.70263671875,79.6279731186495
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,50,440,3,45100.0,115.29000091552734,127.0,391.18743896484375,89.56048834628191
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,50,48,3,5400.0,120.15299987792969,680.0,44.94269943237305,91.1588785046729
elecNormNew,LBagExecutorMAXChunk,25,4,50,120,2,14376.0,119.83000183105469,252.0,119.96995544433594,82.80050258271675
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,50,77,2,8986.0,120.00399780273438,523.0,74.8808364868164,77.1038495971352
airlines,OzaBagAdwinExecutorMAXChunk,25,4,50,221,2,26356.0,119.98100280761719,188.0,219.66810607910156,67.32304417243215
GMSC,OzaBagASHTExecutorMAXChunk,25,4,50,1843,2,150000.0,81.7020034790039,20.0,1835.9403076171875,93.3884628209403
GMSC,OzaBagAdwin,25,1,1,1538,1,145472.0,102.23300170898438,4105.0,1422.945556640625,93.45097338319401
GMSC,LeveragingBag,25,1,1,71,1,8387.0,120.0009994506836,88.0,69.89108276367188,93.44223202575415
covtypeNorm,OzaBagExecutorMAXChunk,25,4,50,267,3,31700.0,119.89299774169922,110.0,264.4024353027344,68.23064770932069
covtypeNorm,OzaBagASHT,25,1,1,219,1,23830.0,120.0009994506836,4342.0,198.58168029785156,71.6911456147713
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,50,22,3,2400.0,120.43299865722656,1642.0,19.92809295654297,73.1063829787234
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,50,31,2,3600.0,120.14099884033203,970.0,29.964792251586914,66.22535211267606
elecNormNew,OzaBagASHT,25,1,1,723,1,42729.0,63.0369987487793,553.0,677.8400268554688,81.35926419995786
