,algorithm,dataset,cores,batch_size,inc_rate,out_rate,instances,time,delay,acc,methodology_x,ensemble_size,duration,avg_measure,sum_measure,prod_rate,tt_inst_prod,methodology_y,avg_times_duration,joules,JPIold,JPI,PERC,tput
1,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,50,440,412.7693176269531,45100.0,109.26200103759766,121.0,89.63817980022198,3,25,114,5.294685990338165,1096.0,438.8061435959017,45312.0,3,603.5942028985507,578.5079861700823,0.0001173988024465225,0.013383463478903564,90,412.7693028839994
182,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,50,355,349.55419921875,41950.0,120.01000213623048,140.0,80.92601431980907,2,25,124,5.0551111111111116,1137.4,354.172218520986,42529.0,2,626.8337777777779,606.6638952433269,0.0001205032446033638,0.014942402330817112,50,349.55419759413104
55,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,50,244,239.64523315429688,28750.0,119.96900177001952,170.0,90.16724738675958,3,25,124,4.656,1047.6,239.50020824656394,28752.0,3,577.3439999999999,558.5756722412108,0.0001619478260869565,0.020081530434782606,10,239.64523815171628
170,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,50,197,193.29627990722656,23200.0,120.02300262451172,205.0,82.2548596112311,2,25,124,4.229333333333333,951.5999999999999,194.6360727854429,23361.0,2,524.4373333333333,507.6172857666015,0.00018229885057471261,0.022605057471264366,90,193.2962806519721
2,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,50,48,44.949806213378906,5400.0,120.13400268554688,675.0,91.5140186915888,3,25,124,3.5093333333333336,789.6,44.93372275893058,5400.0,3,435.1573333333334,421.59026009114586,0.0006498765432098766,0.08058469135802471,50,44.94980504507626
24,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,50,39,34.97114944458008,4200.0,120.0989990234375,862.0,82.16867469879519,2,25,124,3.4186666666666667,769.2,34.95077765480282,4200.0,2,423.9146666666667,410.5784446614583,0.000813968253968254,0.10093206349206349,10,34.971149086599496
150,StreamingRandomPatches,elecNormNew,1,1,147,137.8514404296875,16543.0,120.00599670410156,5315.0,91.38003989602852,1,25,125,3.9341013824884787,853.6999999999999,144.73903479536062,17371.0,1,491.7626728110598,472.11575754051375,0.0002378106378823961,0.02972632973529951,90,137.85144454730897
38,StreamingRandomPatches,elecNormNew,1,1,82,79.87133026123047,9584.0,119.99299621582033,1243.0,91.35016694490818,1,25,125,3.6616740088105724,831.1999999999999,79.86467004991542,9584.0,1,457.70925110132157,439.37523548277466,0.00038206114449192114,0.04775764306149015,50,79.87132834621568
124,StreamingRandomPatches,elecNormNew,1,1,16,15.001375198364258,1800.0,119.98899841308594,119.0,92.2777777777778,1,25,125,3.2555066079295156,739.0,14.982021574111066,1800.0,1,406.93832599118946,390.62497721264543,0.0018086147821830643,0.22607684777288303,10,15.001375324453853
146,OzaBagExecutorMAXChunk,elecNormNew,4,50,3745,3704.92333984375,45000.0,12.145999908447266,13.0,76.13570634037819,3,25,18,4.658823529411764,158.39999999999998,3702.868350085805,45312.0,3,83.85882352941175,56.586070161707255,0.00010352941176470587,0.0018635294117647055,90,3704.923459508964
