dataset,algorithm,ensemble_size,cores,batch_size,inc_rate,instances,time,delay,out_rate,acc
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,50,2437,285800.0,120.02999877929688,18.0,2381.071533203125,79.72353455818023
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,25,392,45300.0,116.31500244140625,35.0,389.45965576171875,77.47984538928769
airlines,OzaBagASHTExecutorMAXChunk,25,4,250,4300,43500.0,120.29100036621094,689.0,361.6230773925781,67.83352601156069
covtypeNorm,LBagExecutorMAXChunk,25,4,250,686,81250.0,120.20700073242188,350.0,675.9173583984375,90.8172839506173
covtypeNorm,OzaBagExecutorMAXChunk,25,4,50,1337,158100.0,119.91300201416016,27.0,1318.455810546875,81.2799746915533
airlines,OzaBagExecutorMAXChunk,25,4,250,2863,283750.0,120.0009994506836,105.0,2364.563720703125,63.08218694885361
elecNormNew,OzaBagExecutorMAXChunk,25,4,25,3550,42250.0,12.725000381469727,7.0,3320.235595703125,77.20781527531084
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,100,841,42200.0,54.06700134277344,123.0,780.5130615234375,88.97624703087887
GMSC,OzaBagASHTExecutorMAXChunk,25,4,500,4308,149500.0,34.92900085449219,96.0,4280.11083984375,93.32013422818792
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,250,460,45250.0,98.87000274658203,536.0,457.67169189453125,89.67777777777778
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,100,878,104500.0,120.0469970703125,111.0,870.492431640625,93.4367816091954
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,250,95,11250.0,120.00399780273438,1612.0,93.74687957763672,93.49090909090908
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,2000,2270,142000.0,66.1989974975586,824.0,2145.047607421875,93.47571428571429
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,250,2755,323500.0,120.03099822998047,83.0,2695.13720703125,77.67919566898685
airlines,LBagExecutorMAXChunk,25,4,500,122,8000.0,147.22799682617188,9072.0,54.33749008178711,61.413333333333334
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,250,141,16750.0,120.64800262451172,1641.0,138.83363342285156,81.69090909090909
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,250,170,20250.0,119.81800079345703,918.0,169.00633239746094,93.56
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,25,106,10375.0,120.86599731445312,291.0,85.8388671875,64.94685990338164
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,100,2831,333000.0,120.01799774169922,33.0,2774.583984375,79.31991589065785
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,50,127,14950.0,119.822998046875,316.0,124.76736450195312,80.51006711409397
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,100,132,15500.0,119.81800079345703,687.0,129.3628692626953,81.12337662337661
covtypeNorm,LBagExecutorMAXChunk,25,4,2000,351,38000.0,119.91200256347656,5123.0,316.8990478515625,85.41944444444445
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,500,1039,121500.0,119.91999816894531,451.0,1013.1754760742188,86.90661157024793
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,25,228,26725.0,119.97100067138672,105.0,222.7621612548828,87.65543071161048
airlines,OzaBagExecutorMAXChunk,25,4,25,480,57500.0,119.95099639892578,37.0,479.3624267578125,65.03523270987385
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,100,1014,118600.0,119.99199676513672,87.0,988.3992309570312,86.83713080168776
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,540,58000.0,121.75,3564.0,476.38604736328125,90.17500000000001
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,50,91,10750.0,119.81099700927734,340.0,89.72465515136719,89.37383177570094
GMSC,LBagExecutorMAXChunk,25,4,50,1018,121350.0,119.93599700927734,38.0,1011.7896728515625,93.36685902720528
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,250,118,13750.0,119.96900177001953,1477.0,114.6129379272461,69.82222222222222
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,2000,454,52000.0,119.89900207519531,2714.0,433.6983642578125,93.38
airlines,OzaBagAdwinExecutorMAXChunk,25,4,500,376,44000.0,120.30000305175781,1358.0,365.7522888183594,67.52183908045977
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,263,10000.0,154.47900390625,30119.0,64.73371887207031,63.800000000000004
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,100,51,6000.0,120.31999969482422,1173.0,49.86701965332031,91.37288135593221
airlines,LBagExecutorMAXChunk,25,4,50,107,9250.0,121.65599822998047,652.0,76.03406524658203,61.71739130434782
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,2000,2275,36000.0,19.881000518798828,1009.0,1810.7740478515625,82.28235294117647
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,500,1638,146500.0,92.48899841308594,307.0,1583.97216796875,93.51095890410959
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,500,101,12000.0,120.51699829101562,3080.0,99.57101440429688,93.45217391304348
GMSC,OzaBagExecutorMAXChunk,25,4,50,699,83250.0,119.99700164794922,41.0,693.767333984375,93.31971153846153
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,500,27,3000.0,121.9020004272461,12867.0,24.60993194580078,80.28
GMSC,OzaBagASHTExecutorMAXChunk,25,4,100,3934,150000.0,38.18000030517578,19.0,3928.758544921875,93.27151434289527
covtypeNorm,LBagExecutorMAXChunk,25,4,500,78,9000.0,120.86100006103516,4329.0,74.46570587158203,70.68235294117648
airlines,OzaBagAdwinExecutorMAXChunk,25,4,50,341,40700.0,119.947998046875,138.0,339.313720703125,68.77244772447725
GMSC,LBagExecutorMAXChunk,25,4,2000,222,26000.0,119.83300018310547,5641.0,216.96861267089844,93.3875
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,2000,1264,42000.0,35.94900131225586,1336.0,1168.32177734375,83.1
elecNormNew,LBagExecutorMAXChunk,25,4,100,1270,42200.0,35.78799819946289,81.0,1179.166259765625,90.32066508313538
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,972,104000.0,120.7249984741211,2180.0,861.4620361328125,92.74313725490197
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,100,563,66600.0,119.98400115966797,137.0,555.073974609375,85.65112781954886
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,500,2515,40000.0,18.07699966430664,222.0,2212.756591796875,84.53924050632912
elecNormNew,OzaBagExecutorMAXChunk,25,4,50,416,45300.0,109.30400085449219,68.0,414.4404602050781,74.84419889502763
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,50,827,42650.0,55.06399917602539,61.0,774.5532836914062,88.65023474178403
airlines,OzaBagExecutorMAXChunk,25,4,500,5553,291000.0,120.125,205.0,2422.4765625,62.22271944922547
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,100,488,58100.0,120.01499938964844,162.0,484.1061706542969,93.3948275862069
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,500,1397,44000.0,32.513999938964844,294.0,1353.26318359375,84.1471264367816
elecNormNew,LBagExecutorMAXChunk,25,4,100,141,16700.0,119.81999969482422,433.0,139.375732421875,91.31927710843374
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,100,115,11100.0,120.59700012207031,1082.0,92.0420913696289,65.35454545454546
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,500,279,32500.0,119.86699676513672,1079.0,271.13385009765625,84.028125
GMSC,OzaBagASHTExecutorMAXChunk,25,4,50,728,86850.0,119.98699951171875,37.0,723.8284301757812,93.23963133640552
airlines,StreamingRandomPatchesExecutorMAXChunk,25,4,250,235,8750.0,120.37799835205078,3424.0,72.68769836425781,65.36470588235294
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,2000,2982,342000.0,120.0009994506836,657.0,2849.976318359375,77.275
airlines,OzaBagExecutorMAXChunk,25,4,500,617,73500.0,119.93699645996094,634.0,612.82177734375,63.04794520547945
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,25,157,18550.0,119.83999633789062,96.0,154.7897186279297,93.59244264507423
GMSC,OzaBagASHTExecutorMAXChunk,25,4,2000,8015,128000.0,22.677000045776367,346.0,5644.4853515625,93.25634920634921
airlines,OzaBagAdwinExecutorMAXChunk,25,4,500,75,9000.0,121.22699737548828,4411.0,74.24089050292969,63.37647058823529
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,500,509,60000.0,119.9000015258789,862.0,500.4170227050781,93.41512605042017
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,250,425,50750.0,119.88800048828125,355.0,423.311767578125,93.38019801980198
elecNormNew,OzaBagExecutorMAXChunk,25,4,100,4034,42400.0,12.407999992370605,28.0,3417.150146484375,77.78014184397163
airlines,StreamingRandomPatchesExecutorMAXChunk,25,4,100,24,2400.0,120.87899780273438,3455.0,19.85456657409668,73.95652173913044
GMSC,OzaBagExecutorMAXChunk,25,4,250,4234,145000.0,35.534000396728516,49.0,4080.598876953125,93.35474956822108
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,250,1067,125500.0,120.01599884033203,209.0,1045.6939697265625,86.35369261477047
airlines,StreamingRandomPatchesExecutorMAXChunk,25,4,500,26,3000.0,124.93199920654297,14959.0,24.013063430786133,72.44
covtypeNorm,LBagExecutorMAXChunk,25,4,25,57,6600.0,120.04299926757812,284.0,54.98030090332031,74.31178707224333
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,2000,574,66000.0,120.1500015258789,3042.0,549.3133544921875,83.93906249999999
covtypeNorm,OzaBagExecutorMAXChunk,25,4,2000,3201,376000.0,119.94200134277344,593.0,3134.848388671875,76.8385026737968
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,500,2366,150000.0,63.659000396728516,162.0,2356.3046875,93.47157190635451
airlines,StreamingRandomPatchesExecutorMAXChunk,25,4,25,23,2400.0,120.21099853515625,876.0,19.964895248413086,74.23157894736843
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,500,2356,44000.0,19.283000946044922,177.0,2281.802490234375,78.64597701149425
GMSC,OzaBagASHTExecutorMAXChunk,25,4,500,861,103000.0,120.05799865722656,342.0,857.918701171875,93.40682926829268
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,146,12000.0,133.43699645996094,21090.0,89.93008422851562,64.16
airlines,OzaBagAdwinExecutorMAXChunk,25,4,2000,873,28000.0,133.5489959716797,9450.0,209.66087341308594,65.11923076923077
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,100,314,37100.0,119.91799926757812,196.0,309.3780822753906,72.06486486486486
airlines,StreamingRandomPatchesExecutorMAXChunk,25,4,50,23,2400.0,120.42400360107422,1749.0,19.929580688476562,75.14893617021276
covtypeNorm,LBagExecutorMAXChunk,25,4,50,600,70850.0,120.0270004272461,79.0,590.2838745117188,90.11864406779661
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,25,306,36525.0,119.88700103759766,49.0,304.6618957519531,93.43013698630138
covtypeNorm,LBagExecutorMAXChunk,25,4,50,66,7750.0,120.00399780273438,506.0,64.58118438720703,73.96103896103897
