,algorithm,dataset,cores,batch_size,inc_rate,out_rate,instances,time,delay,acc,ensemble_size,duration,avg_measure,sum_measure,prod_rate,tt_inst_prod,avg_times_duration,joules,JPI,PERC,tput
411,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,2000,467,425.1184387207031,42000.0,98.7959976196289,4389.0,89.4175,25,103,5.205913978494624,968.3000000000001,463.0761369443025,45312.0,536.2091397849463,514.3234650273477,0.012766884280593959,90,425.118436089919
212,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,2000,259,244.23403930664065,30000.0,122.83300018310548,7053.0,89.78571428571429,25,127,4.345021645021645,1003.7,254.4689712619742,30549.0,551.8177489177489,533.712044518541,0.018393924963924963,50,244.2340409766057
179,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,2000,51,48.61370086669922,6000.0,123.4219970703125,25315.0,91.25,25,127,3.19004329004329,736.9,49.92469691548581,6000.0,405.13549783549786,393.72151359789297,0.06752258297258297,10,48.61370049442523
290,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,500,445,435.6509094238281,44500.0,102.14600372314452,1118.0,89.23181818181818,25,106,5.465803108808291,1054.9,443.07981147204345,45312.0,579.3751295336788,558.3099447023066,0.013019665832217501,90,435.6509151411576
288,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,500,247,241.9651031494141,29000.0,119.85199737548828,1729.0,90.0421052631579,25,124,4.201333333333333,945.3,244.5060895353293,29351.0,520.9653333333333,503.5381916402181,0.01796432183908046,50,241.9650955765463
196,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,500,49,41.671875,5000.0,119.98500061035156,6692.0,92.06666666666666,25,124,3.159555555555556,710.9000000000001,44.93409665823459,5400.0,391.78488888888893,379.099275261773,0.07835697777777778,10,41.67187543914244
9,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,250,460,457.6716918945313,45250.0,98.87000274658205,536.0,89.67777777777778,25,103,5.477127659574467,1029.6999999999998,458.345134533684,45312.0,564.1441489361702,541.5236267455081,0.01246727400963912,90,457.67167738411234
251,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,250,256,253.4738311767578,30500.0,120.3280029296875,851.0,90.14545454545456,25,125,4.2650442477876105,963.9,254.48169004698278,30549.0,533.1305309734513,513.2042567430344,0.01747968954011316,50,253.47383200419588
362,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,250,51,49.79996871948242,6000.0,120.48200225830078,2993.0,91.75652173913043,25,125,3.136563876651982,711.9999999999999,49.92428150638199,6000.0,392.07048458149774,377.89949607008873,0.06534508076358296,10,49.79996918657302
201,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,100,462,456.0749206542969,45000.0,98.66799926757812,213.0,89.65478841870824,25,103,5.524598930481283,1033.1,458.35440733172834,45312.0,569.0336898395722,545.1011232263902,0.012645193107546047,90,456.07492129200193
