,algorithm,dataset,cores,batch_size,inc_rate,out_rate,instances,time,delay,acc,methodology,ensemble_size,duration,avg_measure,sum_measure,prod_rate,tt_inst_prod,avg_times_duration,joules,JPI,PERC,tput
213,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,2000,439,89.35299737867169,110.93000030517578,5075.0,386.0001831054688,,42819.0,25,117,5.341509433962265,1132.4,433.78615123926596,45312.0,624.956603773585,27108.160377358494,5.633792500264022,90,0.021858128138950893
20,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,2000,244,90.18461538461538,121.4229965209961,7248.0,230.59881591796875,,28000.0,25,125,4.51806167400881,1025.6,239.5121788677485,28752.0,564.7577092511012,32746.911013215853,4.651159380286296,50,0.01675262093280851
283,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,2000,48,86.76470588235294,119.98899841308594,26610.0,45.004127502441406,,5400.0,25,128,3.494849785407725,814.3,44.93409665823459,5400.0,447.3407725321888,92997.95278969956,3.7281815703813894,10,0.004509169425519953
421,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,500,434,89.69716102554851,105.48600006103516,1155.0,425.1464538574219,,44847.0,25,111,5.569154228855722,1119.4,428.8066622504022,45312.0,618.1761194029851,6432.373134328359,5.860266945806106,90,0.09132987018271442
356,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,500,241,90.15290952852895,119.85099792480467,1750.0,239.8978729248047,,28752.0,25,125,4.533480176211453,1029.1,239.5121788677485,28752.0,566.6850220264316,7933.590308370043,4.728246170982853,50,0.06848628452845981
232,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,500,48,91.04081632653062,119.98600006103516,6771.0,45.0052490234375,,5400.0,25,125,3.46079295154185,785.5999999999999,44.93372275893058,5400.0,432.59911894273125,23433.029074889866,3.6054132875725027,10,0.017720573041062643
284,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,250,407,89.43899516222093,112.2239990234375,597.0,403.763916015625,,45312.0,25,116,5.5263681592039795,1110.8,403.58408892530775,45312.0,641.0587064676616,3299.2417910447757,5.712313872666214,90,0.18797989786170435
482,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,250,226,90.7133495600075,119.85099792480467,938.0,224.90426635742188,,26955.0,25,125,4.383700440528635,995.1000000000001,224.5538912677652,26955.0,547.9625550660794,4111.911013215859,4.572031643907335,50,0.12777291889638026
337,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,250,45,90.81553398058252,119.98899841308594,3307.0,45.004127502441406,,5400.0,25,125,3.4057268722466962,773.1,44.93334886584899,5400.0,425.715859030837,11262.738766519824,3.5479574349410408,10,0.03628333789328272
177,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,100,385,89.57356454038751,118.02200317382812,246.0,383.9284057617188,,45312.0,25,122,5.471889400921659,1187.4,383.73658759664977,45312.0,667.5705069124424,1346.0847926267281,5.656322456493256,90,0.4797642405440168
286,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,100,213,90.34240561896401,119.83999633789062,388.0,209.92991638183597,,25158.0,25,125,4.422907488986784,1003.9999999999999,209.60283936114374,25158.0,552.863436123348,1716.088105726872,4.613346570576834,50,0.30886596994301707
