dataset,algorithm,ensemble_size,cores,batch_size,inc_rate,instances,time,delay,out_rate,acc
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,75,1503,177150.0,120.01300048828125,41.0,1476.090087890625,80.98715233658055
airlines,OzaBagAdwinExecutorMAXChunk,25,4,2000,95,11400.0,119.9990005493164,15612.0,95.00079345703125,77.7127659574468
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,75,22,2400.0,120.36799621582031,2274.0,19.938854217529297,78.45161290322581
airlines,OzaBagASHTExecutorMAXChunk,25,4,50,3315,117500.0,120.03600311279297,51.0,978.8729858398438,66.84716900808854
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,50,251,29950.0,119.88700103759766,37.0,249.81857299804688,86.94314381270904
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,100,23,2400.0,120.4229965209961,3056.0,19.92974853515625,78.52173913043478
GMSC,OzaBagASHTExecutorMAXChunk,25,4,25,6138,130027.0,24.527999877929688,4.0,5301.166015625,93.32856417593575
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,250,3082,301000.0,120.02100372314453,98.0,2507.894287109375,77.5142144638404
airlines,StreamingRandomPatchesExecutorMAXChunk,25,4,75,214,6900.0,120.64900207519531,1309.0,57.19069290161133,66.60805860805861
airlines,OzaBagASHTExecutorMAXChunk,25,4,100,2309,38600.0,120.11399841308594,311.0,321.36138916015625,54.3064935064935
GMSC,OzaBagASHTExecutorMAXChunk,25,4,2000,7833,113679.0,19.80699920654297,354.0,5739.3349609375,93.26283365717816
GMSC,OzaBagASHTExecutorMAXChunk,25,4,25,682,81464.0,119.97000122070312,21.0,679.0364379882812,93.38523311926718
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,100,2262,150000.0,66.43499755859375,38.0,2257.84619140625,93.4209472981988
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,50,1284,150600.0,120.00499725341797,30.0,1254.94775390625,81.3543673198273
airlines,OzaBagASHTExecutorMAXChunk,25,4,250,488,58103.0,119.9260025024414,406.0,484.49041748046875,60.17319758698771
elecNormNew,OzaBagExecutorMAXChunk,25,4,50,421,45312.0,108.08300018310547,65.0,419.2333679199219,76.93208430913349
