,algorithm,dataset,cores,batch_size,inc_rate,out_rate,instances,time,delay,acc,ensemble_size,duration,avg_measure,sum_measure,prod_rate,tt_inst_prod,avg_times_duration,joules,JPIold,JPI,PERC,tput
179,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,2000,439,386.0001831054688,42819.0,110.93000030517578,5075.0,89.35299737867169,25,117,5.341509433962265,1132.4,433.78615123926596,45312.0,624.956603773585,592.5336431395333,0.00012474624428319823,0.014595310581134193,90,386.00017923196697
17,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,2000,244,230.59881591796875,28000.0,121.4229965209961,7248.0,90.18461538461538,25,125,4.51806167400881,1025.6,239.5121788677485,28752.0,564.7577092511012,548.5965869248175,0.00016135934550031464,0.02016991818753933,50,230.59882231747036
238,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,2000,48,45.004127502441406,5400.0,119.98899841308594,26610.0,86.76470588235294,25,128,3.494849785407725,814.3,44.93409665823459,5400.0,447.3407725321888,419.34352535526125,0.0006471944047051342,0.08284088380225718,10,45.00412597336156
352,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,500,434,425.1464538574219,44847.0,105.48600006103516,1155.0,89.69716102554851,25,111,5.569154228855722,1119.4,428.8066622504022,45312.0,618.1761194029851,587.467803324989,0.000124181198939856,0.013784113082324016,90,425.1464646877417
299,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,500,241,239.8978729248047,28752.0,119.85099792480467,1750.0,90.15290952852897,25,125,4.533480176211453,1029.1,239.5121788677485,28752.0,566.6850220264316,543.342123191262,0.000157675298282257,0.019709412285282123,50,239.89787734632964
194,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,500,48,45.0052490234375,5400.0,119.98600006103516,6771.0,91.04081632653062,25,125,3.46079295154185,785.5999999999999,44.93372275893058,5400.0,432.59911894273125,415.24670329493046,0.0006408875836188611,0.08011094795235764,10,45.00525058967794
239,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,250,407,403.763916015625,45312.0,112.2239990234375,597.0,89.43899516222093,25,116,5.5263681592039795,1110.8,403.58408892530775,45312.0,641.0587064676616,620.1911349016635,0.00012196257413497483,0.014147658599657081,90,403.76390428340363
397,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,250,226,224.90426635742188,26955.0,119.85099792480467,938.0,90.7133495600075,25,125,4.383700440528635,995.1000000000001,224.5538912677652,26955.0,547.9625550660794,525.3908724007628,0.00016263032611866574,0.020328790764833217,50,224.90426001218404
283,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,250,45,45.004127502441406,5400.0,119.98899841308594,3307.0,90.81553398058252,25,125,3.4057268722466962,773.1,44.93334886584899,5400.0,425.715859030837,408.649756269413,0.0006306901615271659,0.07883627019089574,10,45.00412597336156
151,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,100,385,383.9284057617188,45312.0,118.02200317382812,246.0,89.57356454038751,25,122,5.471889400921659,1187.4,383.73658759664977,45312.0,667.5705069124424,645.8033482424125,0.0001207602710302273,0.014732753065687729,90,383.92840980052205
241,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,100,213,209.92991638183597,25158.0,119.83999633789062,388.0,90.342405618964,25,125,4.422907488986784,1003.9999999999999,209.60283936114374,25158.0,552.863436123348,530.0412172830052,0.0001758052106283005,0.021975651328537564,50,209.92991295716206
170,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,100,42,39.94673538208008,4800.0,120.16000366210938,1468.0,91.82978723404254,25,125,3.376991150442478,763.2,39.94175161223216,4800.0,422.12389380530976,405.7792690040791,0.0007035398230088495,0.0879424778761062,10,39.946736465634835
399,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,75,350,349.486572265625,41930.0,119.97599792480467,187.0,89.46840281925695,25,124,5.003571428571428,1120.8,349.15770803320873,41930.0,620.4428571428571,600.3084753308976,0.00011933153895949029,0.014797110830976797,90,349.4865700244457
168,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,75,194,189.27561950683597,22725.0,120.06300354003906,317.0,90.25165562913908,25,124,4.351612903225806,944.3,189.64382420329096,22762.0,539.6,522.4677154048796,0.00019149011675361085,0.023744774477447744,50,189.27562471333295
64,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,75,38,34.960960388183594,4200.0,120.13400268554688,1269.0,91.95151515151515,25,124,3.334375,746.9,34.95165021719954,4200.0,413.46250000000003,400.57181520462035,0.0007938988095238096,0.0984434523809524,10,34.96095947950376
209,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,50,398,394.0996398925781,45312.0,114.97599792480467,119.0,89.4569395961292,25,120,5.418807339449542,1181.3000000000002,393.7126919166906,45312.0,650.2568807339451,623.032781415467,0.000119588791919349,0.01435065503032188,90,394.0996452984426
319,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,50,221,219.7651824951172,26356.0,119.9280014038086,176.0,90.40523074583746,25,124,4.557727272727273,1002.7,219.5638047951482,26356.0,565.1581818181818,546.5991227618131,0.00017292940024006955,0.021443245629768622,50,219.76518987635697
368,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,50,44,39.9633674621582,4800.0,120.11000061035156,746.0,91.6842105263158,25,125,3.359030837004405,762.5,39.942416349762425,4800.0,419.8788546255506,403.4531958827888,0.0006997980910425843,0.08747476138032305,10,39.96336671058444
409,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,25,422,418.425537109375,45259.0,108.16500091552734,57.0,89.24923729937657,25,112,5.661538461538462,1104.0,418.47836125528727,45312.0,634.0923076923077,612.380312875601,0.00012509199190301293,0.014010303093137447,90,418.4255500108165
233,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,25,234,229.7353515625,27554.0,119.93800354003906,85.0,90.6861854771332,25,124,4.520796460176991,1021.7,229.5172092093426,27554.0,560.5787610619469,542.2153018445041,0.00016407042390132072,0.02034473256376377,50,229.73535649025217
184,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,25,46,44.97601318359375,5400.0,120.06400299072266,333.0,91.31162790697674,25,124,3.517857142857143,788.0,44.93409665823459,5400.0,436.2142857142857,422.36801052093506,0.0006514550264550264,0.08078042328042329,10,44.976011672851335
203,OzaBagExecutorMAXChunk,elecNormNew,4,2000,4034,3128.189208984375,35189.0,11.24899959564209,613.0,77.51966012835578,25,17,4.878787878787879,161.0,3962.917614133287,45312.0,82.93939393939394,54.88148287570838,0.00013864525501684842,0.0023569693352864227,90,3128.1892848171465
330,OzaBagExecutorMAXChunk,elecNormNew,4,2000,2241,2024.302490234375,41065.0,20.285999298095703,809.0,77.53743760399334,25,26,4.508333333333334,216.4,2213.6889931115343,45312.0,117.21666666666668,91.45604683558147,0.0001097852997280734,0.002854417792929908,50,2024.3025446547695
