dataset,algorithm,ensemble_size,cores,batch_size,inc_rate,instances,time,delay,out_rate,acc
airlines,OzaBagAdwinExecutorMAXChunk,25,4,2000,95,10000.0,120.0009994506836,14939.0,83.3326416015625,80.7875
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,25,286,34125.0,119.8759994506836,50.0,284.6691589355469,93.79472140762464
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,500,758,88500.0,119.98300170898438,671.0,737.6044921875,93.47613636363636
airlines,OzaBagASHTExecutorMAXChunk,25,4,50,3315,120050.0,120.04299926757812,49.0,1000.0582885742188,68.12666666666667
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,25,714,42925.0,64.3280029296875,35.0,667.2832641601562,88.55477855477855
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,500,2417,149500.0,62.310001373291016,168.0,2399.293701171875,93.61946308724832
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,2000,1041,118000.0,120.3270034790039,1949.0,980.6610107421875,88.03017241379311
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,500,828,96500.0,120.03299713134766,535.0,803.9456176757812,93.52604166666667
covtypeNorm,OzaBagExecutorMAXChunk,25,4,50,2789,317850.0,120.01200103759766,18.0,2648.485107421875,77.77438640654499
GMSC,LBagExecutorMAXChunk,25,4,2000,215,24000.0,119.83599853515625,5864.0,200.27371215820312,93.44545454545454
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,75,210,8475.0,120.3239974975586,1062.0,70.43482971191406,65.78571428571428
airlines,StreamingRandomPatchesExecutorMAXChunk,25,4,75,214,6975.0,120.2979965209961,1292.0,57.981014251708984,66.66666666666666
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,250,4296,141000.0,35.040000915527344,59.0,4023.972412109375,93.58792184724689
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,250,115,13500.0,120.90499877929688,2003.0,111.65791320800781,81.38867924528303
airlines,OzaBagASHTExecutorMAXChunk,25,4,100,2309,35900.0,120.18900299072266,334.0,298.6961975097656,64.83240223463687
covtypeNorm,LBagExecutorMAXChunk,25,4,500,77,9000.0,120.87200164794922,4303.0,74.45893096923828,70.83529411764707
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,50,1905,45300.0,23.715999603271484,20.0,1910.1029052734375,70.69171270718232
covtypeNorm,LBagExecutorMAXChunk,25,4,100,72,8400.0,120.19000244140625,938.0,69.88934326171875,73.01204819277109
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,25,3139,45225.0,14.475000381469727,8.0,3124.352294921875,78.27433628318585
covtypeNorm,OzaBagExecutorMAXChunk,25,4,75,2803,326325.0,120.01100158691406,26.0,2719.125732421875,79.2511877394636
