,algorithm,dataset,cores,batch_size,inc_rate,out_rate,instances,time,delay,acc,ensemble_size,duration,avg_measure,sum_measure,prod_rate,tt_inst_prod,avg_times_duration,joules,JPIold,JPI,PERC,tput
10,OzaBagExecutorMAXChunk,elecNormNew,4,2000,3857,2844.309326171875,33213.0,11.677000045776367,682.0,77.08326658763977,25,18,4.902857142857143,171.6,3829.2909659427028,45312.0,88.25142857142858,57.25066308157785,0.00014761861749487077,0.002657135114907674,90,2844.3093148752123
11,OzaBagExecutorMAXChunk,elecNormNew,4,2000,2143,1940.103271484375,40942.0,21.10300064086914,844.0,76.50865389553695,25,28,4.6596153846153845,242.3,2130.023974051615,45312.0,130.46923076923076,98.33186644774217,0.00011381015545443272,0.003186684352724116,50,1940.1032439296641
7,OzaBagExecutorMAXChunk,elecNormNew,4,2000,428,423.9282836914063,45312.0,106.88600158691406,2679.0,77.17029922423347,25,112,3.329556650246306,675.9000000000001,423.18396622896313,45312.0,372.91034482758624,355.8829974019469,7.3480681723303e-05,0.008229836353009936,10,423.92829114441776
22,OzaBagExecutorMAXChunk,elecNormNew,4,500,4284,3143.0888671875,34882.0,11.097999572753906,157.0,75.7256704089349,25,16,4.816129032258066,149.30000000000004,4260.248213614141,45312.0,77.05806451612905,53.4493979423277,0.0001380691770041301,0.0022091068320660816,90,3143.0889658382125
74,OzaBagExecutorMAXChunk,elecNormNew,4,500,2380,2357.375,44974.0,19.077999114990234,163.0,75.547510905248,25,24,4.5613636363636365,200.70000000000002,2351.793221570561,45312.0,109.47272727272727,87.0216914176941,0.00010142223587769904,0.002434133661064777,50,2357.3750962522267
106,OzaBagExecutorMAXChunk,elecNormNew,4,500,476,474.66009521484375,45312.0,95.46199798583984,613.0,76.32107471213068,25,101,3.3646739130434784,619.1,473.73208292820624,45312.0,339.83206521739135,321.1984943099644,7.425569193687055e-05,0.007499824885623926,10,474.6600841805266
107,OzaBagExecutorMAXChunk,elecNormNew,4,250,4068,3185.200439453125,38697.0,12.14900016784668,78.0,77.29081592842094,25,18,4.9411764705882355,168.0,4035.6252226576416,45312.0,88.94117647058823,60.030353770536536,0.00012768887693072423,0.002298399784753036,90,3185.200384013062
69,OzaBagExecutorMAXChunk,elecNormNew,4,250,2260,2216.748779296875,44550.0,20.097000122070312,92.0,77.66817155756208,25,25,4.436170212765958,208.50000000000003,2235.8630218099283,45312.0,110.90425531914896,89.15371330748215,9.957733361988683e-05,0.002489433340497171,50,2216.748755008249
23,OzaBagExecutorMAXChunk,elecNormNew,4,250,452,449.1806945800781,45312.0,100.8769989013672,311.0,77.71070968887311,25,107,3.287179487179487,641.0,448.34068826311517,45312.0,351.7282051282051,331.60080151680194,7.254545125307837e-05,0.0077623632840793854,10,449.1806902810813
71,OzaBagExecutorMAXChunk,elecNormNew,4,100,4064,3532.19091796875,44110.0,12.48799991607666,27.0,75.17155192001817,25,18,4.747058823529411,161.39999999999998,4030.599537448852,45312.0,85.4470588235294,59.28127018984625,0.00010761865390000932,0.0019371357702001677,90,3532.1909270045853
44,OzaBagExecutorMAXChunk,elecNormNew,4,100,2258,2252.9833984375,45312.0,20.11199951171875,36.0,78.01247456427497,25,26,4.31875,207.29999999999998,2235.2012628255725,45312.0,112.2875,86.85869789123534,9.531139653954802e-05,0.0024780963100282487,50,2252.9833482542526
14,OzaBagExecutorMAXChunk,elecNormNew,4,100,451,449.1317138671875,45312.0,100.88800048828124,116.0,77.5037600636999,25,106,3.306735751295337,638.2,448.3362521891419,45312.0,350.5139896373057,333.60995809130094,7.297704253388367e-05,0.007735566508591669,10,449.1317082378223
75,OzaBagExecutorMAXChunk,elecNormNew,4,75,4047,3824.94384765625,44377.0,11.60200023651123,19.0,75.85887770303825,25,17,4.690624999999999,150.09999999999997,3961.185418305796,45312.0,79.74062499999998,54.42063235938548,0.00010569946143272414,0.0017968908443563103,90,3824.943897203742
100,OzaBagExecutorMAXChunk,elecNormNew,4,75,2248,2245.836669921875,45312.0,20.176000595092773,26.0,76.12131662134978,25,25,4.220833333333334,202.60000000000002,2234.4297056067853,45312.0,105.52083333333336,85.15953584512076,9.315045315442563e-05,0.002328761328860641,50,2245.836571348081
54,OzaBagExecutorMAXChunk,elecNormNew,4,75,449,443.8697509765625,45312.0,102.08399963378906,95.0,78.12852311161218,25,107,3.2735135135135143,605.6000000000001,443.0494852013728,45312.0,350.26594594594604,334.17335231471714,7.224385402351505e-05,0.007730092380516112,10,443.86975591228753
9,OzaBagExecutorMAXChunk,elecNormNew,4,50,3653,3498.515625,43602.0,12.463000297546388,14.0,77.4958670095518,25,18,4.729411764705883,160.80000000000004,3585.3774331381546,45312.0,85.1294117647059,58.942660230748814,0.00010846777131108398,0.0019524198835995116,90,3498.5155226694487
40,OzaBagExecutorMAXChunk,elecNormNew,4,50,2029,2019.5401611328125,45062.0,22.3129997253418,19.0,76.77063894072693,25,28,4.222641509433963,223.8,2016.9144484999554,45312.0,118.23396226415096,94.2197988402169,9.370737005534515e-05,0.002623806361549664,50,2019.5402032305506
46,OzaBagExecutorMAXChunk,elecNormNew,4,50,405,404.1852722167969,45312.0,112.10700225830078,69.0,77.09999558128231,25,117,3.2539906103286382,693.0999999999999,403.5337703049302,45312.0,380.71690140845067,364.7951327006022,7.181299899206917e-05,0.008402120882072093,10,404.18527912822634
99,OzaBagExecutorMAXChunk,elecNormNew,4,25,3711,3039.8134765625,41764.0,13.73900032043457,8.0,76.1997172907832,25,20,4.745945945945946,175.60000000000002,3643.9083232810613,45312.0,94.91891891891893,65.20455287211651,0.00011363724609582287,0.0022727449219164574,90,3039.813598219567
97,OzaBagExecutorMAXChunk,elecNormNew,4,25,2061,2029.1571044921875,44540.0,21.950000762939453,10.0,78.11074918566774,25,27,4.231372549019608,215.8,2052.1739130434785,45312.0,114.24705882352941,92.87863067926145,9.500162885091171e-05,0.0025650439789746166,50,2029.1571048690655
85,OzaBagExecutorMAXChunk,elecNormNew,4,25,412,409.3298950195313,45312.0,110.697998046875,33.0,76.70192328924415,25,117,3.250234741784037,692.3,408.65800865800867,45312.0,380.27746478873235,359.7944790978946,7.173010994403331e-05,0.008392422863451897,10,409.3298957476418
101,OzaBagExecutorMAXChunk,elecNormNew,4,15,3418,2839.65185546875,43069.0,15.166999816894531,5.0,76.38082408138617,25,21,4.7299999999999995,189.2,3371.1777397515066,45312.0,99.32999999999998,71.73990913391113,0.00010982377115790939,0.002306299194316097,90,2839.651910064996
35,OzaBagExecutorMAXChunk,elecNormNew,4,15,1899,1895.344482421875,45312.0,23.90699958801269,6.0,75.16171048855333,25,30,4.116666666666666,197.6,1882.9004778724288,45312.0,123.49999999999999,98.41714830398557,9.085157721280602e-05,0.0027255473163841806,50,1895.3444924439652
48,OzaBagExecutorMAXChunk,elecNormNew,4,15,379,374.5903930664063,44925.0,119.93099975585938,5.0,76.90269427744377,25,125,3.2848888888888896,739.1000000000001,374.08196912418606,44925.0,410.6111111111112,393.9600085313586,7.311939652507267e-05,0.009139924565634084,10,374.59039023649206
32,OzaBagExecutorMAXChunk,elecNormNew,4,5,2806,2595.572998046875,43738.0,16.85099983215332,1.0,77.50668831317313,25,22,4.7926829268292686,196.5,2789.9759867003263,45312.0,105.4390243902439,80.76149919556408,0.00010957709375895717,0.0024106960626970575,90,2595.5729888824585
45,OzaBagExecutorMAXChunk,elecNormNew,4,5,1558,1557.5950927734375,45312.0,29.090999603271484,2.0,76.98368905467147,25,35,4.099999999999999,266.49999999999994,1548.96933647831,45312.0,143.49999999999994,119.27309837341305,9.048375706214687e-05,0.00316693149717514,50,1557.595153756915
76,OzaBagExecutorMAXChunk,elecNormNew,4,5,311,309.7388610839844,37138.0,119.9010009765625,7.0,76.8642447418738,25,126,3.2495614035087725,740.9000000000001,309.28487553819633,37138.0,409.4447368421053,389.62566501550515,8.749963389274523e-05,0.0110249538704859,10,309.7388653766077
