dataset,algorithm,ensemble_size,cores,batch_size,inc_rate,instances,time,delay,out_rate,acc
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,100,417,45312.0,109.34500122070312,183.0,414.3948059082031,88.8436698221711
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,25,722,43469.0,63.069000244140625,32.0,689.229248046875,88.8315993002486
airlines,OzaBagExecutorMAXChunk,25,4,100,2595,257000.0,120.01599884033203,46.0,2141.381103515625,63.83573374854029
airlines,OzaBagExecutorMAXChunk,25,4,500,2746,293500.0,120.00900268554688,203.0,2445.64990234375,62.69283276450513
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,82,9585.0,120.01100158691406,15916.0,79.86767578125,89.53197099538563
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,500,732,44117.0,62.361000061035156,664.0,707.4453735351562,88.86901896049706
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,100,183,10500.0,120.09600067138672,1141.0,87.4300537109375,65.40384615384616
elecNormNew,OzaBagExecutorMAXChunk,25,4,2000,428,45312.0,106.88300323486328,2658.0,423.940185546875,77.0294606575545
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,500,208,11500.0,122.44499969482422,5271.0,93.91971588134766,64.89090909090909
elecNormNew,OzaBagExecutorMAXChunk,25,4,50,3653,43377.0,14.119000434875488,16.0,3072.242919921875,77.25205991644933
elecNormNew,OzaBagExecutorMAXChunk,25,4,2000,3857,35375.0,12.383999824523926,690.0,2856.508544921875,76.97378277153558
elecNormNew,OzaBagExecutorMAXChunk,25,4,2000,2143,41359.0,21.086999893188477,845.0,1961.3505859375,76.41200233745776
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,500,115,12500.0,120.7239990234375,4741.0,103.54196166992188,65.04166666666666
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,100,20,2400.0,120.54399871826172,3235.0,19.90974235534668,72.91304347826087
elecNormNew,OzaBagExecutorMAXChunk,25,4,100,451,45312.0,100.90499877929688,116.0,449.0560607910156,76.89551446518624
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,50,177,10450.0,120.02100372314453,573.0,87.0680923461914,65.65384615384615
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,75,744,44091.0,61.41400146484375,94.0,717.9307250976562,88.95856052344601
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,25,401,45312.0,113.50700378417969,44.0,399.2000427246094,88.6369156711639
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,500,23,2400.0,119.96099853515625,16195.0,20.006502151489258,72.3157894736842
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,250,748,42732.0,61.00400161743164,336.0,700.4786376953125,88.64931029612542
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,100,750,44380.0,60.60599899291992,125.0,732.270751953125,88.6720867208672
airlines,OzaBagExecutorMAXChunk,25,4,250,4829,258500.0,120.0479965209961,115.0,2153.305419921875,61.55546950629235
elecNormNew,OzaBagExecutorMAXChunk,25,4,500,4284,36326.0,12.085000038146973,165.0,3005.875,76.30212694691006
elecNormNew,OzaBagExecutorMAXChunk,25,4,250,452,45312.0,100.87699890136719,309.0,449.1806945800781,76.39696418268164
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,25,96,9825.0,120.05500030517578,303.0,81.83749389648438,65.38775510204081
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,75,181,10575.0,120.18299865722656,851.0,87.99081420898438,65.2
airlines,OzaBagExecutorMAXChunk,25,4,2000,4869,288000.0,120.04299926757812,828.0,2399.140380859375,61.40524475524476
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,75,82,9585.0,120.00599670410156,588.0,79.87100982666016,88.60147213459516
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,23,2000.0,122.47799682617188,72494.0,16.329463958740234,?
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,50,98,10350.0,121.23600006103516,579.0,85.37068176269531,65.52427184466019
airlines,OzaBagExecutorMAXChunk,25,4,500,4944,297008.0,120.0009994506836,201.0,2475.046142578125,62.11097171071269
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,5,607,44819.0,75.06199645996094,7.0,597.0930786132812,88.84054090239657
elecNormNew,OzaBagExecutorMAXChunk,25,4,5,2806,44091.0,17.018999099731445,1.0,2590.69287109375,77.0925010207322
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,500,81,9584.0,119.81500244140625,3868.0,79.98998260498047,89.57507705856452
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,100,83,9585.0,120.01000213623047,766.0,79.86833953857422,88.29731154454402
elecNormNew,OzaBagExecutorMAXChunk,25,4,15,1899,45312.0,23.899999618530273,6.0,1895.899658203125,79.24807382387354
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,5,165,9180.0,121.3290023803711,66.0,75.66204071044922,65.79836512261579
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,5,91,8645.0,120.00900268554688,69.0,72.03626251220703,65.82175925925927
airlines,OzaBagExecutorMAXChunk,25,4,50,2455,220750.0,120.00700378417969,27.0,1839.4759521484375,63.775260534662436
airlines,OzaBagExecutorMAXChunk,25,4,2000,2705,284000.0,120.08799743652344,839.0,2364.932373046875,63.05
elecNormNew,OzaBagExecutorMAXChunk,25,4,50,2029,45312.0,22.31800079345703,19.0,2030.2894287109375,77.98373911890769
airlines,OzaBagExecutorMAXChunk,25,4,5,1784,155055.0,120.00599670410156,3.0,1292.0604248046875,59.72589487262173
airlines,OzaBagExecutorMAXChunk,25,4,25,4063,190025.0,120.00399780273438,15.0,1583.4888916015625,63.718947368421055
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,212,12000.0,129.20899963378906,20739.0,92.87278747558594,63.49
elecNormNew,OzaBagExecutorMAXChunk,25,4,100,2258,45312.0,20.121000289916992,36.0,2251.9755859375,77.21401397858976
elecNormNew,OzaBagExecutorMAXChunk,25,4,5,1558,45312.0,29.107999801635742,2.0,1556.6854248046875,75.12967091177963
elecNormNew,OzaBagExecutorMAXChunk,25,4,50,405,45312.0,112.10099792480469,69.0,404.2069396972656,76.5631213821749
airlines,OzaBagExecutorMAXChunk,25,4,250,2683,270500.0,120.06300354003906,110.0,2252.98388671875,63.54116558741906
elecNormNew,OzaBagExecutorMAXChunk,25,4,15,379,44925.0,119.9219970703125,5.0,374.6184997558594,77.11645513248719
airlines,OzaBagExecutorMAXChunk,25,4,2000,541,64692.0,119.9260025024414,2736.0,539.4326171875,62.88202641485356
airlines,OzaBagExecutorMAXChunk,25,4,100,519,61697.0,119.97899627685547,136.0,514.231689453125,65.61845544425864
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,50,400,45312.0,113.53099822998047,89.0,399.11566162109375,88.71017630683575
airlines,OzaBagExecutorMAXChunk,25,4,50,4420,211350.0,120.02400207519531,28.0,1760.8978271484375,63.880265026029335
airlines,OzaBagExecutorMAXChunk,25,4,250,536,64000.0,120.0270004272461,357.0,533.21337890625,65.1278431372549
elecNormNew,OzaBagExecutorMAXChunk,25,4,75,449,45312.0,102.08799743652344,94.0,443.8523864746094,77.48524437960077
airlines,OzaBagExecutorMAXChunk,25,4,25,451,53910.0,119.9749984741211,37.0,449.3436279296875,61.40113204045653
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,250,415,45312.0,109.4520034790039,493.0,413.98968505859375,88.81762904442768
