,algorithm,dataset,cores,batch_size,inc_rate,out_rate,instances,time,delay,acc,ensemble_size,duration,avg_measure,sum_measure,prod_rate,tt_inst_prod,avg_times_duration,joules,JPIold,JPI,PERC,tput
10,OzaBagExecutorMAXChunk,elecNormNew,4,2000,3857,2856.508544921875,35375.0,12.383999824523926,690.0,76.97378277153558,25,19,5.061111111111112,182.20000000000002,3828.9673821193173,45312.0,96.16111111111113,62.6767991118961,0.0001430702787593247,0.00271833529642717,90,2856.50843840834
11,OzaBagExecutorMAXChunk,elecNormNew,4,2000,2143,1961.3505859375,41359.0,21.08699989318848,845.0,76.41200233745776,25,27,4.7,235.0,2130.725101100348,45312.0,126.9,99.10889949798586,0.00011363911119707924,0.0030682560023211395,50,1961.3506050881983
7,OzaBagExecutorMAXChunk,elecNormNew,4,2000,428,423.940185546875,45312.0,106.88300323486328,2658.0,77.0294606575545,25,113,3.3388349514563105,687.8,423.1997758475764,45312.0,377.2883495145631,356.86470691717943,7.36854464922385e-05,0.00832645545362295,10,423.94018345865544
22,OzaBagExecutorMAXChunk,elecNormNew,4,500,4284,3005.875,36326.0,12.085000038146973,165.0,76.30212694691006,25,18,4.9147058823529415,167.10000000000002,4260.248213614141,45312.0,88.46470588235294,59.39422077571645,0.00013529444151167048,0.0024352999472100683,90,3005.8750422287935
74,OzaBagExecutorMAXChunk,elecNormNew,4,500,2380,2278.363037109375,43478.0,19.08300018310547,183.0,74.8638838475499,25,25,4.389361702127659,206.29999999999998,2351.549120348747,45312.0,109.73404255319149,83.76219016541825,0.00010095592488448547,0.002523898122112137,50,2278.362918976015
106,OzaBagExecutorMAXChunk,elecNormNew,4,500,476,474.6103515625,45312.0,95.47200012207033,612.0,77.09988395965365,25,100,3.3846153846153846,616.0,473.6875117606473,45312.0,338.46153846153845,323.1360004131611,7.469578444154715e-05,0.007469578444154715,10,474.6103563564622
107,OzaBagExecutorMAXChunk,elecNormNew,4,250,4068,3202.708251953125,38788.0,12.111000061035156,77.0,77.78815714359853,25,17,4.8625,155.6,4032.392987452167,45312.0,82.6625,58.88973779678344,0.00012536093637207382,0.002131135918325255,90,3202.7082655868385
69,OzaBagExecutorMAXChunk,elecNormNew,4,250,2260,2253.319580078125,45312.0,20.108999252319336,87.0,76.98504282987884,25,26,4.191836734693878,205.4,2235.3115287849637,45312.0,108.98775510204082,84.29364176380392,9.251052115761559e-05,0.002405273550098005,50,2253.3194930013137
23,OzaBagExecutorMAXChunk,elecNormNew,4,250,452,449.1806945800781,45312.0,100.8769989013672,309.0,76.39696418268164,25,106,3.3295336787564773,642.6000000000001,448.35843343690016,45312.0,352.9305699481866,335.8733652539823,7.348017476069204e-05,0.007788898524633355,10,449.1806902810813
71,OzaBagExecutorMAXChunk,elecNormNew,4,100,4064,3648.148193359375,43340.0,11.880000114440918,27.0,78.58926919518964,25,18,4.73529411764706,161.00000000000003,4032.0341697811,45312.0,85.23529411764707,56.25529465955847,0.00010925920899047208,0.0019666657618284972,90,3648.148113005268
44,OzaBagExecutorMAXChunk,elecNormNew,4,100,2258,2251.9755859375,45312.0,20.121000289916992,36.0,77.21401397858976,25,26,4.204081632653061,206.0,2234.8705302096178,45312.0,109.30612244897958,84.59032774944694,9.278075637034474e-05,0.002412299665628963,50,2251.9755154870054
14,OzaBagExecutorMAXChunk,elecNormNew,4,100,451,449.0560607910156,45312.0,100.90499877929688,116.0,76.89551446518624,25,106,3.3041450777202073,637.7,448.3273803045444,45312.0,350.23937823834194,333.40475503397727,7.29198684172009e-05,0.007729506052223295,10,449.05604824502376
75,OzaBagExecutorMAXChunk,elecNormNew,4,75,4047,3525.930908203125,41948.0,11.897000312805176,21.0,78.09567024096673,25,17,4.766666666666667,157.3,3961.8781148902685,45312.0,81.03333333333333,56.70903482437134,0.00011363275166078637,0.0019317567782333683,90,3525.930814244817
100,OzaBagExecutorMAXChunk,elecNormNew,4,75,2248,2240.316162109375,45055.0,20.11100006103516,28.0,77.85682525566918,25,26,4.29375,206.1,2235.2012628255725,45312.0,111.6375,86.35160651206972,9.530018865830652e-05,0.0024778049051159693,50,2240.316238041964
54,OzaBagExecutorMAXChunk,elecNormNew,4,75,449,443.8523864746094,45312.0,102.08799743652344,94.0,77.48524437960077,25,107,3.294329896907217,639.1,443.0364894990027,45312.0,352.4932989690722,336.31154207052646,7.270325514007805e-05,0.007779248299988352,10,443.85237381283946
9,OzaBagExecutorMAXChunk,elecNormNew,4,50,3653,3072.242919921875,43377.0,14.119000434875488,16.0,77.25205991644933,25,20,4.792105263157895,182.1,3585.661153754847,45312.0,95.84210526315789,67.65973629449543,0.00011047571900218768,0.0022095143800437535,90,3072.2429820778266
40,OzaBagExecutorMAXChunk,elecNormNew,4,50,2029,2030.2894287109373,45312.0,22.31800079345703,19.0,77.98373911890769,25,28,4.125,214.5,2016.824676191748,45312.0,115.5,92.06175327301025,9.10354872881356e-05,0.0025489936440677968,50,2030.2893802783678
46,OzaBagExecutorMAXChunk,elecNormNew,4,50,405,404.2069396972656,45312.0,112.10099792480467,69.0,76.5631213821749,25,117,3.255660377358491,690.2,403.54814577321787,45312.0,380.91226415094343,364.962777206133,7.184984942969833e-05,0.008406432383274706,10,404.20692802747817
99,OzaBagExecutorMAXChunk,elecNormNew,4,25,3711,2896.200439453125,44057.0,15.211999893188477,8.0,77.57767078488372,25,20,4.826315789473684,183.39999999999998,3644.494490468913,45312.0,96.52631578947367,73.41791527396754,0.00010954708195005751,0.0021909416390011502,90,2896.200388466183
97,OzaBagExecutorMAXChunk,elecNormNew,4,25,2061,2061.8857421875,45312.0,21.97599983215332,9.0,78.2078742243911,25,28,4.238461538461539,220.40000000000003,2053.196791880013,45312.0,118.6769230769231,93.1444300578191,9.353949369839202e-05,0.002619105823554977,50,2061.88570923192
85,OzaBagExecutorMAXChunk,elecNormNew,4,25,412,409.3262023925781,45312.0,110.6989974975586,33.0,77.42619294720339,25,117,3.2468899521531105,678.6000000000001,408.6506376147616,45312.0,379.88612440191395,359.4274626882453,7.165629308247507e-05,0.008383786290649583,10,409.3262000949858
101,OzaBagExecutorMAXChunk,elecNormNew,4,15,3418,2822.2734375,42828.0,15.175000190734863,5.0,78.0160231705323,25,20,4.778947368421052,181.6,3372.6832899144024,45312.0,95.57894736842104,72.52052722730134,0.00011158464949147875,0.002231692989829575,90,2822.2734406388176
35,OzaBagExecutorMAXChunk,elecNormNew,4,15,1899,1895.899658203125,45312.0,23.899999618530277,6.0,79.24807382387354,25,29,4.127777777777778,222.90000000000003,1883.4483331947793,45312.0,119.70555555555556,98.65388731426665,9.109679064657879e-05,0.0026418069287507846,50,1895.8996118505565
48,OzaBagExecutorMAXChunk,elecNormNew,4,15,379,374.6184997558594,44925.0,119.9219970703125,5.0,77.11645513248719,25,126,3.2574561403508775,742.7,374.06950990024814,44925.0,410.43947368421055,390.6406457198294,7.250876216696445e-05,0.00913610403303752,10,374.6185111782256
32,OzaBagExecutorMAXChunk,elecNormNew,4,5,2806,2590.69287109375,44091.0,17.018999099731445,1.0,77.0925010207322,25,23,4.675,205.7,2787.5730544447865,45312.0,107.52499999999999,79.56382079124451,0.00010603070921503254,0.0024387063119457484,90,2590.692892198093
45,OzaBagExecutorMAXChunk,elecNormNew,4,5,1558,1556.6854248046875,45312.0,29.107999801635746,2.0,75.12967091177963,25,34,4.068253968253967,256.29999999999995,1548.7575622927845,45312.0,138.3206349206349,118.41873570094032,8.978314725136757e-05,0.0030526270065464973,50,1556.685457908161
76,OzaBagExecutorMAXChunk,elecNormNew,4,5,311,309.73370361328125,37138.0,119.90299987792967,7.0,72.74392050197937,25,126,3.2336244541484715,740.5,309.31578728188896,37138.0,407.4366812227074,387.7212725310346,8.707050606248241e-05,0.010970883763872783,10,309.73370172397097
60,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,2000,741,638.953125,39233.0,61.402000427246094,2929.0,88.6229957295947,25,66,5.238333333333332,628.5999999999999,735.632183908046,45312.0,345.72999999999996,321.6441455713907,0.00013351855155948646,0.008812224402926108,90,638.9531241166375
72,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,2000,411,394.9788513183594,43721.0,110.69200134277344,4065.0,88.8473430646437,25,117,4.262254901960785,869.5,408.66537996717113,45312.0,498.6838235294118,471.79752533108586,9.748758953273678e-05,0.011406047975330203,50,394.978855469527
4,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,2000,82,79.86767578125,9585.0,120.01100158691406,15916.0,89.53197099538563,25,126,3.6441048034934496,834.5,79.86688851913478,9600.0,459.1572052401746,437.3326673549335,0.00038018829457417316,0.047903725116345816,10,79.86767774001433
5,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,500,732,707.4453735351562,44117.0,62.36100006103516,664.0,88.86901896049706,25,67,5.333333333333333,656.0,726.2702356146818,45312.0,357.3333333333333,332.59200032552087,0.00012089066195193084,0.008099674350779367,90,707.4453577848489
92,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,500,406,404.1924743652344,45312.0,112.1050033569336,1002.0,89.02079800053558,25,117,4.337264150943396,919.4999999999999,403.5158024097673,45312.0,507.45990566037733,486.2290122014171,9.571998920690757e-05,0.011199238737208185,50,404.1924860010942
