dataset,algorithm,ensemble_size,cores,batch_size,inc_rate,instances,time,delay,out_rate,acc
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,100,417,45312.0,109.35099792480469,185.0,414.3720703125,88.59815978058923
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,25,722,42901.0,63.07400131225586,33.0,680.1693115234375,88.9052150387163
airlines,OzaBagExecutorMAXChunk,25,4,100,2595,235700.0,120.7959976196289,51.0,1951.2236328125,63.99617996604414
airlines,OzaBagExecutorMAXChunk,25,4,500,2746,278043.0,120.0009994506836,215.0,2317.005615234375,63.36135301556875
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,82,9584.0,119.81800079345703,15752.0,79.98798370361328,89.39873417721519
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,500,732,43852.0,62.198001861572266,664.0,705.0386962890625,88.6141354493449
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,100,183,11500.0,120.17900085449219,1042.0,95.69059753417969,65.41228070175438
elecNormNew,OzaBagExecutorMAXChunk,25,4,2000,428,45312.0,106.87200164794922,2661.0,423.98382568359375,77.88834503140008
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,500,208,11000.0,120.5479965209961,5425.0,91.24996185302734,64.97142857142858
elecNormNew,OzaBagExecutorMAXChunk,25,4,50,3653,43231.0,12.664999961853027,14.0,3413.4228515625,77.07093397559112
elecNormNew,OzaBagExecutorMAXChunk,25,4,2000,3857,32318.0,12.043999671936035,718.0,2683.327880859375,76.39356158057919
elecNormNew,OzaBagExecutorMAXChunk,25,4,2000,2143,44993.0,21.08799934387207,778.0,2133.583251953125,77.98013630125834
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,500,115,12000.0,122.75499725341797,5023.0,97.75569152832031,65.26086956521739
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,100,20,2400.0,120.5979995727539,3239.0,19.900827407836914,73.1304347826087
elecNormNew,OzaBagExecutorMAXChunk,25,4,100,451,45312.0,100.87899780273438,115.0,449.1717834472656,76.24966822967355
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,50,177,10250.0,120.18699645996094,585.0,85.28376770019531,65.41176470588236
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,75,744,43941.0,61.40299987792969,95.0,715.6165161132812,88.82277846167875
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,25,401,45312.0,113.51799774169922,44.0,399.161376953125,88.85993773047453
