,algorithm,dataset,cores,batch_size,inc_rate,out_rate,instances,time,delay,acc,ensemble_size,duration,avg_measure,sum_measure,prod_rate,tt_inst_prod,avg_times_duration,joules,JPIold,JPI,PERC,tput
10,OzaBagExecutorMAXChunk,elecNormNew,4,2000,3857,2683.327880859375,32318.0,12.043999671936035,718.0,76.39356158057919,25,18,4.862857142857143,170.20000000000002,3828.9673821193173,45312.0,87.53142857142858,58.568249833243236,0.00015046900002652216,0.002708442000477399,90,2683.3278711643293
11,OzaBagExecutorMAXChunk,elecNormNew,4,2000,2143,2133.583251953125,44993.0,21.08799934387207,778.0,77.98013630125834,25,28,4.5673076923076925,237.5,2130.224248977481,45312.0,127.88461538461539,96.31538161864648,0.00010151151717617612,0.0028423224809329315,50,2133.583146808777
7,OzaBagExecutorMAXChunk,elecNormNew,4,2000,428,423.98382568359375,45312.0,106.87200164794922,2661.0,77.88834503140008,25,112,3.3492610837438423,679.9,423.2393050625817,45312.0,375.11724137931037,357.9422360612841,7.391554298516601e-05,0.008278540814338594,10,423.9838245873212
22,OzaBagExecutorMAXChunk,elecNormNew,4,500,4284,2996.291259765625,34739.0,11.593999862670898,165.0,75.24168346038144,25,17,4.83125,154.6,4263.053909116568,45312.0,82.13125,56.01351183652878,0.00013907280002302888,0.002364237600391491,90,2996.2912205863363
74,OzaBagExecutorMAXChunk,elecNormNew,4,500,2380,2304.34326171875,43983.0,19.08699989318848,187.0,75.84573281512316,25,24,4.768888888888889,214.60000000000002,2350.9390889280894,45312.0,114.45333333333335,91.02378171284995,0.0001084257301432119,0.0026022175234370858,50,2304.3432831838636
106,OzaBagExecutorMAXChunk,elecNormNew,4,500,476,474.6203002929688,45312.0,95.47000122070312,615.0,77.7291796840132,25,101,3.4098360655737703,624.0,473.7073201329793,45312.0,344.3934426229508,325.5370533427254,7.525238492173751e-05,0.007600490877095489,10,474.6202935019328
107,OzaBagExecutorMAXChunk,elecNormNew,4,250,4068,3027.756103515625,38943.0,12.862000465393066,82.0,75.16605070684619,25,19,4.852777777777778,174.70000000000002,4034.1880341880346,45312.0,92.20277777777778,62.416430036226906,0.00012461232513616768,0.002367634177587186,90,3027.7560714432684
69,OzaBagExecutorMAXChunk,elecNormNew,4,250,2260,2214.1826171875,44463.0,20.08099937438965,93.0,77.71696107479701,25,26,4.369387755102041,214.1,2235.8630218099283,45312.0,113.60408163265306,87.74167277666987,9.82701966826809e-05,0.0025550251137497035,50,2214.1826296108547
23,OzaBagExecutorMAXChunk,elecNormNew,4,250,452,449.1940307617188,45312.0,100.8740005493164,311.0,78.37423993608806,25,106,3.3359375,640.5,448.3451244248751,45312.0,353.609375,336.5093612074852,7.362150203036723e-05,0.0078038792152189266,10,449.19404160884216
71,OzaBagExecutorMAXChunk,elecNormNew,4,100,4064,3503.322509765625,42702.0,12.189000129699709,28.0,75.89080324867376,25,18,4.738235294117648,161.10000000000002,4030.958099813184,45312.0,85.28823529411767,57.75435061454775,0.00011096050054137156,0.001997289009744688,90,3503.3226307014584
