,algorithm,dataset,cores,batch_size,inc_rate,out_rate,instances,time,delay,acc,ensemble_size,duration,avg_measure,sum_measure,prod_rate,tt_inst_prod,avg_times_duration,joules,JPIold,JPI,PERC,tput
47,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,2000,519,108.84353637695312,44000.0,404.25,12017.0,89.34285714285714,25,409,3.4810298102981028,2569.0,111.81604838649974,45312.0,1423.741192411924,1407.206300813008,7.911431387041142e-05,0.032357754372998274,90,108.84353741496598
115,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,500,494,130.99559020996094,45000.0,343.52301025390625,2666.0,89.48988764044944,25,348,3.412877583465819,2146.7000000000003,131.6398033769886,45312.0,1187.681399046105,1172.4019811002554,7.58417240770182e-05,0.026392919978802335,50,130.9955917268523
103,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,100,513,134.34283447265625,45300.0,337.1969909667969,485.0,89.66150442477876,25,343,4.035645161290322,2502.1,133.98662854135188,45312.0,1384.2262903225806,1360.8074049968102,8.908708965320799e-05,0.030556871751050343,10,134.34283583052672
25,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,50,489,73.2120590209961,43900.0,599.6279907226562,408.0,89.57126567844927,25,605,3.561743119266055,3882.3,73.20819340050109,43946.0,2154.854587155963,2135.720870075751,8.113310066665273e-05,0.0490855259033249,90,73.21205927543984
70,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,25,496,118.06560516357422,45300.0,383.68499755859375,134.0,89.55935946990613,25,231,,0.0,200.3679071741899,45312.0,,,,,50,118.06560143932157
71,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,25,496,118.06560516357422,45300.0,383.68499755859375,134.0,89.55935946990613,25,231,,0.0,117.93703882042139,45312.0,,,,,10,118.06560143932157
3,OzaBagExecutorMAXChunk,elecNormNew,4,2000,4042,829.3124389648438,44000.0,53.055999755859375,1412.0,78.36666666666666,25,59,3.306481481481481,357.09999999999997,838.5365582841387,45312.0,195.08240740740737,175.428680674235,7.514730639730639e-05,0.004433691077441077,90,829.3124284240963
113,OzaBagExecutorMAXChunk,elecNormNew,4,500,4455,1146.96435546875,45000.0,39.23400115966797,303.0,77.91460674157304,25,45,3.8807228915662653,322.1,1132.0641582971068,45312.0,174.63253012048193,152.2562864280609,8.623828647925034e-05,0.0038807228915662653,50,1146.96433373865
118,OzaBagExecutorMAXChunk,elecNormNew,4,100,4482,1713.947998046875,43500.0,25.3799991607666,44.0,76.7926267281106,25,32,4.114999999999999,246.89999999999998,1741.6974169741698,45312.0,131.67999999999998,104.43869654655455,9.459770114942527e-05,0.0030271264367816085,10,1713.9480472183784
85,OzaBagExecutorMAXChunk,elecNormNew,4,50,4162,1045.44189453125,45000.0,43.04399871826172,33.0,78.1690767519466,25,49,3.3222222222222224,299.0,1029.0931389248485,45312.0,162.7888888888889,143.00172907511393,7.382716049382717e-05,0.003617530864197531,90,1045.4419045623758
138,OzaBagExecutorMAXChunk,elecNormNew,4,25,3944,1532.7601318359375,43325.0,28.266000747680664,12.0,76.87528868360278,25,26,,0.0,2156.5846461377373,45312.0,,,,,50,1532.7601660647017
139,OzaBagExecutorMAXChunk,elecNormNew,4,25,3944,1532.7601318359375,43325.0,28.266000747680664,12.0,76.87528868360278,25,26,,0.0,1617.4192396930216,45312.0,,,,,10,1532.7601660647017
41,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,2000,2528,646.431396484375,44000.0,68.06600189208984,2149.0,82.8,25,75,3.699264705882353,503.1,656.2866619353156,45312.0,277.44485294117646,251.7941584699294,8.407419786096257e-05,0.006305564839572193,90,646.4313868435597
53,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,500,2794,1245.4678955078125,45000.0,36.13100051879883,316.0,84.85168539325842,25,43,4.267088607594938,337.1000000000001,1223.8878534964751,45312.0,183.48481012658235,154.17418069477327,9.482419127988752e-05,0.004077440225035163,50,1245.467862883749
50,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,100,2726,749.0451049804688,45300.0,60.47700119018555,82.0,84.47345132743362,25,67,3.699180327868853,451.30000000000007,742.3450580776225,45312.0,247.84508196721316,223.71533309123558,8.165960988672965e-05,0.005471193862410887,10,749.0450767812123
