dataset,algorithm,ensemble_size,cores,batch_size,inc_rate,instances,time,delay,out_rate,acc
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,500,4712,45000.0,102.08399963378906,642.0,440.8134460449219,78.90561797752808
elecNormNew,OzaBagExecutorMAXChunk,25,4,2000,4042,44000.0,177.1219940185547,4181.0,248.41635131835938,76.78809523809524
airlines,OzaBagASHTExecutorMAXChunk,25,4,2000,4989,166000.0,599.344970703125,4475.0,276.9690246582031,66.70182926829268
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,500,3368,85000.0,599.3209838867188,1875.0,141.82717895507812,80.97514792899409
GMSC,OzaBagExecutorMAXChunk,25,4,500,8499,150000.0,411.30999755859375,744.0,364.6884460449219,93.30635451505017
covtypeNorm,LBagExecutorMAXChunk,25,4,2000,702,18000.0,599.2360229492188,33519.0,30.03824806213379,75.28125
GMSC,LBagExecutorMAXChunk,25,4,50,2037,67300.0,599.3060302734375,240.0,112.29654693603516,93.34869888475836
airlines,OzaBagASHTExecutorMAXChunk,25,4,25,2735,90325.0,599.5869750976562,98.0,150.64537048339844,63.923588039867106
airlines,LBagExecutorMAXChunk,25,4,50,214,5800.0,599.2009887695312,2840.0,9.679556846618652,64.8695652173913
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,2000,3314,98000.0,599.3090209960938,6646.0,163.5216522216797,80.590625
GMSC,OzaBagExecutorMAXChunk,25,4,50,6990,150000.0,343.2250061035156,60.0,437.0310974121094,93.32577525841947
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,25,2142,45300.0,504.3210144042969,146.0,89.82373809814453,84.69353948094975
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,50,1012,36850.0,599.4190063476562,456.0,61.4761962890625,83.80978260869566
GMSC,OzaBagASHTExecutorMAXChunk,25,4,2000,8906,150000.0,424.41400146484375,3075.0,353.4284973144531,93.21081081081081
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,25,213,6600.0,596.2030029296875,1304.0,11.07005500793457,66.19011406844106
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,50,489,13350.0,599.2349853515625,1161.0,22.278406143188477,91.45864661654134
GMSC,LBagExecutorMAXChunk,25,4,25,1861,58175.0,599.4030151367188,143.0,97.05490112304688,93.32932072227
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,875,28000.0,599.2830200195312,21137.0,46.72249984741211,89.26923076923077
GMSC,OzaBagExecutorMAXChunk,25,4,25,6653,150000.0,448.2770080566406,38.0,334.6145324707031,93.42290381730288
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,50,1699,55000.0,599.468017578125,297.0,91.74801635742188,93.4813466787989
airlines,OzaBagExecutorMAXChunk,25,4,50,5027,146450.0,599.4520263671875,118.0,244.30645751953125,65.67691256830601
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,25,844,26675.0,599.3480224609375,303.0,44.50669479370117,81.75984990619138
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,50,2708,79350.0,599.3309936523438,201.0,132.3976287841797,77.5233291298865
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,1801,82000.0,599.3259887695312,8449.0,136.8203582763672,93.50874999999999
covtypeNorm,OzaBagExecutorMAXChunk,25,4,500,3708,112500.0,599.3090209960938,1460.0,187.7161865234375,81.72589285714285
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,2000,2528,44000.0,351.2309875488281,8053.0,125.273681640625,82.38333333333333
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,50,4141,45300.0,364.23199462890625,209.0,124.37128448486328,75.71491712707183
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,25,1574,31525.0,599.2379760742188,236.0,52.608482360839844,93.56507936507936
GMSC,OzaBagASHTExecutorMAXChunk,25,4,25,6863,150000.0,537.3519897460938,46.0,279.1466369628906,93.27821303550591
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,2000,519,12000.0,598.2319946289062,48363.0,20.059106826782227,91.56
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,50,996,31750.0,599.3480224609375,522.0,52.9742317199707,79.20504731861199
airlines,OzaBagASHTExecutorMAXChunk,25,4,50,3799,130450.0,599.323974609375,139.0,217.6619110107422,66.32592024539878
airlines,OzaBagAdwinExecutorMAXChunk,25,4,2000,970,24000.0,599.2440185546875,24852.0,40.05046081542969,63.39545454545454
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,500,2794,45000.0,236.17300415039062,1380.0,190.5382843017578,84.62022471910112
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,50,2523,45300.0,344.25299072265625,210.0,131.58926391601562,84.12375690607735
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,25,3926,45300.0,145.2570037841797,43.0,311.86102294921875,76.75317504141358
airlines,OzaBagAdwinExecutorMAXChunk,25,4,500,753,23500.0,599.2509765625,7454.0,39.21562194824219,64.85217391304347
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,500,276,8500.0,599.2080078125,20379.0,14.185391426086426,64.9
elecNormNew,LBagExecutorMAXChunk,25,4,25,1258,24800.0,599.2459716796875,315.0,41.38534164428711,91.24924318869829
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,500,276,11000.0,599.2440185546875,15977.0,18.356462478637695,82.54285714285714
GMSC,OzaBagExecutorMAXChunk,25,4,2000,8410,150000.0,315.3760070800781,2274.0,475.62274169921875,93.41418918918919
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,1080,32000.0,599.3109741210938,19103.0,53.394649505615234,83.38666666666667
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,500,930,33000.0,599.281005859375,4961.0,55.06598663330078,88.92923076923077
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,292,8000.0,611.4329833984375,86128.0,13.084017753601074,63.175000000000004
airlines,OzaBagExecutorMAXChunk,25,4,500,6170,155000.0,599.3280029296875,1121.0,258.62298583984375,65.93656957928803
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,2000,4540,104000.0,599.3369750976562,6023.0,173.52508544921875,93.49705882352941
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,25,496,7175.0,599.2000122070312,1042.0,11.974298477172852,90.96503496503496
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,25,2709,71950.0,599.4719848632812,112.0,120.02229309082031,78.4011122697254
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,2000,974,28000.0,599.2459716796875,22924.0,46.72538757324219,93.53076923076922
elecNormNew,LBagExecutorMAXChunk,25,4,2000,1402,40000.0,599.2969970703125,15195.0,66.744873046875,87.03157894736843
airlines,StreamingRandomPatchesExecutorMAXChunk,25,4,50,239,9150.0,600.0670166015625,2147.0,15.248296737670898,65.56906077348066
covtypeNorm,OzaBagExecutorMAXChunk,25,4,25,2679,52000.0,599.4180297851562,148.0,86.75080871582031,78.19336219336219
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,50,4027,122050.0,599.3140258789062,128.0,203.6494903564453,93.37377049180327
covtypeNorm,LBagExecutorMAXChunk,25,4,500,782,17000.0,599.2360229492188,9225.0,28.369455337524414,74.55757575757576
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,2000,4202,44000.0,257.1579895019531,5851.0,171.10104370117188,76.30952380952381
elecNormNew,OzaBagExecutorMAXChunk,25,4,50,4162,45300.0,202.15199279785156,123.0,224.08880615234375,77.13149171270717
airlines,LBagExecutorMAXChunk,25,4,2000,440,8000.0,2525.843994140625,603527.0,3.1672582626342773,59.8
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,25,794,21075.0,599.468017578125,393.0,35.15616989135742,76.36579572446556
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,50,255,6050.0,599.4290161132812,2553.0,10.092938423156738,82.26666666666667
GMSC,OzaBagASHTExecutorMAXChunk,25,4,500,8617,150000.0,389.2950134277344,684.0,385.3118896484375,93.20535117056856
covtypeNorm,LBagExecutorMAXChunk,25,4,50,667,12050.0,599.2459716796875,1330.0,20.108604431152344,75.14999999999999
airlines,StreamingRandomPatchesExecutorMAXChunk,25,4,2000,277,6000.0,617.5380249023438,100149.0,9.7160005569458,66.14999999999999
airlines,StreamingRandomPatchesExecutorMAXChunk,25,4,500,266,6500.0,599.2139892578125,25351.0,10.847543716430664,66.4
