,algorithm,dataset,cores,batch_size,inc_rate,out_rate,instances,time,delay,acc,ensemble_size,duration,avg_measure,sum_measure,prod_rate,tt_inst_prod,avg_times_duration,joules,JPIold,JPI,PERC,tput
29,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,2000,519,113.73770141601562,44000.0,386.8550109863281,11910.0,89.06428571428572,25,391,3.4712977099236646,2273.7000000000003,117.3399627097576,45312.0,1357.277404580153,1342.888913709335,7.889312977099238e-05,0.030847213740458023,90,113.73770211174804
73,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,500,494,114.43161010742188,45000.0,393.24798583984375,2952.0,89.43146067415731,25,399,3.434672619047619,2308.1,114.9563509882867,45312.0,1370.434375,1350.678089459737,7.63260582010582e-05,0.030454097222222223,50,114.43160962133176
15,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,50,489,135.10853576660156,45300.0,335.2860107421875,251.0,89.64419889502763,25,340,4.018518518518518,2278.5,134.79175281039258,45312.0,1366.296296296296,1347.3530431676793,8.870901806884146e-05,0.030161066143406093,10,135.10852987789184
46,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,25,496,135.43896484375,45300.0,334.4679870605469,120.0,89.63445610160133,25,339,4.095390070921986,2309.7999999999997,135.1890803311703,45312.0,1388.337234042553,1369.776873249027,9.040596183050741e-05,0.03064762106054201,90,135.43897100023386
1,OzaBagExecutorMAXChunk,elecNormNew,4,2000,4042,649.0228881835938,18000.0,27.733999252319336,1953.0,77.3,25,32,3.4535714285714283,193.39999999999998,1677.3524838972385,45312.0,110.5142857142857,95.78134741783141,0.00019186507936507936,0.00613968253968254,50,649.0228775244053
71,OzaBagExecutorMAXChunk,elecNormNew,4,500,4455,1084.08056640625,29500.0,27.21199989318848,330.0,75.3,25,32,4.039583333333333,193.89999999999998,1811.3207547169814,45312.0,129.26666666666665,109.92514123519261,0.00013693502824858755,0.004381920903954802,10,1084.0805569525317
55,OzaBagExecutorMAXChunk,elecNormNew,4,50,4162,330.4323425292969,30450.0,92.1520004272461,82.0,77.26644736842105,25,98,3.0828402366863905,521.0,497.6278334211914,45312.0,302.1183431952663,284.08989480825574,0.00010124270071219674,0.00992178466979528,90,330.43232766325286
89,OzaBagExecutorMAXChunk,elecNormNew,4,25,3944,502.89654541015625,14150.0,28.136999130249023,30.0,76.63008849557522,25,34,3.43448275862069,199.20000000000002,1741.7643667115126,45312.0,116.77241379310345,96.63603839216562,0.00024271962958450106,0.008252467405873036,50,502.89655746507344
25,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,2000,2528,250.6983795166016,42000.0,167.53199768066406,4440.0,80.3575,25,174,3.0840677966101695,909.8,269.5586476855625,45312.0,536.6277966101695,516.6800389487056,7.343018563357547e-05,0.012776852300242132,10,250.69837751267673
33,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,500,2794,912.2039184570312,32500.0,35.62799835205078,422.0,82.371875,25,41,3.6966666666666668,221.8,1258.0027207862518,45312.0,151.56333333333333,131.70483390808107,0.00011374358974358975,0.0046634871794871795,90,912.203926778538
34,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,50,2523,285.6856384277344,28500.0,99.76000213623048,106.0,84.36555360281194,25,105,3.201685393258427,569.9,462.1032879171086,45312.0,336.17696629213486,319.4001416709986,0.0001123398383599448,0.011795683027794206,50,285.68563943173245
11,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,25,2142,515.5596313476562,26375.0,51.15800094604492,32.0,83.70018975332069,25,57,3.618556701030928,351.0,924.1877256317689,45312.0,206.2577319587629,185.11812713465739,0.00013719646259832902,0.007820198368104754,10,515.5596292321325
54,OzaBagASHTExecutorMAXChunk,elecNormNew,4,2000,4202,601.9110717773438,16000.0,26.582000732421875,1921.0,76.79285714285714,25,32,3.5111111111111106,189.59999999999997,1811.5380002398751,45312.0,112.35555555555554,93.33235812717012,0.00021944444444444442,0.007022222222222221,90,601.9110510551193
0,OzaBagASHTExecutorMAXChunk,elecNormNew,4,500,4712,909.6923828125,22000.0,24.18400001525879,359.0,73.96279069767442,25,30,3.6919999999999997,184.6,1886.9778869778868,45312.0,110.75999999999999,89.28732805633544,0.00016781818181818182,0.005034545454545454,50,909.6923580102215
26,OzaBagASHTExecutorMAXChunk,elecNormNew,4,50,4141,288.50421142578125,21450.0,74.3489990234375,99.0,79.80373831775701,25,79,3.0073529411764706,409.0,620.3469189381597,45312.0,237.5808823529412,223.5936808866613,0.00014020293432058138,0.01107603181132593,10,288.5042203895466
35,OzaBagASHTExecutorMAXChunk,elecNormNew,4,25,3926,310.2923583984375,28550.0,92.01000213623048,45.0,78.32778264680104,25,97,3.122155688622754,521.4,497.64422918519983,45312.0,302.8491017964071,287.26955157982377,0.00010935746720219805,0.01060767431861321,90,310.2923523219652
49,LBagExecutorMAXChunk,elecNormNew,4,2000,1402,317.4819030761719,42000.0,132.29100036621094,4077.0,85.7225,25,138,3.3559322033898304,792.0,340.4946008701729,45312.0,463.1186440677966,443.95962834762315,7.990314769975787e-05,0.011026634382566585,50,317.48191399063165
95,LBagExecutorMAXChunk,elecNormNew,4,500,1471,186.05909729003903,44000.0,236.48399353027344,1623.0,88.36091954022989,25,243,3.0809644670050758,1213.8999999999999,191.08747633124864,45312.0,748.6743654822334,728.5987810822306,7.002191970466082e-05,0.017015326488232577,10,186.05910422587377
85,LBagExecutorMAXChunk,elecNormNew,4,50,1316,168.5255126953125,43850.0,260.197998046875,165.0,90.35844748858447,25,266,3.2159645232815963,1450.3999999999999,174.87013638573933,45312.0,855.4465631929046,836.787530747644,7.334012595853127e-05,0.019508473504969318,90,168.52550876313956
38,LBagExecutorMAXChunk,elecNormNew,4,25,1258,386.9230651855469,43400.0,112.16699981689452,44.0,90.1256484149856,25,119,3.527368421052632,670.2,400.7641689662492,45312.0,419.7568421052632,395.6543330383301,8.127577007033714e-05,0.00967181663837012,50,386.92307069679794
17,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,2000,875,255.20899963378903,42000.0,164.5709991455078,5170.0,88.79249999999999,25,169,3.5333333333333323,1006.9999999999998,274.49174925488865,45312.0,597.1333333333332,581.4841969807941,8.41269841269841e-05,0.014217460317460314,10,255.20899926520528
42,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,500,930,177.58554077148438,45000.0,253.3990020751953,1816.0,88.95730337078652,25,258,3.562589928057554,1485.6,178.2905169055704,45312.0,919.1482014388489,902.756732572926,7.916866506794565e-05,0.020425515587529974,90,177.58554544996352
82,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,50,918,163.7193603515625,45300.0,276.6929931640625,190.0,88.5767955801105,25,281,3.2742004264392324,1535.6,163.5033125009021,45312.0,920.0503198294243,905.948316210521,7.227815510903383e-05,0.020310161585638507,50,163.7193608771285
75,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,25,882,322.1974792480469,45300.0,140.5970001220703,53.0,88.58752070679182,25,145,4.15241935483871,1029.8,321.17719607884834,45312.0,602.1008064516129,583.8177045391452,9.166488642028057e-05,0.013291408530940683,10,322.1974861531132
87,StreamingRandomPatchesExecutorMAXChunk,covtypeNorm,4,2000,291,70.04039001464844,42000.0,599.6539916992188,18190.0,91.3375,25,605,3.506404958677686,3394.2,72.3736821762252,43441.0,2121.375,2102.6297299850085,8.348583234946872e-05,0.05050892857142857,90,70.04039092775162
