,dataset,algorithm,batch_size,acc,instances,time,JPI,joules,cores,label,delay,IPS,delay_s
51,elecNormNew,SRPMB,50,81.43055870078612,30961.0,599.4749755859375,0.05851109039902392,1795.0181945409172,4,MB-500,540.0,51.64685977048194,0.54
78,elecNormNew,OBMB,50,78.97353188104812,45312.0,163.22000122070312,0.01106405401625211,481.3400230804047,4,MB-500,100.0,277.6130355417038,0.1
56,elecNormNew,OBAdwinMB,50,79.89483451902258,45312.0,83.27999877929688,0.006817573738404128,289.0638476148063,4,MB-500,55.0,544.092226995378,0.055
67,elecNormNew,OBASHTMB,50,79.4286598029252,45312.0,70.15599822998047,0.006039901129943503,249.35446228027342,4,MB-500,49.0,645.8749236446096,0.049
92,elecNormNew,LBagMB,50,81.41266404489417,45312.0,373.2179870605469,0.024862796630819042,1109.3959229407951,4,MB-500,241.0,121.40893946960028,0.241
85,elecNormNew,ARFMB,50,80.52450178958065,45312.0,564.4299926757812,0.04116030092592592,1850.0760871039497,4,MB-500,341.0,80.27922078554042,0.341
69,covtypeNorm,SRPMB,50,76.99831365935918,8945.0,599.2750244140625,0.21448722585736363,1903.5794893152572,4,MB-500,1882.0,14.926368754889992,1.882
80,covtypeNorm,OBMB,50,77.29083665338645,49497.0,599.4349975585938,0.039442727908695546,1931.1468144790595,4,MB-500,368.0,82.57275634821731,0.368
74,covtypeNorm,OBAdwinMB,50,82.34480144062174,52805.0,599.4959716796875,0.03640565380073573,1901.7679621271552,4,MB-500,332.0,88.08232664524704,0.332
31,covtypeNorm,OBASHTMB,50,76.89458086367486,47290.0,599.531982421875,0.038019036934770135,1781.670571409902,4,MB-500,370.0,78.87819396884696,0.37
95,covtypeNorm,LBagMB,50,80.27181922384149,30585.0,599.3270263671875,0.06332205434108085,1915.3789897559218,4,MB-500,578.0,51.032238918692784,0.578
87,covtypeNorm,ARFMB,50,71.24951686820165,18161.0,599.5449829101562,0.09696455977447713,1747.9846838748817,4,MB-500,888.0,30.291305102492174,0.888
75,airlines,SRPMB,50,65.05427088249174,8526.0,599.281982421875,0.21973420253760606,1858.8197247241594,4,MB-500,2211.0,14.227025423897983,2.211
0,airlines,OBMB,50,63.6764391183394,23415.0,599.2869873046875,0.08100680405466114,1866.5224400588072,4,MB-500,746.0,39.07143071020066,0.746
55,airlines,OBAdwinMB,50,67.45425335997805,25571.0,599.4530029296875,0.08097116341731095,2044.7703574339257,4,MB-500,684.0,42.65722229270296,0.684
19,airlines,OBASHTMB,50,64.66035022417731,23692.0,599.5349731445312,0.0782675858945519,1834.5331360310017,4,MB-500,740.0,39.517294338538136,0.74
88,airlines,LBagMB,50,63.16948919179403,7313.0,599.551025390625,0.27962765389949856,2023.1552870530345,4,MB-500,2451.0,12.197460583501407,2.451
68,airlines,ARFMB,50,65.68232662192393,11225.0,599.6829833984375,0.1703605565885454,1898.6293355119337,4,MB-500,1711.0,18.71822331256973,1.711
8,GMSC,SRPMB,50,93.5743660041124,29230.0,599.5280151367188,0.065142841345373,1890.027207314848,4,MB-500,575.0,48.75501938526472,0.575
42,GMSC,OBMB,50,93.4711570523508,150000.0,224.24200439453125,0.004670842105263158,680.1292181133654,4,MB-500,43.0,668.9201713345823,0.043
7,GMSC,OBAdwinMB,50,93.35845281760588,150000.0,391.3980102539063,0.00792235883171071,1168.6415137873241,4,MB-500,72.0,383.241600800915,0.072
52,GMSC,OBASHTMB,50,93.33644548182728,150000.0,360.3489990234375,0.0077351696969696964,1142.3609252374824,4,MB-500,67.0,416.2631238230353,0.067
97,GMSC,LBagMB,50,93.46706249017376,108179.0,599.3319702148438,0.016528466403211043,1768.358615414127,4,MB-500,155.0,180.49929817897225,0.155
63,GMSC,ARFMB,50,93.51537657127004,93764.0,599.5560302734375,0.01996272131397153,1854.9417273922647,4,MB-500,181.0,156.38905334208275,0.181
4,elecNormNew,SRPMB,500,81.1014738029758,14681.0,599.2750244140625,1.0109900137446461,1844.2144511194215,4,MB-500,11254.0,24.497934006768023,11.254
43,elecNormNew,OBMB,500,77.05683824679824,45241.0,62.05099868774414,0.0050584646670055935,205.8024789810181,4,MB-500,430.0,729.0938253494327,0.43
44,elecNormNew,OBMB,500,77.05683824679824,45241.0,62.05099868774414,0.0050584646670055935,205.8024789810181,4,MB-500,430.0,729.0938253494327,0.43
76,elecNormNew,OBAdwinMB,500,77.93671338034454,45312.0,116.0979995727539,0.00847828746104735,362.6110166027941,4,MB-500,756.0,390.29096252089,0.756
77,elecNormNew,OBAdwinMB,500,77.93671338034454,45312.0,116.0979995727539,0.00847828746104735,362.6110166027941,4,MB-500,756.0,390.29096252089,0.756
5,elecNormNew,OBASHTMB,500,77.25832366330448,45312.0,128.08799743652344,0.00990139150449885,428.8575914171007,4,MB-500,806.0,353.7567992852357,0.806
6,elecNormNew,OBASHTMB,500,77.25832366330448,45312.0,128.08799743652344,0.00990139150449885,428.8575914171007,4,MB-500,806.0,353.7567992852357,0.806
20,elecNormNew,LBagMB,500,77.63768633401767,45312.0,297.20001220703125,0.023113445740247266,1027.2688538936636,4,MB-500,1912.0,152.4629816247632,1.912
40,elecNormNew,ARFMB,500,78.16656252789431,45312.0,504.2929992675781,0.03482046218680914,1560.1290592558487,4,MB-500,3214.0,89.85252634046071,3.214
